alpha,channel,hour,value
0.01,aeration,10,-0.0173
0.01,aeration,50,-0.0226
0.01,aeration,90,-0.0001
0.01,aeration,130,-0.0001
0.01,backpressure,10,-0.0166
0.01,backpressure,50,-0.0202
0.01,backpressure,90,-0.0047
0.01,backpressure,130,-0.0047
0.01,discharge,10,0.0069
0.01,discharge,50,0.0175
0.01,discharge,90,0.0019
0.01,discharge,130,0.0019
0.01,soilbean,10,0.0065
0.01,soilbean,50,0.0088
0.01,soilbean,90,-0.0086
0.01,soilbean,130,-0.0086
0.01,sugar,10,0.0051
0.01,sugar,50,0.0051
0.01,sugar,90,0.0226
0.01,sugar,130,0.0226
0.01,waterinj,10,-0.0104
0.01,waterinj,50,-0.0174
0.01,waterinj,90,-0.0172
0.01,waterinj,130,-0.0172
0.02,aeration,10,-0.1175
0.02,aeration,50,-0.1238
0.02,aeration,90,-0.01
0.02,aeration,130,-0.01
0.02,backpressure,10,-0.0952
0.02,backpressure,50,-0.1017
0.02,backpressure,90,-0.0303
0.02,backpressure,130,-0.0303
0.02,discharge,10,0.0316
0.02,discharge,50,0.0447
0.02,discharge,90,0.0039
0.02,discharge,130,0.0039
0.02,soilbean,10,0.044
0.02,soilbean,50,0.0395
0.02,soilbean,90,-0.0239
0.02,soilbean,130,-0.0239
0.02,sugar,10,0.0308
0.02,sugar,50,0.029
0.02,sugar,90,0.0502
0.02,sugar,130,0.0502
0.02,waterinj,10,-0.0375
0.02,waterinj,50,-0.0539
0.02,waterinj,90,-0.0663
0.02,waterinj,130,-0.0663
0.03,aeration,10,-0.1835
0.03,aeration,50,-0.1732
0.03,aeration,90,0.0073
0.03,aeration,130,0.0073
0.03,backpressure,10,-0.1571
0.03,backpressure,50,-0.1519
0.03,backpressure,90,-0.0351
0.03,backpressure,130,-0.0351
0.03,discharge,10,0.0165
0.03,discharge,50,0.0324
0.03,discharge,90,0.0038
0.03,discharge,130,0.0038
0.03,soilbean,10,0.0585
0.03,soilbean,50,0.0408
0.03,soilbean,90,-0.0427
0.03,soilbean,130,-0.0427
0.03,sugar,10,0.0545
0.03,sugar,50,0.0588
0.03,sugar,90,0.0719
0.03,sugar,130,0.0719
0.03,waterinj,10,-0.0263
0.03,waterinj,50,-0.0402
0.03,waterinj,90,-0.073
0.03,waterinj,130,-0.073
0.04,aeration,10,-0.1573
0.04,aeration,50,-0.14
0.04,aeration,90,0.0154
0.04,aeration,130,0.0154
0.04,backpressure,10,-0.1567
0.04,backpressure,50,-0.1544
0.04,backpressure,90,-0.0415
0.04,backpressure,130,-0.0415
0.04,discharge,10,0.0155
0.04,discharge,50,0.0341
0.04,discharge,90,0.0172
0.04,discharge,130,0.0172
0.04,soilbean,10,0.0525
0.04,soilbean,50,0.0368
0.04,soilbean,90,-0.0313
0.04,soilbean,130,-0.0313
0.04,sugar,10,0.0498
0.04,sugar,50,0.0518
0.04,sugar,90,0.0609
0.04,sugar,130,0.0609
0.04,waterinj,10,-0.0254
0.04,waterinj,50,-0.0277
0.04,waterinj,90,-0.0517
0.04,waterinj,130,-0.0517
0.05,aeration,10,-0.1725
0.05,aeration,50,-0.1482
0.05,aeration,90,0.0189
0.05,aeration,130,0.0189
0.05,backpressure,10,-0.1541
0.05,backpressure,50,-0.1459
0.05,backpressure,90,-0.0333
0.05,backpressure,130,-0.0333
0.05,discharge,10,0.016
0.05,discharge,50,0.0319
0.05,discharge,90,0.0211
0.05,discharge,130,0.0211
0.05,soilbean,10,0.057
0.05,soilbean,50,0.0384
0.05,soilbean,90,-0.0405
0.05,soilbean,130,-0.0405
0.05,sugar,10,0.0517
0.05,sugar,50,0.0508
0.05,sugar,90,0.0642
0.05,sugar,130,0.0642
0.05,waterinj,10,-0.0292
0.05,waterinj,50,-0.027
0.05,waterinj,90,-0.0552
0.05,waterinj,130,-0.0552
0.3,aeration,10,-0.0037
0.3,aeration,50,-0.0003
0.3,aeration,90,0.0003
0.3,aeration,130,0.0003
0.3,backpressure,10,-0.0032
0.3,backpressure,50,-0.0002
0.3,backpressure,90,-0.0002
0.3,backpressure,130,-0.0002
0.3,discharge,10,0.0015
0.3,discharge,50,0.0001
0.3,discharge,90,0.0001
0.3,discharge,130,0.0001
0.3,soilbean,10,0.0016
0.3,soilbean,50,0.0001
0.3,soilbean,90,-0.0003
0.3,soilbean,130,-0.0003
0.3,sugar,10,0.0028
0.3,sugar,50,0.0001
0.3,sugar,90,0.0002
0.3,sugar,130,0.0002
0.3,waterinj,10,-0.0004
0.3,waterinj,50,-0.0001
0.3,waterinj,90,-0.0003
0.3,waterinj,130,-0.0003
0.4,aeration,10,-0.0
0.4,aeration,50,-0.0
0.4,aeration,90,0.0
0.4,aeration,130,0.0
0.4,backpressure,10,-0.0
0.4,backpressure,50,-0.0
0.4,backpressure,90,-0.0
0.4,backpressure,130,-0.0
0.4,discharge,10,0.0
0.4,discharge,50,0.0
0.4,discharge,90,0.0
0.4,discharge,130,0.0
0.4,soilbean,10,0.0
0.4,soilbean,50,0.0
0.4,soilbean,90,-0.0
0.4,soilbean,130,-0.0
0.4,sugar,10,0.0
0.4,sugar,50,-0.0
0.4,sugar,90,0.0
0.4,sugar,130,0.0
0.4,waterinj,10,-0.0
0.4,waterinj,50,-0.0
0.4,waterinj,90,-0.0
0.4,waterinj,130,-0.0
