seed,iteration,batch,batch_index,yield,t_end_h,n_rows,running_mean,running_max
0,0,0,1,3776.5944,229.6,1149,3776.5944,3776.5944
0,1,0,2,4008.0668,229.6,1149,3892.3306,4008.0668
0,2,0,3,3734.0769,229.6,1149,3839.5794,4008.0668
0,3,0,4,3069.8279,229.6,1149,3647.1415,4008.0668
0,4,0,5,4055.7548,229.6,1149,3728.8642,4055.7548
0,5,0,6,3748.7822,229.6,1149,3732.1838,4055.7548
0,6,0,7,4029.7334,229.6,1149,3774.6909,4055.7548
0,7,0,8,3632.4354,229.6,1149,3756.9090,4055.7548
0,8,0,9,3079.9844,229.6,1149,3681.6951,4055.7548
0,9,0,10,3674.3683,229.6,1149,3680.9625,4055.7548
1,0,0,1,3790.7371,229.6,1149,3790.7371,3790.7371
1,1,0,2,3891.4129,229.6,1149,3841.0750,3891.4129
1,2,0,3,3955.2811,229.6,1149,3879.1437,3955.2811
1,3,0,4,3967.9541,229.6,1149,3901.3463,3967.9541
2,0,0,1,3700.2714,229.6,1149,3700.2714,3700.2714
2,1,0,2,3934.3930,229.6,1149,3817.3322,3934.3930
2,2,0,3,4128.6846,229.6,1149,3921.1163,4128.6846
2,3,0,4,3149.6982,229.6,1149,3728.2618,4128.6846
2,4,0,5,3829.0404,229.6,1149,3748.4175,4128.6846
2,5,0,6,3853.5027,229.6,1149,3765.9317,4128.6846
2,6,0,7,3833.6237,229.6,1149,3775.6020,4128.6846
2,7,0,8,3879.8847,229.6,1149,3788.6374,4128.6846
2,8,0,9,3951.0367,229.6,1149,3806.6817,4128.6846
2,9,0,10,2425.1414,229.6,1149,3668.5277,4128.6846
3,0,0,1,4168.4371,229.6,1149,4168.4371,4168.4371
3,1,0,2,4087.6265,229.6,1149,4128.0318,4168.4371
3,2,0,3,4328.1040,229.6,1149,4194.7225,4328.1040
3,3,0,4,4146.4281,229.6,1149,4182.6489,4328.1040
3,4,0,5,4300.7119,229.6,1149,4206.2615,4328.1040
3,5,0,6,4575.8991,229.6,1149,4267.8678,4575.8991
3,6,0,7,4068.4007,229.6,1149,4239.3725,4575.8991
3,7,0,8,4698.6129,229.6,1149,4296.7775,4698.6129
3,8,0,9,4143.7827,229.6,1149,4279.7781,4698.6129
3,9,0,10,4557.9866,229.6,1149,4307.5990,4698.6129
