Time Step,Discharge rate,Sugar feed rate,Soil bean feed rate,Aeration rate,Back pressure,Water injection/dilution,pH,Temperature,Acid flow rate,Base flow rate,Cooling water,Heating water,Vessel Weight,Dissolved oxygen concentration,Yield Per Step
0,205,15.2,24.2,33,0.66,25.5,6.491456985,297.6738586,0,0,9.999999747e-05,234.08255,61426.88281,15.25127029,0.05763551647
0.200000003,205,15.2,24.2,33,0.66,25.5,6.477296352,297.8865662,0,3.417243004,9.999999747e-05,65.23141479,61395.09766,15.24277306,-2.729309881e-05
0.400000006,205,15.2,24.2,33,0.66,25.5,6.469882011,297.86203,0,13.06507778,9.999999747e-05,9.999999747e-05,61365.26172,15.22104073,-2.75115911e-05
0.6000000238,205,15.2,24.2,33,0.66,25.5,6.469763756,298.1601257,0,25.61121178,9.999999747e-05,88.13301086,61336.91016,15.19166088,-2.778902767e-05
0.8000000119,205,15.2,24.2,33,0.66,25.5,6.476105213,298.0196228,0,38.20243835,97.85594177,8.813301086,61311.10547,15.16528225,-2.79058441e-05
1,205,15.2,24.2,33,0.66,25.5,6.487637997,297.9218445,0,48.25912476,53.15526199,0.8813300729,61287.39062,15.14515686,-2.757202668e-05
1.200000048,205,15.2,24.2,33,0.66,25.5,6.501799107,298.1106567,0,53.70637512,15.94657803,62.99583817,61264.78125,15.12615681,-2.757105096e-05
1.399999976,205,15.2,24.2,33,0.66,25.5,6.516492844,298.0003052,0,53.49721527,78.88434601,6.299583435,61242.13281,15.11371899,-2.754848426e-05
1.600000024,205,15.2,24.2,33,0.66,25.5,6.526929379,297.9263916,0,47.417202,43.55271912,0.6299583912,61218.26953,15.09420109,-2.725945007e-05
1.799999952,205,15.2,24.2,33,0.66,25.5,6.529450417,298.0911865,0,37.17822647,13.06581593,52.86789703,61192.28516,15.06803417,-2.729016618e-05
2,205,15.2,24.2,33,0.66,25.5,6.523780346,297.9967651,0,25.94315529,67.70861053,5.286789894,61163.98047,15.04165173,-2.733542343e-05
2.200000048,205,15.2,24.2,33,0.66,25.5,6.512257576,297.9376526,0,16.97759056,37.32038116,0.5286790133,61133.86719,15.02069187,-2.717913638e-05
2.400000095,205,15.2,24.2,33,0.66,25.5,6.498107433,298.0818176,0,12.61416531,11.19611454,43.92556763,61102.85547,14.99975586,-2.729484122e-05
2.599999905,205,15.2,24.2,33,0.66,25.5,6.484514236,298.0038452,0,13.90071964,59.04464722,4.392556667,61072.07812,14.96554375,-2.739643284e-05
2.799999952,205,15.2,24.2,33,0.66,25.5,6.475295067,297.9580994,0,20.61429787,34.12627792,0.4392556846,61042.71094,14.94775009,-2.728807272e-05
3,205,15.2,24.2,33,0.66,25.5,6.472352028,297.9391785,0,31.00304985,19.07331848,0.04392556846,61015.49609,14.92704105,-2.721638587e-05
3.200000048,205,15.2,24.2,33,0.66,25.5,6.475330353,298.0368958,0,42.56237793,5.721995354,25.47740173,60992.6875,14.89958382,-2.726597692e-05
3.400000095,205,15.2,24.2,33,0.66,25.5,6.482660294,298.0011292,0,52.93104172,37.29363632,2.547740221,60971.98047,14.86838055,-2.727098524e-05
3.599999905,205,15.2,24.2,33,0.66,25.5,6.492647171,297.9781494,0,60.3724823,25.61154938,0.254774034,60952.80469,14.83830833,-2.713253217e-05
3.799999952,205,15.2,24.2,33,0.66,25.5,6.502677441,297.9697266,0,63.82427979,17.99457932,0.02547740191,60933.10156,14.80571842,-2.701650142e-05
