Time Step,Discharge rate,Sugar feed rate,Soil bean feed rate,Aeration rate,Back pressure,Water injection/dilution,pH,Temperature,Acid flow rate,Base flow rate,Cooling water,Heating water,Vessel Weight,Dissolved oxygen concentration,Yield Per Step
0,180.0526812,69.668755,27.26081261,57.59156488,0.844747951,139.4579344,6.471499443,297.7695618,0,5.919500828,9.999999747e-05,146.9000854,62039.98828,16.8098526,0.0006072608147
0.200000003,180.0526812,69.668755,23.22244633,57.59156488,0.844747951,139.4579344,6.465294838,297.9050598,0,17.31973076,9.999999747e-05,46.09058762,62054.01562,16.7837677,-2.823854376e-05
0.400000006,180.0526812,69.668755,23.22244633,57.59156488,0.844747951,139.4579344,6.468336105,297.8764954,0,31.74209595,9.999999747e-05,9.999999747e-05,62071.00391,16.7717762,-2.833107797e-05
0.6000000238,180.0526812,69.668755,23.22244633,57.59156488,0.844747951,139.4579344,6.480463982,298.0915833,0,44.89781952,9.999999747e-05,67.14857483,62089.71094,16.76649666,-2.846289977e-05
0.8000000119,180.0526812,69.668755,23.22244633,57.59156488,0.844747951,139.4579344,6.49659586,297.9985962,0,53.20210648,69.78675079,6.714857101,62110.03906,16.7439518,-2.84907575e-05
1,180.0526812,69.668755,24.33912836,57.59156488,0.844747951,139.4579344,6.513290882,297.9272156,0,55.06963348,39.52800369,0.6714857221,62130.97266,16.72663307,-2.820110074e-05
1.200000048,180.0526812,69.668755,24.50626897,57.59156488,0.844747951,139.4579344,6.526750565,298.0809631,0,50.27019882,11.85840034,52.24678421,62150.96094,16.71400833,-2.818554688e-05
1.399999976,180.0526812,69.668755,25.78684277,57.59156488,0.844747951,139.4579344,6.532670975,298.0023499,0,40.09923172,62.70135117,5.22467804,62169.10156,16.69777298,-2.818765695e-05
1.600000024,180.0526812,69.668755,23.22244633,57.59156488,0.844747951,139.4579344,6.528918743,297.943573,0,27.57449341,37.46286392,0.5224678516,62184.22656,16.68226051,-2.800422929e-05
1.799999952,180.0526812,69.668755,23.22244633,57.59156488,0.844747951,139.4579344,6.516770363,298.0878601,0,16.55818748,11.23885918,46.73085403,62197.10156,16.66617966,-2.810168362e-05
2,180.0526812,69.668755,23.22244633,57.59156488,0.844747951,139.4579344,6.500151634,298.0227051,0,10.39797688,59.34763336,4.673085213,62208.70312,16.64708328,-2.822307123e-05
2.200000048,180.0526812,69.668755,23.22244633,57.59156488,0.844747951,139.4579344,6.483971596,297.9692688,0,10.87286949,39.07863998,0.4673085213,62220.33984,16.61852455,-2.814554071e-05
2.400000095,180.0526812,69.668755,23.22244633,57.59156488,0.844747951,139.4579344,6.47281456,297.941803,0,17.80411148,21.98567963,0.04673085362,62233.4375,16.60220146,-2.809676492e-05
2.599999905,180.0526812,69.668755,23.22244633,57.59156488,0.844747951,139.4579344,6.468722343,298.0395508,0,29.18306923,6.595703602,28.51612663,62248.82422,16.57889175,-2.818028269e-05
2.799999952,180.0526812,69.668755,23.22244633,57.59156488,0.844747951,139.4579344,6.472556114,298.0058594,0,42.19182968,38.34726334,2.851612568,62266.875,16.56052971,-2.821846685e-05
3,180.0526812,69.668755,23.22244633,57.59156488,0.844747951,139.4579344,6.481295586,297.9781494,0,53.6637001,27.47106743,0.2851612568,62287.19141,16.52955437,-2.809004088e-05
3.200000048,180.0526812,69.668755,23.22244633,57.59156488,0.844747951,139.4579344,6.495758057,297.9681702,0,61.6490097,18.38817596,0.0285161268,62311.28516,16.52030563,-2.796165145e-05
3.400000095,180.0526812,69.668755,23.99428244,57.59156488,0.844747951,139.4579344,6.509604454,297.966217,0,63.84630203,14.33240318,0.002851612633,62335.91797,16.49189758,-2.7848722e-05
3.599999905,180.0526812,69.668755,23.22244633,57.59156488,0.844747951,139.4579344,6.52124548,297.9710693,0,60.52547073,12.53964043,0.0002851612808,62359.75781,16.47475815,-2.775971959e-05
3.799999952,180.0526812,69.668755,23.22244633,57.59156488,0.844747951,139.4579344,6.526390076,297.9788208,0,52.55337143,12.9565506,9.999999747e-05,62380.70312,16.4480896,-2.770195211e-05
4,180.0526812,69.668755,23.44672681,57.59156488,0.844747951,139.4579344,6.524433136,297.9889526,0,42.5377388,14.5128479,9.999999747e-05,62399.65625,16.4257412,-2.768200758e-05
4.199999809,180.0526812,69.668755,23.22244633,57.59156488,0.844747951,139.4579344,6.515532017,297.9997253,0,33.30739975,17.15417671,9.999999747e-05,62416.67188,16.39979935,-2.769802524e-05
4.400000095,180.0526812,69.668755,23.22244633,57.59156488,0.844747951,139.4579344,6.502556801,298.0108948,0,27.63745499,20.38258743,9.999999747e-05,62432.53125,16.37425232,-2.774166225e-05
4.599999905,180.0526812,69.668755,23.22244633,57.59156488,0.844747951,139.4579344,6.48876524,298.0204163,0,27.14878082,24.14204597,9.999999747e-05,62448.25,16.34232712,-2.779702704e-05
4.800000191,180.0526812,69.668755,23.90351898,57.59156488,0.844747951,139.4579344,6.476588726,298.0250549,0,32.16648483,27.75521278,9.999999747e-05,62464.97266,16.29831886,-2.784517517e-05
5,180.0526812,69.668755,23.22244633,57.59156488,0.844747951,139.4579344,6.469064713,298.0290222,0,42.04679871,30.05060387,9.999999747e-05,62483.53906,16.26566505,-2.787302653e-05
5.199999809,180.0526812,69.668755,23.22244633,57.59156488,0.844747951,139.4579344,6.467325687,298.0328369,0,54.92666245,32.31944656,9.999999747e-05,62504.71094,16.23416328,-2.787420703e-05
5.400000095,180.0526812,69.668755,23.22244633,57.59156488,0.844747951,139.4579344,6.472183704,298.0384216,0,68.49803925,34.69984055,9.999999747e-05,62528.68359,16.20806885,-2.784567558e-05
5.599999905,180.0526812,69.668755,23.73021706,57.59156488,0.844747951,139.4579344,6.482319355,298.0446167,0,80.12310028,37.82482147,9.999999747e-05,62555.14844,16.18017197,-2.778965875e-05
5.800000191,180.0526812,69.668755,27.00832683,57.59156488,0.844747951,139.4579344,6.494404793,298.0491638,0,87.6977005,41.36407471,9.999999747e-05,62583.74219,16.1428299,-2.771502737e-05
6,180.0526812,69.668755,25.27798322,57.59156488,0.844747951,139.4579344,6.505241394,298.0514221,0,90.44855499,44.56136703,9.999999747e-05,62612.52344,16.10918999,-2.763542308e-05
6.199999809,180.0526812,69.668755,23.63451125,57.59156488,0.844747951,139.4579344,6.512474537,298.0519104,0,88.87512207,47.14749146,9.999999747e-05,62640.62109,16.07348633,-2.756406231e-05
6.400000095,180.0526812,69.668755,25.90110282,57.59156488,0.844747951,139.4579344,6.51667738,298.0554504,0,84.41630554,49.23110962,9.999999747e-05,62668.23828,16.03689194,-2.751016718e-05
6.599999905,180.0526812,69.668755,24.4233739,57.59156488,0.844747951,139.4579344,6.515946865,298.0580444,0,78.27462769,52.38796234,9.999999747e-05,62694.28906,16.00056458,-2.747726742e-05
6.800000191,180.0526812,69.668755,23.98866258,57.59156488,0.844747951,139.4579344,6.510903358,298.0610046,0,72.4316864,55.34260941,9.999999747e-05,62719.04688,15.9621563,-2.74654252e-05
