Time Step,Discharge rate,Sugar feed rate,Soil bean feed rate,Aeration rate,Back pressure,Water injection/dilution,pH,Temperature,Acid flow rate,Base flow rate,Cooling water,Heating water,Vessel Weight,Dissolved oxygen concentration,Yield Per Step
0,51.68554384,11.33367764,29.13756041,34.80566412,0.6078813847,0,6.506219864,298.0548401,0,0,2.965773344,9.999999747e-05,61800.39844,14.74947548,0.05754549098
0.200000003,0,7,24.05150996,34.14499385,0.5787568074,0,6.485669136,298.0318909,0,0,5.022429943,9.999999747e-05,61802.39062,14.48768234,-3.057226454e-05
0.400000006,0,7,24.08816166,34.05149541,0.5659546332,0,6.470284462,298.0189209,0,6.319755077,9.999999747e-05,9.999999747e-05,61805.6875,14.35645294,-3.060768617e-05
0.6000000238,0,7,24.18043254,34.05217256,0.5677425059,0,6.463734627,298.0093994,0,18.71071434,9.999999747e-05,9.999999747e-05,61810.51953,14.34965992,-3.062344124e-05
0.8000000119,0,7.00064526,25.46025203,34.25591707,0.5962910145,0,6.466944695,298.0031738,0,33.70903397,9.999999747e-05,9.999999747e-05,61818.66797,14.56443405,-3.059882085e-05
1,0,7,24.44730668,34.14135019,0.5724237592,0,6.479420662,298.0003967,0,47.4197197,9.999999747e-05,9.999999747e-05,61829.44141,14.34434128,-3.053250478e-05
1.200000048,0,7,25.32985735,34.15297068,0.5795540859,0,6.495248795,298.0006104,0,56.14078522,9.999999747e-05,9.999999747e-05,61842.15625,14.3676033,-3.044195425e-05
1.399999976,0,7,25.4434116,34.05815662,0.562708598,0,6.513568401,298.0044556,0,58.54921722,0.1020150557,9.999999747e-05,61855.39453,14.20777607,-3.03460576e-05
1.600000024,0,7,25.29316159,34.12181312,0.5741765332,0,6.527024269,298.0097961,0,53.63248444,1.455660939,9.999999747e-05,61867.58984,14.27242756,-3.026366339e-05
1.799999952,0,7.089955324,25.83667098,34.25717691,0.5737212406,0,6.532622814,298.0162048,0,43.3572197,3.435650587,9.999999747e-05,61877.80078,14.24043941,-3.021548739e-05
2,0,7.854515118,24.91678178,34.3493519,0.5814585911,0,6.528048038,298.0227966,0,30.85284042,5.971263409,9.999999747e-05,61885.48047,14.27355289,-3.021097734e-05
2.200000048,0,7.731318997,25.08352771,34.18148045,0.5818657217,0,6.515504837,298.0302124,0,20.18654251,8.810042381,9.999999747e-05,61890.97266,14.24778652,-3.024991654e-05
2.400000095,0,7,24.46311186,34.03538499,0.5668285912,0,6.4984622,298.036499,0,14.531106,12.16744995,9.999999747e-05,61894.98828,14.08176613,-3.031900056e-05
2.599999905,0,7,25.31117176,34.02336116,0.5631114528,0,6.482675076,298.0434875,0,15.68189144,15.41380119,9.999999747e-05,61899.39453,14.01928043,-3.039725623e-05
2.799999952,0,7.318362246,27.26932774,34.26441513,0.5745166878,0,6.4714818,298.0479126,0,23.12903023,19.1454792,9.999999747e-05,61905.76562,14.07160378,-3.046078723e-05
3,0,7,24.89823204,34.07927841,0.5829071961,0,6.467839241,298.0526733,0,35.04253006,22.25743103,9.999999747e-05,61914.05859,14.1093359,-3.049203275e-05
3.200000048,0,8.302816164,27.45863451,34.62988556,0.5870417534,0,6.472101212,298.0570984,0,48.40286636,25.66160583,9.999999747e-05,61927.96094,14.11000633,-3.048381342e-05
3.400000095,0,10.92467456,29.89089008,38.36110934,0.5920139414,0,6.482701302,298.0609741,0,60.05674362,29.12404442,9.999999747e-05,61945.41406,14.1374855,-3.043838093e-05
3.599999905,0,7,25.56868351,34.34117758,0.5747498244,0,6.497581959,298.0661316,0,67.47504425,32.56739807,9.999999747e-05,61962.52344,13.93461132,-3.036778349e-05
3.799999952,0,7.774691823,26.36832342,35.5191675,0.5876273342,0,6.511438847,298.0690002,0,68.9473877,36.60445786,9.999999747e-05,61979.05859,14.00697899,-3.02896212e-05
