Time Step,Discharge rate,Sugar feed rate,Soil bean feed rate,Aeration rate,Back pressure,Water injection/dilution,pH,Temperature,Acid flow rate,Base flow rate,Cooling water,Heating water,Vessel Weight,Dissolved oxygen concentration,Yield Per Step
0,255.3362368,75.75694595,26.00974194,60.6170405,0.9015400436,153.4985845,6.443490028,297.7291565,0,23.27452087,9.999999747e-05,170.0345154,62256.39844,17.44460487,0.05830185336
0.200000003,259.6203349,76.2079925,25.95118003,60.67774542,0.903983823,153.7726894,6.459731579,297.8819885,0,45.87858963,9.999999747e-05,54.16734695,62265.30078,17.46336174,-2.713588225e-05
0.400000006,261.3733198,76.0807769,25.95785379,60.55072582,0.9021574822,154.0141472,6.485516071,297.8399658,0,62.45274353,9.999999747e-05,9.999999747e-05,62277.1875,17.4357338,-2.708560406e-05
0.6000000238,261.2070516,76.11527225,25.95878134,60.51425817,0.9011079654,154.1201822,6.515888691,298.0974426,0,68.73377228,9.999999747e-05,82.81270599,62289.39844,17.42490005,-2.714151332e-05
0.8000000119,263.1455433,75.92924026,25.96918717,60.34263591,0.8995442201,154.3583095,6.542017937,297.9767761,0,62.88116837,83.14633942,8.281270027,62299.94922,17.40117836,-2.708680706e-05
1,262.7678589,75.96568318,25.96381928,60.33081202,0.8992982273,154.2989281,6.557427406,297.8867188,0,46.60551834,43.23458481,0.8281270266,62307.30469,17.39727402,-2.673309787e-05
1.200000048,260.0518734,76.13325588,25.95826875,60.49931819,0.9012119391,154.0218998,6.553766251,298.059906,0.5192297101,23.30275917,12.97037506,62.74264145,62310.45312,17.39834976,-2.679323993e-05
1.399999976,260.4242882,76.08353477,25.96059677,60.44868158,0.9022358196,153.832069,6.540771484,297.9566345,1.0404073,11.65137959,69.15093231,6.274264336,62311.20312,17.40295219,-2.686094601e-05
1.600000024,260.5814201,76.12699327,25.95009109,60.43254861,0.9029117134,153.6524894,6.520173073,297.8793335,0,0,34.46796799,0.6274264455,62309.22266,17.38889694,-2.670632369e-05
1.799999952,256.5463244,76.38292603,25.95239402,60.74100131,0.9046973501,153.5444692,6.500417233,298.0380249,0,0,10.34039021,55.97087479,62308.14062,17.40149689,-2.690555517e-05
2,257.1468817,76.32594649,25.95477239,60.69911974,0.9048246668,153.5155963,6.481724739,297.9429321,0,0.3518997431,61.14587402,5.597087383,62306.90625,17.38682556,-2.702096803e-05
2.200000048,257.2963901,76.32905729,25.95260771,60.70684107,0.9047746226,153.5280513,6.468736649,298.3953857,0,8.180176735,18.34376144,140.7614136,62307.25,17.38572311,-2.744813228e-05
2.400000095,260.1252857,75.96258238,25.98496338,60.49591569,0.9034379312,153.7214615,6.464334011,298.1768494,0,21.18832779,173.0141296,14.07614136,62309.61719,17.37046051,-2.766698531e-05
2.599999905,262.8156561,75.8338722,25.98132036,60.35681346,0.9015733309,153.9774604,6.46951437,298.0135193,0,35.94768524,109.0492172,1.407614112,62314.58203,17.3537426,-2.718032589e-05
2.799999952,262.4988651,75.94095348,25.96565187,60.41654122,0.9012384336,154.0597743,6.482395649,297.9145203,0,48.63076401,60.97600555,0.1407614052,62322.29688,17.34428406,-2.682211448e-05
3,262.1045494,76.0080201,25.96018908,60.4424174,0.9008273958,154.1263021,6.501000881,298.1165771,0,56.16676331,18.2928009,66.94702148,62331.73438,17.34381866,-2.682205235e-05
3.200000048,263.3681799,75.86845772,25.97109911,60.33392133,0.8997755647,154.3157603,6.522319317,298.0306396,0,56.26669693,85.54460907,6.694702625,62343.14844,17.34998894,-2.67938402e-05
3.400000095,263.3047594,75.89941845,25.96693844,60.30829675,0.899318714,154.3085623,6.537471294,297.958313,0,47.84859085,58.7436676,0.6694702506,62352.91406,17.34200478,-2.650428764e-05
3.599999905,261.3141522,76.03790104,25.96133542,60.42409034,0.9005600738,154.1169248,6.541193008,297.9146729,0,33.39850616,35.59151077,0.06694702059,62360.19922,17.35152817,-2.632839869e-05
3.799999952,259.3726168,76.1714939,25.95780728,60.54934786,0.902131833,153.8953867,6.530566216,298.0706482,0,17.47759819,10.67745304,47.67443466,62363.33203,17.35172844,-2.644918114e-05
4,258.6188371,76.19794083,25.96144232,60.59042625,0.9032886412,153.7360124,6.510010719,298.015564,0,5.81788826,61.61870956,4.76744318,62364.11328,17.34209633,-2.659835985e-05
4.199999809,257.8549873,76.27052181,25.95734948,60.64906662,0.9040978043,153.6098546,6.487486362,297.9632263,0,2.366997719,44.09509659,0.4767443538,62364.22266,17.32325935,-2.656089975e-05
4.400000095,257.4021981,76.31668707,25.95385685,60.69742832,0.9045531758,153.5622751,6.469852448,297.9348755,0,7.90059042,27.0337162,0.0476744324,62365.60156,17.320858,-2.654403676e-05
4.599999905,257.8620361,76.29137551,25.95327225,60.69097445,0.9043989339,153.6055333,6.461281776,298.0595398,0,20.46536064,8.110115051,35.4860611,62369.42969,17.30760574,-2.666916267e-05
4.800000191,259.7963996,76.13154995,25.96034009,60.58755401,0.9034152266,153.7735496,6.462804794,298.019043,0,36.44435501,48.89843369,3.548605919,62376.06641,17.28406334,-2.671367729e-05
5,261.8020305,75.99755574,25.96320169,60.47558172,0.901705244,154.0262052,6.474580288,297.9882507,0,51.81009293,36.21865463,0.3548606038,62385.52734,17.26695061,-2.654236309e-05
5.199999809,262.6870157,75.95852124,25.96291575,60.41341388,0.900477858,154.2025175,6.49169445,297.9700928,0,62.46426392,26.61758232,0.03548606113,62396.96875,17.24052429,-2.637120684e-05
5.400000095,262.8584041,75.96960213,25.9622128,60.37308338,0.8997080422,154.2910203,6.506581783,297.9587708,0,66.28795624,20.14478683,0.003548606066,62408.96875,17.19915771,-2.622397267e-05
5.599999905,262.6606317,75.9897814,25.96132115,60.35560339,0.8993835538,154.3135082,6.518958569,297.9572144,0,64.18108368,15.24660301,0.0003548605891,62420.5625,17.18298912,-2.61119649e-05
5.800000191,262.2513363,76.00433789,25.96059426,60.36322642,0.8994632101,154.288399,6.525767326,297.9614258,0,57.12466431,13.25316143,9.999999747e-05,62430.76172,17.16939354,-2.6038596e-05
6,261.7309744,76.01671633,25.96019772,60.38948559,0.8998496309,154.2270304,6.524960041,297.9684448,0,47.35495377,13.11643791,9.999999747e-05,62439,17.15475464,-2.600594946e-05
6.199999809,261.092989,76.04314425,25.9601618,60.43306093,0.9005159275,154.1322535,6.518208981,297.9783325,0,37.91542053,14.05368614,9.999999747e-05,62445.45703,17.15281105,-2.601160987e-05
6.400000095,260.4476695,76.08111601,25.96018984,60.48308285,0.9012974624,154.0260408,6.507055283,297.9891663,0,31.17145538,16.22697639,9.999999747e-05,62450.67188,17.14938927,-2.604549021e-05
6.599999905,260.0523287,76.10747015,25.96014955,60.51893987,0.901889957,153.9483819,6.494435787,297.9999695,0,28.88424683,19.07654953,9.999999747e-05,62455.5,17.14323044,-2.609178609e-05
6.800000191,260.1034315,76.10398311,25.96041953,60.52777588,0.9020984956,153.9275192,6.483303547,298.0096436,0,31.63567543,22.31977463,9.999999747e-05,62460.86719,17.13064384,-2.613239684e-05
7,260.6810933,76.06315822,25.96133672,60.50449215,0.9018331732,153.9773095,6.475942135,298.0177307,0,38.83041763,25.58102417,9.999999747e-05,62467.55859,17.11223793,-2.615173795e-05
7.199999809,261.7018988,75.99273838,25.96273513,60.45206687,0.9011168574,154.0931115,6.474597454,298.0265808,0,48.96214294,28.6551857,9.999999747e-05,62476.16797,17.09827995,-2.614099935e-05
