Time Step,Discharge rate,Sugar feed rate,Soil bean feed rate,Aeration rate,Back pressure,Water injection/dilution,pH,Temperature,Acid flow rate,Base flow rate,Cooling water,Heating water,Vessel Weight,Dissolved oxygen concentration,Yield Per Step
0,243.3765262,76.40351155,25.97678058,60.78167654,0.9037668275,150.0823417,6.637200356,297.8518372,0,0,9.999999747e-05,86.10135651,61996.6875,17.35187721,0.05734650116
0.200000003,253.5586336,76.50161391,25.96952879,60.93195203,0.9043290691,153.3987091,6.609226227,297.9266052,0,0,9.999999747e-05,29.63452339,61997.23047,17.33858681,-2.61086595e-05
0.400000006,253.4885409,76.50063482,25.96953035,60.93101034,0.9043306514,153.3833331,6.582616329,297.8951111,0.5234968066,0,9.999999747e-05,9.999999747e-05,61997.83203,17.32136917,-2.62257543e-05
0.6000000238,253.0379421,76.48697756,25.97151428,60.91341591,0.9041912902,153.1681607,6.557008743,298.0463867,1.045451641,0,9.999999747e-05,49.1118927,61997.67578,17.32570648,-2.642907666e-05
0.8000000119,252.054648,76.45442274,25.97487018,60.86688097,0.9038510068,152.5472491,6.532536507,297.9620361,1.56737721,0,48.48563385,4.911189079,61997.54688,17.29542542,-2.658475091e-05
1,251.9670353,76.44025937,25.97222431,60.83304046,0.9036070383,152.0366457,6.510305405,297.9102478,0,0,19.99415588,0.4911189079,61997.06641,17.2872982,-2.651310834e-05
1.200000048,253.2259088,76.50087336,25.96864462,60.92928258,0.9042954237,153.3010284,6.489006996,298.000061,0,0,5.99824667,32.39230728,61996.61719,17.28469849,-2.660284402e-05
1.399999976,253.0554121,76.49884732,25.96848269,60.92670679,0.9042727871,153.2382292,6.47154665,297.9411621,0,4.915947437,34.001297,3.239230633,61997.125,17.26437378,-2.669576336e-05
1.600000024,252.9829664,76.49796285,25.96861691,60.92468572,0.9042453337,153.2071529,6.461295605,298.2232056,0,16.80645561,10.20038986,85.89138031,62000,17.24830818,-2.696785355e-05
1.799999952,252.0436261,76.47818469,25.97149977,60.89730556,0.9040537872,152.8292588,6.46044445,298.0748596,0,32.78601837,105.7463303,8.589138031,62006.30078,17.24228668,-2.711328379e-05
2,251.8116753,76.46496942,25.97541398,60.87636236,0.9038634817,152.6595666,6.467503071,297.9703979,0,49.09830475,60.8172493,0.8589138389,62015.92578,17.22228432,-2.679683006e-05
2.200000048,251.6582931,76.46099386,25.9775351,60.87223824,0.9038315897,152.711888,6.481010437,297.9182434,0,62.59113312,28.69615173,0.08589138091,62028.36719,17.20893478,-2.654688882e-05
2.400000095,251.52767,76.45539249,25.97988878,60.86490441,0.9037767394,152.7080574,6.499405861,298.0286865,0,70.68528748,8.608845711,34.57765579,62042.53516,17.20386124,-2.649551029e-05
2.599999905,251.033906,76.43223856,25.98551347,60.83662093,0.9035882934,152.4720388,6.518223763,297.9729309,0,71.42581177,44.03617477,3.457765579,62056.92188,17.19402885,-2.643339434e-05
2.799999952,251.2234507,76.42765765,25.98682772,60.83320418,0.9035572373,152.4789964,6.532343388,297.9386902,0,64.65335846,25.05431366,0.3457765579,62069.88672,17.18078423,-2.622425389e-05
3,251.4967915,76.4385662,25.98387402,60.85078666,0.9036964939,152.636461,6.538156033,298.0571289,0,52.24986267,7.516294003,33.65572357,62080.27344,17.16872597,-2.622581385e-05
3.200000048,251.4250711,76.43846871,25.9829687,60.85294678,0.9037425697,152.6125163,6.534285545,298.0082397,0,37.53362274,46.33808517,3.365572453,62089.72266,17.15899467,-2.625758223e-05
3.400000095,251.9599712,76.45799997,25.97850408,60.87506873,0.9038957417,152.7934002,6.521375656,297.976593,0,24.37077904,30.72569466,0.3365572393,62096.42188,17.14634705,-2.616802362e-05
3.599999905,252.4040339,76.47787753,25.9737878,60.89927886,0.9040718141,153.0014864,6.503212929,297.9637451,0,16.37055969,20.48431587,0.03365572542,62101.43359,17.13110924,-2.615088528e-05
3.799999952,252.6259839,76.48773539,25.97131549,60.91163257,0.9041585658,153.1040162,6.484760284,297.9621582,0,15.6235857,15.40963554,0.003365572309,62104.99609,17.1111393,-2.618254199e-05
4,252.6182172,76.49009887,25.97052906,60.91453091,0.9041737102,153.1164163,6.471073151,297.968811,0,22.24184608,13.59352589,0.0003365572484,62110.00781,17.10529137,-2.622981818e-05
4.199999809,252.4077876,76.48667979,25.97113798,60.90955434,0.9041310526,153.0556634,6.463688374,297.9766846,0,34.3184967,14.48951817,9.999999747e-05,62117.43359,17.07979202,-2.626424565e-05
4.400000095,252.0045765,76.47815114,25.9731605,60.89709637,0.9040308137,152.9314409,6.464139938,297.986084,0,49.34352112,15.98462009,9.999999747e-05,62127.98438,17.06291771,-2.62694818e-05
4.599999905,251.523044,76.46542478,25.97662006,60.87831944,0.90388549,152.7705947,6.472658634,297.9967346,0,64.18248749,18.29468155,9.999999747e-05,62141.68359,17.05084991,-2.62389117e-05
4.800000191,251.1018429,76.45015595,25.98114355,60.85572696,0.9037149318,152.5997335,6.484135628,298.0041199,0,75.61260986,21.3742466,9.999999747e-05,62157.66016,17.02124596,-2.617832563e-05
5,250.816619,76.43636805,25.98544176,60.83507511,0.9035574932,152.4534108,6.496580124,298.0102234,0,82.46803284,23.72245789,9.999999747e-05,62174.99609,16.99630356,-2.610239727e-05
