Time Step,Discharge rate,Sugar feed rate,Soil bean feed rate,Aeration rate,Back pressure,Water injection/dilution,pH,Temperature,Acid flow rate,Base flow rate,Cooling water,Heating water,Vessel Weight,Dissolved oxygen concentration,Yield Per Step
0,118.9089734,15.2,24.2,33,0.66,25.5,6.435266495,297.6119995,0,26.01379776,9.999999747e-05,307.9693909,62904.78125,15.0749712,0.05684576687
0.200000003,125.8990626,15.2,24.2,33,0.66,25.5,6.451721191,297.883728,0,51.90711212,9.999999747e-05,77.60176849,62899.23047,15.05325413,-2.811395974e-05
0.400000006,75.90160574,15.2,24.2,33,0.66,25.5,6.479986191,297.8693237,0,71.68467712,9.999999747e-05,9.999999747e-05,62907.94531,15.02868652,-2.892564768e-05
0.6000000238,83.00840464,15.2,24.2,33,0.66,25.5,6.513222218,298.219635,0,80.17011261,9.999999747e-05,98.39832306,62915.875,15.00169182,-2.900699396e-05
0.8000000119,67.71019574,15.2,24.2,33,0.66,25.5,6.541411877,298.0775757,0,75.38262177,116.0668411,9.839832306,62925.91016,14.96422768,-2.926348748e-05
1,69.01109121,15.2,24.2,33,0.66,25.5,6.557082653,297.9639282,0,59.35175705,72.66384888,0.9839832187,62932.40234,14.92387962,-2.885592723e-05
1.200000048,80.29390375,15.2,24.2,33,0.66,25.5,6.551527977,297.9045715,0.5192992091,29.67587852,37.43180084,0.09839832038,62930.63281,14.88943958,-2.847752474e-05
1.399999976,88.18674314,15.2,24.2,33,0.66,25.5,6.534630775,298.0570679,1.04073894,14.83793926,11.22953987,45.91473007,62924.28125,14.84897137,-2.849324805e-05
1.600000024,83.44887418,15.2,24.2,33,0.66,25.5,6.510030746,297.9779968,0,1.543365955,60.70938873,4.591473103,62915.9375,14.80667877,-2.870406627e-05
1.799999952,93.01025009,15.2,24.2,33,0.66,25.5,6.485649109,297.9307556,0,0,34.42555618,0.4591473043,62905.33594,14.76909447,-2.853389341e-05
2,95.05094706,15.2,24.2,33,0.66,25.5,6.46596384,298.0836182,0,6.261516094,10.32766724,42.68389511,62895.59375,14.73704338,-2.870068097e-05
2.200000048,88.69087014,15.2,24.2,33,0.66,25.5,6.454737663,298.0156555,0,20.3824749,60.82829285,4.268389702,62890.03906,14.69896317,-2.892974084e-05
2.400000095,86.13266225,15.2,24.2,33,0.66,25.5,6.453523159,297.9722595,0,38.98127365,39.36721039,0.4268389642,62888.83984,14.66080952,-2.885578799e-05
2.599999905,82.47873903,15.2,24.2,33,0.66,25.5,6.462542534,297.9551697,0,58.06002045,25.49204063,0.04268389568,62892.3125,14.62557125,-2.879868748e-05
2.799999952,78.63880919,15.2,24.2,33,0.66,25.5,6.479498863,297.9529419,0,73.52954102,18.87796974,0.004268389661,62899.75,14.58821297,-2.874195433e-05
3,75.98669935,15.2,24.2,33,0.66,25.5,6.501176357,297.9591064,0,82.22333527,16.56250572,0.0004268389603,62909.51953,14.55129242,-2.866414101e-05
3.200000048,75.0028419,15.2,24.2,33,0.66,25.5,6.523266792,297.9697266,0,82.25592804,16.9404068,9.999999747e-05,62921.55859,14.51464367,-2.856836658e-05
3.400000095,75.56580561,15.2,24.2,33,0.66,25.5,6.539998531,297.9820862,0,73.46619415,19.02405357,9.999999747e-05,62931.67969,14.47217083,-2.847264475e-05
3.599999905,77.11240957,15.2,24.2,33,0.66,25.5,6.546551704,297.9950562,0,58.00260162,22.07188988,9.999999747e-05,62938.31641,14.42589474,-2.840292805e-05
3.799999952,79.10475698,15.2,24.2,33,0.66,25.5,6.539708138,298.0071716,0,39.93401337,25.78774643,9.999999747e-05,62939.60156,14.37210655,-2.837921862e-05
4,81.16842122,15.2,24.2,33,0.66,25.5,6.520411491,298.0133667,0,24.61424065,29.67835045,9.999999747e-05,62937.28906,14.30458546,-2.840555225e-05
4.199999809,82.99302511,15.2,24.2,33,0.66,25.5,6.496808052,298.0215759,0,17.01108742,31.99746895,9.999999747e-05,62933.04297,14.24866295,-2.847128855e-05
4.400000095,84.13160614,15.2,24.2,33,0.66,25.5,6.475236416,298.0316772,0,18.82344437,35.27883911,9.999999747e-05,62928.94141,14.19426155,-2.855940189e-05
4.599999905,83.31940349,15.2,24.2,33,0.66,25.5,6.459758282,298.0384216,0,29.24406052,39.52031708,9.999999747e-05,62927.13281,14.13257217,-2.865609876e-05
4.800000191,80.34667744,15.2,24.2,33,0.66,25.5,6.45446682,298.0490723,0,45.84241867,42.95968246,9.999999747e-05,62929.35156,14.0796814,-2.874368212e-05
5,76.2888785,15.2,24.2,33,0.66,25.5,6.457917213,298.0549927,0,64.54359436,48.02238464,9.999999747e-05,62936.22266,14.01697254,-2.879754182e-05
5.199999809,72.28793017,15.2,24.2,33,0.66,25.5,6.470561981,298.0634155,0,81.86840057,51.82334137,9.999999747e-05,62947.47656,13.95933247,-2.880296571e-05
5.400000095,69.34781607,15.2,24.2,33,0.66,25.5,6.488145351,298.070282,0,94.1332016,56.74344254,9.999999747e-05,62961.84766,13.89659309,-2.876072234e-05
5.599999905,67.6526438,15.2,24.2,33,0.66,25.5,6.507107258,298.077301,0,99.37784576,61.43531799,9.999999747e-05,62977.64062,13.83194637,-2.868702409e-05
5.800000191,67.07939905,15.2,24.2,33,0.66,25.5,6.522384644,298.0808716,0,97.04894257,66.43439484,9.999999747e-05,62993.0625,13.76080418,-2.86028928e-05
