Time Step,Discharge rate,Sugar feed rate,Soil bean feed rate,Aeration rate,Back pressure,Water injection/dilution,pH,Temperature,Acid flow rate,Base flow rate,Cooling water,Heating water,Vessel Weight,Dissolved oxygen concentration,Yield Per Step
0,0,75.60188199,26.0005119,61.69916196,0.9024672511,145.2576382,6.548234463,297.7313232,0,0,9.999999747e-05,169.1077576,62201.80078,17.3264904,0.05832707695
0.200000003,0,75.87407954,26.01180296,61.54424872,0.9046992264,151.270494,6.527121544,297.8838501,0,0,9.999999747e-05,53.73820114,62253.8125,17.43537331,-3.028824043e-05
0.400000006,0,75.9015946,26.01128078,61.48720312,0.9047870132,151.1871389,6.506996632,297.8439026,0,0,9.999999747e-05,9.999999747e-05,62305.78516,17.42900658,-3.048809974e-05
0.6000000238,0,75.97322655,26.00728184,61.42059303,0.9047659663,151.4011158,6.487716675,298.0977173,0,0,9.999999747e-05,81.3335495,62356.8125,17.42875099,-3.079857883e-05
0.8000000119,0,75.69077925,26.02633988,61.64557121,0.9049467385,150.2612586,6.473041058,297.9880066,0,5.432077408,82.00479889,8.133355141,62408.71875,17.43616676,-3.102209095e-05
1,0,75.78455096,26.0230898,61.56028574,0.9047508872,150.4218497,6.466828346,297.9024963,0,16.7220459,45.92197037,0.8133355379,62463.07812,17.43524742,-3.08484776e-05
1.200000048,0,75.80257223,26.0236406,61.55155335,0.9046541287,150.5864738,6.470355988,298.0827026,0,30.48415375,13.77659035,63.66058731,62520.30469,17.43180466,-3.094204286e-05
1.399999976,0,75.56984343,26.04091146,61.73690608,0.9046389486,149.8090597,6.483912945,297.9984131,0,42.83024216,72.93280792,6.366058826,62579.96484,17.44293022,-3.098420014e-05
1.600000024,0,75.67823642,26.03763689,61.64860908,0.9042637099,149.9650436,6.501940727,297.9249878,0,49.75196838,45.61024857,0.6366058588,62641.10938,17.43138695,-3.071761596e-05
1.799999952,0,75.79423807,26.02897223,61.56386389,0.9042355742,150.7033973,6.518945694,298.1047974,0,49.47988129,13.68307495,61.57253265,62702.32812,17.42094612,-3.072981096e-05
2,0,75.73468759,26.02906174,61.60822685,0.9044007092,150.7969419,6.531432152,298.0290222,0,42.42361069,73.45542908,6.157253265,62762.17969,17.42739296,-3.075350121e-05
2.200000048,0,75.90995108,26.01603094,61.46442106,0.9043544111,151.3095124,6.533987045,297.9631653,0,30.38417053,49.89549637,0.6157253385,62819.79297,17.42620277,-3.055018197e-05
2.400000095,0,76.00703127,26.00677084,61.38980994,0.9045238436,151.8116282,6.52473402,297.9191284,0,17.34095383,28.82320023,0.0615725331,62874.87891,17.42050552,-3.043282802e-05
2.599999905,0,76.04972361,26.00229447,61.35733363,0.9046386634,151.9942168,6.507507324,298.0463562,0,8.005804062,8.646960258,41.72836304,62928.18359,17.42484474,-3.056897318e-05
2.799999952,0,75.95705589,26.00753065,61.43205363,0.9047708509,151.6814706,6.488546848,298.0036011,0,5.549755573,49.83227921,4.172836304,62980.82422,17.40987015,-3.073104091e-05
3,0,75.99018598,26.00622008,61.40103612,0.9047236602,151.6995458,6.474612713,297.9655762,0,10.65803623,35.86499405,0.4172836244,63034.59766,17.4086895,-3.071046162e-05
3.200000048,0,75.98654678,26.00732526,61.40620439,0.9046978739,151.7688581,6.46912384,297.938385,0,21.31789017,23.20672417,0.04172836244,63092.53516,17.38925934,-3.06737371e-05
3.400000095,0,75.97119334,26.00974814,61.42180236,0.9046203666,151.8134811,6.473856449,298.0505676,0,34.16185379,6.962017536,34.18078613,63153.14844,17.38614464,-3.075086404e-05
3.599999905,0,75.86702185,26.01802691,61.50855621,0.9045754357,151.7075164,6.485889912,298.0210876,0,45.1062355,43.55800247,3.418078423,63215.88281,17.37077904,-3.07799497e-05
3.799999952,0,75.90575471,26.01748485,61.47720005,0.9043966658,151.7975481,6.501218796,297.9906311,0,51.24586868,34.43544769,0.3418078423,63278.63281,17.35417557,-3.063027141e-05
4,0,75.96179276,26.01343165,61.43609558,0.9043874392,152.2143535,6.515376091,297.9709167,0,51.26666641,24.94005394,0.03418078646,63341.45312,17.34063339,-3.048805406e-05
4.199999809,0,76.02788505,26.00742619,61.38469616,0.9044483206,152.6270056,6.525334835,297.9625244,0,45.63877487,18.02009964,0.003418078413,63403.28516,17.33848572,-3.038427952e-05
4.400000095,0,76.08775356,26.00141756,61.33571163,0.90453216,152.895781,6.52575016,297.9596252,0,36.03748322,14.17644024,0.0003418078413,63463.125,17.31775093,-3.033188566e-05
4.599999905,0,76.12097932,25.99769849,61.30746991,0.9045963654,152.9525491,6.517778873,297.9627686,0,26.28791046,11.83777142,9.999999747e-05,63520.99609,17.30833435,-3.033408293e-05
4.800000191,0,76.13324012,25.99599157,61.29621443,0.9046439831,152.914724,6.504339695,297.9702454,0,19.72374153,11.42805767,9.999999747e-05,63577.53516,17.29966736,-3.038047454e-05
5,0,76.13072463,25.99585076,61.29756204,0.9046693729,152.8637297,6.489909649,297.9800415,0,18.5264473,12.58829308,9.999999747e-05,63633.80078,17.28618813,-3.045058525e-05
5.199999809,0,76.11899169,25.99682773,61.3074725,0.9046666076,152.8557482,6.479426384,297.992157,0,23.08681679,14.792449,9.999999747e-05,63691.04297,17.27985954,-3.051965705e-05
5.400000095,0,76.10203609,25.99858295,61.32298218,0.9046368439,152.9222088,6.475936413,298.0058289,0,31.82454491,18.15773582,9.999999747e-05,63750.12891,17.27339745,-3.056616477e-05
5.599999905,0,76.08333111,26.00078865,61.34139102,0.9045879548,153.0638304,6.47943306,298.0187988,0,41.94779587,22.48629189,9.999999747e-05,63811.28906,17.25842094,-3.05782446e-05
5.800000191,0,76.07042089,26.00266651,61.35603878,0.9045390657,153.2813773,6.488202572,298.0303955,0,50.67193985,27.07639122,9.999999747e-05,63874.23828,17.24183464,-3.05571027e-05
6,0,76.07187131,26.00318902,61.3589518,0.9045175543,153.5777914,6.500871658,298.0437317,0,55.89327621,31.68928719,9.999999747e-05,63938.38672,17.23676682,-3.051384847e-05
6.199999809,0,76.09250219,26.00160281,61.34494986,0.9045429133,153.9234746,6.512094021,298.0547791,0,56.05110168,37.34126663,9.999999747e-05,64002.60156,17.21931267,-3.046495597e-05
6.400000095,0,76.12221864,25.99876445,61.32154412,0.9045854506,154.171013,6.517691612,298.0613098,0,51.73720169,42.6885376,9.999999747e-05,64065.88672,17.19451904,-3.042691507e-05
6.599999905,0,76.14844652,25.99600727,61.29912391,0.9046230162,154.2465689,6.519434929,298.0753479,0,45.19820023,46.91384506,9.999999747e-05,64128.00781,17.19754219,-3.041511487e-05
6.800000191,0,76.17108105,25.99347439,61.27833671,0.9046591246,154.2388055,6.51392889,298.085968,0,37.95645142,54.00617599,9.999999747e-05,64188.60547,17.1768055,-3.043419196e-05
7,0,76.17925174,25.99232836,61.26959422,0.9046674374,154.1354655,6.503795147,298.0965271,0,32.92858124,60.39066696,9.999999747e-05,64248.15625,17.16088104,-3.047816672e-05
7.199999809,0,76.17817232,25.99216264,61.26979986,0.9046624002,154.0719354,6.491982937,298.1029358,0,31.9460659,67.17629242,9.999999747e-05,64307.43359,17.13723183,-3.053360812e-05
7.400000095,0,76.16940042,25.99290544,61.27881966,0.90463808,154.1059575,6.482692242,298.1091309,0,35.67912292,72.93267059,9.999999747e-05,64367.47266,17.11883163,-3.058312447e-05
