Time Step,Discharge rate,Sugar feed rate,Soil bean feed rate,Aeration rate,Back pressure,Water injection/dilution,pH,Temperature,Acid flow rate,Base flow rate,Cooling water,Heating water,Vessel Weight,Dissolved oxygen concentration,Yield Per Step
0,0,76.0545588,25.98649641,61.14581644,0.9039091996,144.9499809,6.425726414,297.885376,0,31.14999771,9.999999747e-05,50.83824921,62330.19531,17.35466576,0.05822548895
0.200000003,0,76.32727796,25.97021492,61.14516068,0.9064238792,144.3064523,6.44466114,297.9245911,0,60.85948944,9.999999747e-05,22.92670822,62393.18359,17.36118126,-3.095885749e-05
0.400000006,0,76.27668566,25.97399883,61.25713385,0.9065055033,141.8559297,6.478397846,297.894989,0,83.45287323,9.999999747e-05,3.319416523,62460.41016,17.36995888,-3.08116426e-05
0.6000000238,0,76.27020007,25.97793574,61.39607255,0.9067625569,140.3726237,6.517730236,297.9979553,0,92.56363678,9.999999747e-05,39.68766022,62528.17188,17.36660194,-3.068787116e-05
0.8000000119,0,76.25674948,25.98130847,61.52484764,0.9072101547,139.5033122,6.553328991,297.9296875,0,85.97047424,31.81395912,3.968765974,62594.36719,17.35921478,-3.052871044e-05
1,0,76.23666298,25.98316631,61.59946297,0.9075046596,140.0785365,6.563432693,298.2105408,0.5172705054,42.98523712,9.544187546,92.10913086,62652.0625,17.36736488,-3.063629425e-05
1.200000048,0,76.29390384,25.98007251,61.49002701,0.9070063983,141.2934934,6.556115627,298.0726624,1.03765583,21.49261856,104.3141022,9.210912704,62705.69922,17.35305023,-3.076554766e-05
1.399999976,0,76.20825909,25.985248,61.65424941,0.9078138917,138.4591515,6.54002142,297.9648743,1.559040308,10.74630928,62.54113007,0.9210912585,62756.69531,17.35212708,-3.053972015e-05
1.600000024,0,76.28314529,25.98115332,61.52494661,0.9072393346,138.9524254,6.517348289,297.901001,0,0,29.11113358,0.09210912883,62805.36328,17.34186363,-3.043049956e-05
1.799999952,0,76.43453593,25.97142338,61.21120596,0.9058408798,145.380184,6.495697975,298.0114441,0,0,8.733340263,41.1229744,62855.42188,17.32383537,-3.057036142e-05
2,0,76.45284303,25.97017128,61.17606924,0.9058220438,145.1448457,6.476675034,297.9517212,0,2.239263058,43.6024437,4.112297058,62905.92578,17.31682587,-3.07087193e-05
2.200000048,0,76.44983009,25.96995357,61.18009363,0.906054074,144.3672844,6.465519428,297.9057312,0,12.08235836,22.59690857,0.4112297297,62958.30859,17.3083744,-3.065578865e-05
2.400000095,0,76.4549573,25.96921031,61.16526029,0.9061365991,143.7470668,6.464157104,298.0221863,0,26.37036133,6.779072285,40.31728363,63013.41797,17.29079437,-3.07478587e-05
2.599999905,0,76.44604247,25.96972706,61.19292662,0.9062962972,142.0215687,6.472616673,297.9670715,0,41.19619751,43.76386261,4.031728268,63071.19922,17.28126907,-3.077854081e-05
2.799999952,0,76.41481677,25.97217181,61.28889372,0.9065898997,139.3994809,6.488809586,297.9250488,0,52.63745117,24.71491432,0.4031728208,63130.82422,17.27604294,-3.059483075e-05
3,0,76.42095494,25.97286586,61.3243114,0.9065131025,138.6260362,6.507760048,298.0412598,0,57.60764313,7.41447401,38.53709793,63191.28125,17.26261902,-3.057032396e-05
3.200000048,0,76.42787508,25.97340629,61.35487185,0.906490695,138.2663252,6.52518034,297.9937744,0,55.01335907,45.00368881,3.853709936,63253.22266,17.25581169,-3.053872907e-05
3.400000095,0,76.41367081,25.97478157,61.41950204,0.9066894997,137.9745064,6.534545898,297.9536438,0,45.46478653,29.30176735,0.3853709996,63313.10938,17.24022293,-3.036604455e-05
3.599999905,0,76.44367039,25.97294469,61.35192401,0.906347908,139.7191683,6.533589363,297.9320068,0,32.19137573,15.5744791,0.03853709996,63370.69141,17.22770882,-3.026519161e-05
3.799999952,0,76.47323928,25.97099459,61.27520485,0.9060122123,141.2617324,6.521809578,298.0161133,0,19.30870056,4.672343731,25.61823654,63424.69141,17.20684242,-3.034550236e-05
4,0,76.49458397,25.96952868,61.21555154,0.905808523,142.0758803,6.503777981,297.9912415,0,11.14040756,31.29317665,2.561823845,63477.19141,17.19120979,-3.046297631e-05
4.199999809,0,76.50360281,25.96882151,61.19343995,0.9058379158,142.0707808,6.485633373,297.9720764,0,10.17060375,22.68587875,0.2561823726,63529.55078,17.18078613,-3.048817007e-05
4.400000095,0,76.51898511,25.96759154,61.15538321,0.9058495441,142.1878206,6.47287178,297.9638062,0,16.4389801,15.93260765,0.02561823651,63583.27344,17.17006111,-3.051998703e-05
4.599999905,0,76.52693188,25.96688716,61.14303505,0.9059724447,141.5408543,6.469109535,297.963623,0,27.79412651,12.17748451,0.002561823698,63639.25781,17.16238785,-3.053674626e-05
4.800000191,0,76.53095459,25.9667533,61.15525113,0.9060846968,140.1993966,6.475204945,297.9688416,0,40.64188385,10.82470703,0.000256182364,63697.66016,17.15383911,-3.05198421e-05
5,0,76.53535978,25.96712078,61.18752029,0.9061109934,138.5913235,6.487396717,297.9758606,0,51.0477829,11.25888348,9.999999747e-05,63757.79297,17.12966347,-3.047018925e-05
5.199999809,0,76.53904547,25.96770784,61.2263881,0.9060979094,137.4314161,6.503152847,297.985321,0,56.58853149,12.47737789,9.999999747e-05,63818.83984,17.11489868,-3.040185326e-05
5.400000095,0,76.54600664,25.96801583,61.25642131,0.9060715632,137.0723722,6.517035484,297.9953308,0,55.83472443,14.77674866,9.999999747e-05,63879.62109,17.09324646,-3.03342378e-05
5.599999905,0,76.55094826,25.96799807,61.26559948,0.9060241404,137.5619881,6.526147366,298.0071411,0,49.54539108,17.61107826,9.999999747e-05,63939.26562,17.07963753,-3.028657498e-05
5.800000191,0,76.55771392,25.96758872,61.25238759,0.9059289989,138.4607693,6.526185513,298.0184021,0,39.62107468,21.43081284,9.999999747e-05,63997.02734,17.05529022,-3.027354391e-05
6,0,76.56282311,25.96707946,61.22440825,0.90582054,139.3254671,6.517186642,298.0288391,0,29.69599152,25.49445152,9.999999747e-05,64052.89453,17.02912521,-3.030168155e-05
6.199999809,0,76.56865449,25.96648845,61.19115923,0.9057349587,139.8996151,6.503204823,298.0411377,0,23.37088013,29.70205307,9.999999747e-05,64107.64453,17.01209641,-3.036457457e-05
