Time Step,Discharge rate,Sugar feed rate,Soil bean feed rate,Aeration rate,Back pressure,Water injection/dilution,pH,Temperature,Acid flow rate,Base flow rate,Cooling water,Heating water,Vessel Weight,Dissolved oxygen concentration,Yield Per Step
0,190.3059576,74.17441569,26.83116936,63.33588742,0.9515506405,144.4667306,6.505732536,298.0448608,0,0,2.965773344,9.999999747e-05,61818.23047,17.70049286,0.05758989305
0.200000003,189.0784824,78.72541959,25.80239811,64.72870943,0.9662320795,155.6735578,6.484899521,298.0114746,0,0,4.648099422,9.999999747e-05,61833.21484,17.93132782,-2.797174935e-05
0.400000006,188.8675962,78.41911147,25.88113437,64.52211032,0.9702709398,154.6604614,6.469454765,297.9877014,0,6.628615379,9.999999747e-05,9.999999747e-05,61849.33594,17.95664215,-2.79727886e-05
0.6000000238,188.7523893,78.51813556,25.85399818,64.54873318,0.9708324752,154.8469011,6.463043213,297.9674377,0,19.35066795,9.999999747e-05,9.999999747e-05,61867.14844,17.95580482,-2.795171036e-05
0.8000000119,187.8604871,78.14044997,25.95409996,64.37235588,0.9725967943,153.7054883,6.46653986,297.9506226,0,34.62502289,9.999999747e-05,9.999999747e-05,61887.94922,17.96072578,-2.790074417e-05
1,187.4515751,78.00110062,25.98074134,64.27796539,0.9739185927,153.0564878,6.479372025,297.9373169,0,48.49711227,9.999999747e-05,9.999999747e-05,61911.56641,17.96978569,-2.780166318e-05
1.200000048,187.9469708,78.75202521,25.79865238,64.69310992,0.9694278329,155.3070736,6.495495319,297.9716187,0,57.23744965,9.999999747e-05,12.31155396,61937.38281,17.90935898,-2.77138688e-05
1.399999976,186.6276184,77.74352989,26.05247382,64.13597303,0.9765694505,152.0696183,6.51406765,297.9569702,0,59.5474472,9.57781601,1.231155396,61963.13672,17.97146416,-2.763616219e-05
1.600000024,187.9227075,77.99611057,25.97034385,64.23890744,0.973052195,153.197862,6.527639389,297.9494934,0,54.43097305,3.208142996,0.123115547,61987.80859,17.92644882,-2.748770228e-05
1.799999952,188.3786023,78.19912229,25.94429276,64.37749611,0.975015559,153.2848996,6.533208847,297.9916992,0,43.91014099,0.9624428749,11.89998055,62010.30078,17.93448257,-2.744185561e-05
2,187.2325626,77.96936432,25.99859884,64.24979201,0.9748193662,152.9227264,6.528450489,297.9814148,0,31.17168999,13.68881989,1.189998031,62030.25391,17.91887665,-2.74567869e-05
2.200000048,189.5291857,78.9990492,25.7559336,64.81984852,0.9685772052,155.9331224,6.515626907,297.9771118,0,20.34488106,9.506009102,0.118999809,62048.42188,17.86283875,-2.741964259e-05
2.400000095,189.1958327,78.81640289,25.77908156,64.77831959,0.9663204244,155.9539115,6.498291969,297.9789429,0,14.64096069,7.403318405,0.01189998072,62065.37891,17.82434654,-2.746087726e-05
2.599999905,189.2851401,78.84070087,25.76086444,64.80122737,0.965918579,156.0298147,6.482292652,297.9857178,0,15.86001587,7.207075119,0.001189998118,62082.63281,17.8162365,-2.751780576e-05
