Time Step,Discharge rate,Sugar feed rate,Soil bean feed rate,Aeration rate,Back pressure,Water injection/dilution,pH,Temperature,Acid flow rate,Base flow rate,Cooling water,Heating water,Vessel Weight,Dissolved oxygen concentration,Yield Per Step
0,4000,69.94564577,25.45135031,59.07142509,0.9177965216,151.4688402,6.432758808,297.8559265,0,38.4460907,9.999999747e-05,86.50177002,61098.29688,17.50740814,0.05936065168
0.200000003,0,79.16268098,26.04325786,56.07207676,0.9159091496,153.7134032,6.455983162,297.9388733,0,65.34247589,9.999999747e-05,28.8157959,61165.26172,17.49193192,-3.10699722e-05
0.400000006,4000,77.91142149,25.82076658,56.61495631,0.9364667361,164.1597545,6.516880035,297.920929,0,83.39302826,9.999999747e-05,9.999999747e-05,60417.67969,17.63466644,2.349314122e-05
0.6000000238,4000,77.15428328,25.80482022,58.44878541,0.9263875683,159.6423986,6.580619812,298.0587463,0,77.03565979,9.999999747e-05,41.9288063,59666.79297,17.53728867,2.40166905e-05
0.8000000119,4000,78.09595044,25.78058244,56.99624639,0.9273268157,158.2735971,6.619387627,298.0129395,0.5146554112,38.5178299,44.71317291,4.19288063,58908.20703,17.52126503,2.452752188e-05
1,0,78.89612545,25.82314668,56.1890676,0.9396638434,162.5462302,6.602257729,297.9717712,1.032649755,19.25891495,30.07531548,0.419288069,58966.89453,17.60693932,-2.926344966e-05
1.200000048,0,77.56049433,25.83414597,56.98475871,0.9273160584,160.3815002,6.575793266,297.9491272,1.556684256,9.629457474,16.70818138,0.04192880541,59022.89453,17.48988152,-2.926979113e-05
1.399999976,0,78.88917328,25.87414005,55.54599856,0.9370277178,162.1966758,6.54572773,298.0307312,2.079171181,4.814728737,5.01245451,23.39529037,59078.80078,17.56189537,-2.943312158e-05
1.600000024,4000,79.16221265,25.87291404,54.63802688,0.9441626507,163.345815,6.544819355,298.0111694,0,0,31.4277668,2.339529037,58313.70312,17.59739876,2.458979568e-05
1.799999952,0,75.90570474,25.90488653,59.72466552,0.906590205,153.1882952,6.513515472,297.9920654,0,0,25.21849442,0.2339528948,58365.55078,17.26174736,-2.917696406e-05
