Time Step,Discharge rate,Sugar feed rate,Soil bean feed rate,Aeration rate,Back pressure,Water injection/dilution,pH,Temperature,Acid flow rate,Base flow rate,Cooling water,Heating water,Vessel Weight,Dissolved oxygen concentration,Yield Per Step
0,318.1959963,70.4265678,26.05606582,56.81838857,0.8637022093,148.5458443,6.300942898,297.7094727,0,92.41607666,9.999999747e-05,191.3187561,62110.91016,17.08909035,0.05845178094
0.200000003,318.1959963,76.05879244,25.86922527,52.75967757,0.8054258055,148.5458443,6.365819931,297.8851624,0,172.0388794,9.999999747e-05,58.1041069,62132.5,16.59984589,-2.709844958e-05
0.400000006,318.1959963,82.18198038,27.28716269,55.50849456,0.8054258055,148.5458443,6.436538696,297.8519897,0,225,9.999999747e-05,9.999999747e-05,62166.74609,16.58480644,-2.680564962e-05
0.6000000238,318.1959963,82.18198038,27.28871578,56.1986321,0.8598164377,148.5458443,6.505357265,298.1199646,0,225,9.999999747e-05,83.46749878,62199.92188,17.03410721,-2.66361932e-05
0.8000000119,318.1959963,82.18198038,27.26327607,57.41638734,0.8997092406,148.5458443,6.571555614,297.9987183,0,223.3776245,87.1437149,8.346750259,62232.73047,17.36344147,-2.642091357e-05
1,318.1959963,80.0522093,26.88457992,55.63111169,0.8597121708,148.5458443,6.618740082,297.911438,0.5147435665,111.6888123,47.80004883,0.834675014,62242.18359,17.02325439,-2.589804679e-05
1.200000048,318.1959963,69.84929737,26.09443343,56.18329836,0.8483696037,148.5458443,6.634902,298.0891724,1.031767488,55.84440613,14.34001446,61.37368011,62237.36328,16.91916084,-2.581898144e-05
1.399999976,318.1959963,72.54289976,25.80916232,56.6976619,0.8603564142,148.5458443,6.62807703,297.993927,1.551852942,27.92220306,72.99147034,6.137367725,62227.625,17.0147438,-2.584314045e-05
1.600000024,318.1959963,67.23980213,25.55079457,54.50910533,0.8316376341,148.5458443,6.608825207,297.9248047,2.073384523,13.96110153,42.14031982,0.6137368083,62213.69531,16.76423073,-2.567787791e-05
1.799999952,318.1959963,67.23980213,25.36613423,53.35074496,0.8314301037,148.5458443,6.583827972,298.0878296,2.595406532,6.980550766,12.64209557,54.10598755,62198.34375,16.74352646,-2.582375543e-05
2,318.1959963,67.23980213,25.14568411,52.75967757,0.8336124179,148.5458443,6.556976795,298.0000916,3.117586374,3.490275383,66.5851593,5.410598755,62182.23828,16.73779678,-2.596917583e-05
2.200000048,318.1959963,67.23980213,25.11523266,52.75967757,0.8420074152,160.3405854,6.529932976,297.9367065,3.639754295,1.745137691,38.38632965,0.5410599113,62168.26953,16.79097748,-2.588781e-05
2.400000095,318.1959963,67.23980213,25.04633302,52.75967757,0.845355219,170.3878338,6.505657196,298.085083,0,0,11.5158987,48.12639236,62155.14062,16.79563713,-2.605526031e-05
2.599999905,318.1959963,67.23980213,25.7774039,56.57093525,0.8627857485,148.5458443,6.482635975,298.0038452,0,0,60.81201553,4.812639236,62137.64844,16.93414116,-2.619516913e-05
2.799999952,318.1959963,67.23980213,25.85806582,56.83147644,0.8685089372,148.5458443,6.464702129,297.9494934,0,7.463421345,34.86470032,0.4812639356,62121.66406,16.96339035,-2.611141618e-05
3,341.4639995,73.45319653,25.97873539,57.98887557,0.8804294171,157.280879,6.454771042,298.0820618,0,22.08772087,10.45940971,40.97265625,62107.32422,17.04959869,-2.591541568e-05
3.200000048,318.1959963,67.23980213,26.02612988,57.22313132,0.8650538659,148.5458443,6.453952312,298.011261,0,40.67450714,54.71592712,4.097265244,62100.16406,16.90786362,-2.627674523e-05
3.400000095,318.1959963,67.23980213,25.99510446,56.94478921,0.8660163195,148.5458443,6.463228226,297.9703369,0,59.58439636,32.37185669,0.4097265601,62096.95312,16.91338539,-2.609538225e-05
3.599999905,318.1959963,67.23980213,25.87260892,56.33436658,0.8473477056,148.5458443,6.478738308,297.9521484,0,74.78013611,19.20578384,0.04097265378,62096.80859,16.74078941,-2.592887564e-05
3.799999952,318.1959963,67.23980213,25.90863181,54.95655634,0.8106322628,148.5458443,6.497386932,297.9486084,0,83.78365326,12.12277508,0.004097265657,62097.26562,16.41685486,-2.577933025e-05
4,318.1959963,74.20310462,25.94624503,55.69433291,0.8222490262,148.5458443,6.518014431,298.0304871,0,85.33732605,3.636832476,18.91450119,62099.97266,16.51387978,-2.57259883e-05
4.199999809,318.1959963,67.23980213,25.9533827,54.66049311,0.8054258055,148.5458443,6.53317976,298.0109253,0,78.6436615,29.98432922,1.891450167,62099.38672,16.3525486,-2.566409033e-05
