Time Step,Discharge rate,Sugar feed rate,Soil bean feed rate,Aeration rate,Back pressure,Water injection/dilution,pH,Temperature,Acid flow rate,Base flow rate,Cooling water,Heating water,Vessel Weight,Dissolved oxygen concentration,Yield Per Step
0,212.3340534,74.92301136,26.06071021,60.66800378,0.8915440538,149.5439175,6.636922836,297.8519287,0,0,9.999999747e-05,86.10135651,62002.55859,17.24937439,0.05734566099
0.200000003,367.1510733,74.23144042,25.86377114,60.10860167,0.8884735394,150.8939967,6.610033989,297.9268799,0,0,9.999999747e-05,29.61370087,61978.67188,17.20441246,-2.456072433e-05
0.400000006,662.2099987,74.25597825,25.85559802,60.15231797,0.8893543481,150.6685553,6.586869717,297.8955994,0.5233547688,0,9.999999747e-05,9.999999747e-05,61894.30859,17.19270325,-2.063802015e-05
0.6000000238,307.0551589,73.52675366,25.83095978,59.8544602,0.8835285828,150.1836557,6.561427593,298.0469666,1.044910431,0,9.999999747e-05,48.9997673,61881.64844,17.14855576,-2.56277568e-05
0.8000000119,0,71.97519281,25.76545608,59.23047499,0.8720527077,148.1399524,6.534801483,297.9627991,1.566981077,0,48.54346466,4.89997673,61931.05859,17.02550507,-2.994507182e-05
1,0,75.52203537,25.92408896,60.72162747,0.8977686599,153.9827276,6.510610104,297.9107361,0,0,20.13524055,0.489997685,61982.375,17.23796082,-2.990227299e-05
1.200000048,411.5887418,73.32928768,25.82143413,59.90315601,0.882720482,150.2920635,6.490418434,298.0014648,0,0,6.040572166,32.56987,61947.97266,17.10143661,-2.444612064e-05
1.399999976,312.6316703,72.88328064,25.80872542,59.80958513,0.8793091134,149.7927265,6.472977161,297.9423218,0,4.341362,34.38825989,3.256986856,61934.44531,17.05226326,-2.586279004e-05
1.600000024,277.9396816,76.36789585,25.97526352,60.87200062,0.9020683524,154.5045952,6.462179184,298.2260742,0,15.66303158,10.31647778,86.35235596,61932.20703,17.2284584,-2.660202714e-05
1.799999952,250.3389588,72.15236439,25.78744509,59.50663475,0.8733448219,149.4278227,6.4605093,298.0769348,0,31.29100609,106.4896317,8.635234833,61936.66406,16.98129272,-2.710923838e-05
2,0,70.9165704,25.71398503,59.17265299,0.8660803173,148.6288457,6.465200901,297.9720154,0,47.57828903,61.38222504,0.8635235429,61995.24609,16.90268326,-3.017577761e-05
2.200000048,221.7266425,71.80701725,25.7802386,59.47757491,0.8703906284,150.0423602,6.478255272,297.9194641,0,61.99727631,29.19026947,0.08635235578,62011.875,16.92628098,-2.696115356e-05
2.400000095,0,72.84002783,25.83099989,59.71715102,0.8762572221,151.401616,6.495224953,298.0308838,0,71.18732452,8.757081032,34.8298111,62076.44141,16.97219086,-2.989912567e-05
2.599999905,239.2797663,73.45366418,25.87764993,59.87479269,0.8792995197,152.2327942,6.515162945,297.9746704,0,73.60340118,44.57286453,3.482980967,62092.81641,16.98977661,-2.66356521e-05
2.799999952,227.5197187,75.19664736,25.92088675,60.56159897,0.8932431055,154.6307341,6.531049728,297.9397583,0,68.04705048,25.49911308,0.3482981026,62111.42969,17.09506035,-2.657974732e-05
3,261.3761121,75.50152355,25.94314993,60.67831305,0.8952984408,153.9537429,6.539313793,298.059021,0,56.15888977,7.64973402,33.96616364,62120.60156,17.09928894,-2.612342552e-05
3.200000048,400.0561822,73.55094005,25.80300617,59.91889787,0.8850679335,150.5182725,6.538778782,298.0097961,0,40.97713852,46.80209732,3.39661622,62099.04688,17.00131798,-2.428200256e-05
3.400000095,385.0483512,74.05342056,25.88056885,59.89485612,0.8847898051,151.0320713,6.527742863,297.9776917,0,26.01389313,31.13075066,0.339661628,62077.77734,16.98422432,-2.437477072e-05
3.599999905,301.9272486,72.71360104,25.79746891,59.69488906,0.8779835435,150.1797399,6.509026051,297.9646606,0,15.47122478,20.79012299,0.03396616131,62070.82812,16.90954018,-2.545962855e-05
3.799999952,297.4095986,74.08762469,25.86937987,59.91825742,0.8857852862,151.3150525,6.488604546,297.9627686,0,12.40692711,15.69849777,0.003396616317,62063.52734,16.95421791,-2.555510508e-05
4,386.4914449,74.16712797,25.88201096,59.9769776,0.885906148,151.2107458,6.472720146,297.9693298,0,17.49218369,13.82655716,0.0003396616376,62039.08984,16.94838333,-2.441764043e-05
4.199999809,0,72.33116266,25.75643869,59.72010396,0.8780087752,148.9807224,6.460654259,297.977356,0,28.91096306,14.70413494,9.999999747e-05,62095.16797,16.85737228,-2.961160037e-05
4.400000095,355.7652481,74.06861528,25.86830834,60.46637342,0.8877856013,153.3009885,6.459564686,297.9865112,0,45.15808487,16.27732658,9.999999747e-05,62083.00781,16.92458344,-2.490728013e-05
4.599999905,227.9676809,74.28382099,25.88849011,60.46020768,0.8879798329,153.862634,6.466733456,297.9969482,0,61.81721115,18.52528572,9.999999747e-05,62100.67578,16.91543388,-2.656908658e-05
4.800000191,249.7356635,72.85182982,25.83966258,59.75104727,0.8760071782,150.9725053,6.478328705,298.004425,0,75.61680603,21.55270195,9.999999747e-05,62115.61328,16.78531075,-2.621785339e-05
5,247.7216811,74.7552323,25.9495001,60.137039,0.886742966,152.9974366,6.491975784,298.0102539,0,84.7901535,23.93619347,9.999999747e-05,62133.72266,16.852808,-2.616147872e-05
5.199999809,348.4464415,74.28160106,25.85618173,60.18379614,0.8893417882,151.5339413,6.508724213,298.0188293,0,88.51224518,26.0531044,9.999999747e-05,62131.56641,16.86505127,-2.473353827e-05
5.400000095,368.4985598,75.19891932,25.94536491,60.19670315,0.8898170919,153.0577552,6.523022175,298.0264893,0,85.53130341,29.35980606,9.999999747e-05,62125.26562,16.85125732,-2.436877252e-05
5.599999905,217.9474457,74.92581223,25.91325887,60.16495666,0.8893585543,153.5711922,6.529806137,298.0325623,0,76.84922028,32.64397049,9.999999747e-05,62148.04297,16.82535362,-2.627938112e-05
5.800000191,226.2074854,73.87456168,25.87757305,60.03165274,0.8834943007,152.544242,6.527675152,298.0357361,0,65.47028351,35.67790604,9.999999747e-05,62166.21094,16.74652672,-2.613511892e-05
6,244.0487079,73.40365485,25.85400579,59.90380882,0.8805348448,151.8918605,6.517906666,298.0375366,0,54.94900131,37.94599533,9.999999747e-05,62178.22266,16.69205666,-2.589657321e-05
6.199999809,261.7046542,72.92366635,25.77363344,59.81593774,0.8815814008,150.1688743,6.503910542,298.0402527,0,48.33150482,39.87764359,9.999999747e-05,62184.73438,16.67495728,-2.568613462e-05
6.400000095,230.5640517,72.31909441,25.78902318,59.61522878,0.8744346339,150.7756803,6.486965656,298.0384216,0,47.30201721,42.21054459,9.999999747e-05,62197.24609,16.57765388,-2.613267367e-05
6.599999905,279.2196109,76.11590629,25.97563436,60.69417478,0.8985437793,155.7100052,6.473461151,298.0422363,0,53.04650497,43.06850052,9.999999747e-05,62203.05078,16.7652626,-2.553309558e-05
6.800000191,257.893122,74.19994945,25.88178943,60.41611865,0.8871836947,154.0184473,6.462825298,298.0429688,0,64.17206573,45.84284592,9.999999747e-05,62214.55859,16.63854218,-2.583923232e-05
7,221.9655685,74.10896858,25.89640261,60.38014004,0.8856598228,154.3440269,6.45752573,298.04599,0,79.55361938,47.65245819,9.999999747e-05,62236.62891,16.603508,-2.631894342e-05
7.199999809,218.0249385,74.72581035,25.93687342,59.99460275,0.8853595541,153.9414991,6.45866394,298.0508423,0,97.04673004,50.29965591,9.999999747e-05,62263.20312,16.57946777,-2.635639191e-05
7.400000095,224.6857405,75.07070578,25.93851463,60.39754645,0.8894180615,155.0908099,6.463330269,298.0518799,0,114.0804138,53.67442322,9.999999747e-05,62292.16406,16.58639908,-2.622849429e-05
7.599999905,227.4521488,75.19919087,25.95235321,60.11785744,0.8875145779,153.9976681,6.472307682,298.0552368,0,129.2565613,55.90056229,9.999999747e-05,62323.49219,16.54711151,-2.61302097e-05
7.800000191,216.308845,76.49580495,26.01074064,60.30342397,0.894972674,154.7054645,6.488549232,298.0681152,0,140.8389893,58.99684143,9.999999747e-05,62360.13281,16.60209465,-2.619796228e-05
8,213.3319447,77.45847252,26.03474634,60.68444471,0.9042343057,154.2329424,6.501522541,298.069397,0,145.9147644,65.4863205,9.999999747e-05,62398.48438,16.6468029,-2.614925637e-05
8.199999809,309.366797,77.15537416,26.03414278,60.3349201,0.8984922887,154.4801097,6.511873245,298.0693665,0,145.8352509,68.39035797,9.999999747e-05,62417.0625,16.56684685,-2.48121756e-05
8.399999619,221.9885398,76.95606388,26.01089726,60.33202238,0.8977309841,154.2936794,6.513895512,298.0622864,0,141.6134491,70.96392822,9.999999747e-05,62452.45312,16.5198822,-2.587421982e-05
8.600000381,217.1689312,76.89706368,26.02546003,60.2988865,0.8963845491,154.2298045,6.513640881,298.0644836,0,136.6017303,71.12854004,9.999999747e-05,62487.80469,16.48181343,-2.589461032e-05
8.800000191,293.9677641,76.74719402,26.02832034,60.33438183,0.8957213891,153.6429968,6.510944843,298.0683899,0,131.6726227,74.27255249,9.999999747e-05,62506.24219,16.44588661,-2.487581001e-05
9,209.1368075,76.14296035,25.96233161,60.5334448,0.8974529525,154.995698,6.505075932,298.0729675,0,127.8227158,78.02635956,9.999999747e-05,62541.38672,16.42998123,-2.596642924e-05
9.199999809,216.3461586,76.15303181,25.9890493,60.21746934,0.8927781397,154.201862,6.494799614,298.0709534,0,126.3228912,82.1428833,9.999999747e-05,62574.50391,16.34898567,-2.58800688e-05
9.399999619,216.2296119,76.05071861,25.99206268,60.16790447,0.8915781554,154.2616365,6.485385418,298.0758057,0,128.937912,84.14324951,9.999999747e-05,62608.19141,16.30772209,-2.589739328e-05
9.600000381,208.0579745,76.56538358,26.03184038,60.44228769,0.8954961317,154.2420082,6.477994442,298.0832214,0,135.3018036,88.49680328,9.999999747e-05,62645.02344,16.31059074,-2.602261244e-05
9.800000191,206.9372911,76.52292556,26.02954678,60.6190261,0.8973977401,155.390274,6.47196722,298.0878906,0,144.618103,93.86457062,9.999999747e-05,62683.38281,16.29170036,-2.604922634e-05
10,215.4484799,76.61876244,26.05494178,60.3640457,0.8947598292,154.4923089,6.472395897,298.1043701,0,156.3473511,98.53496552,9.999999747e-05,62722.375,16.24339294,-2.594204024e-05
10.19999981,227.3727081,77.96291366,26.11023033,60.38802027,0.8996468279,154.7067724,6.476243496,298.1194153,0,167.8882599,107.4849777,9.999999747e-05,62761.75391,16.25331497,-2.577705851e-05
10.39999962,292.0547948,78.00196467,26.09271686,60.27352991,0.898206244,154.115045,6.480649948,298.1265564,0,177.8995819,116.4665298,9.999999747e-05,62789.80469,16.20221519,-2.491168434e-05
10.60000038,214.6243436,79.19080746,26.1903157,60.06158468,0.8990876404,153.7399823,6.484363079,298.1321411,0,186.1574097,123.2900848,9.999999747e-05,62835.67578,16.16983604,-2.586452588e-05
10.80000019,296.4165945,79.70033878,26.22329906,60.03075716,0.8999640448,153.5993696,6.487874985,298.1372375,0,192.9340363,129.9161682,9.999999747e-05,62866.29297,16.13686562,-2.477274786e-05
11,224.1858508,77.93490078,26.07783287,60.46282462,0.9010480644,153.5373072,6.489135742,298.1389465,0,198.3045044,136.5805359,9.999999747e-05,62912.29297,16.1055069,-2.565825789e-05
11.19999981,218.4667912,79.53412209,26.20167879,60.12443578,0.8993527426,153.4273501,6.488849163,298.140686,0,203.1772766,142.2805176,9.999999747e-05,62960.87891,16.0446434,-2.569980083e-05
11.39999962,370.4880522,80.6901194,26.28941692,59.91429717,0.9006283358,153.1353533,6.48840189,298.1444397,0,208.162674,148.0831909,9.999999747e-05,62979.58594,16.008255,-2.372243111e-05
11.60000038,232.9830803,78.62903052,26.16809878,60.2636823,0.8989045015,153.3426503,6.486590862,298.1552124,0,213.3224487,154.6324463,9.999999747e-05,63027.06641,15.95263958,-2.546091863e-05
11.80000019,230.4673074,77.59976194,26.09964031,60.68928145,0.9038945842,153.8464562,6.484806061,298.1754456,0,219.2105865,163.7434998,9.999999747e-05,63076.16797,15.95467281,-2.549828192e-05
12,233.7850666,80.8809163,26.2743694,59.92244908,0.9009101261,153.1635384,6.481280804,298.1820374,0,225,176.4607544,9.999999747e-05,63126.50781,15.87097263,-2.546119246e-05
12.19999981,232.5261322,81.15173973,26.29376073,59.86910664,0.9003502913,153.0250503,6.475451469,298.181366,0,225,185.1673431,9.999999747e-05,63177.10938,15.80996037,-2.547067576e-05
12.39999962,229.3625757,81.0599249,26.31913812,59.8304552,0.8975491546,152.7684798,6.468008995,298.1827698,0,225,191.7090149,9.999999747e-05,63228.27734,15.73005295,-2.55087937e-05
12.60000038,252.0771329,81.51764597,26.32048794,59.74797805,0.8989005273,152.7991485,6.458485126,298.1758118,0,225,198.9953003,9.999999747e-05,63274.85547,15.67959404,-2.521931805e-05
12.80000019,361.1469194,82.05662363,26.41844791,59.63998101,0.8970663809,152.7311213,6.449230194,298.1838684,0,225,203.4414825,9.999999747e-05,63299.26172,15.60495281,-2.38362025e-05
13,371.8609552,78.98699689,26.11737895,60.39576867,0.9043984856,153.7260376,6.439304829,298.1952209,0,225,212.8641357,9.999999747e-05,63320.82812,15.61278248,-2.37198701e-05
13.19999981,241.4534467,79.99769369,26.25099627,60.09510328,0.9026976101,153.4799674,6.426124096,298.1867371,0,225,223.6194,9.999999747e-05,63369.28125,15.52717304,-2.539846322e-05
13.39999962,251.3373945,77.69351507,26.09916284,60.4405786,0.9013690182,153.461262,6.411913395,298.1835022,0,225,227.9234619,9.999999747e-05,63415.04688,15.45264053,-2.529445379e-05
13.60000038,216.5595316,82.79764121,26.4716122,59.2712855,0.8928716966,152.0401893,6.397957325,298.1965027,0,225,233.8752289,9.999999747e-05,63469.10156,15.30206203,-2.578443918e-05
13.80000019,234.5110652,83.04270584,26.49584163,59.1166999,0.8905785914,151.795731,6.387248993,298.2550659,0,225,245.2623444,9.999999747e-05,63519.71875,15.21768284,-2.565804432e-05
