Time Step,Discharge rate,Sugar feed rate,Soil bean feed rate,Aeration rate,Back pressure,Water injection/dilution,pH,Temperature,Acid flow rate,Base flow rate,Cooling water,Heating water,Vessel Weight,Dissolved oxygen concentration,Yield Per Step
0,0,75.25470804,26.03406814,60.72241255,0.8945650957,150.5089241,6.50434351,298.0445557,0,0,2.965773344,9.999999747e-05,61858.62891,17.3292675,0.05758873842
0.200000003,0,74.30210454,25.86610051,60.20946824,0.8892402012,151.3063982,6.482383251,298.0117188,0,0,4.637140274,9.999999747e-05,61910.28125,17.28299904,-3.058107026e-05
0.400000006,0,74.09405602,25.85752613,60.16702599,0.8878817221,151.1485201,6.466587067,297.9884338,0,7.638805866,9.999999747e-05,9.999999747e-05,61963.41406,17.26391029,-3.05998597e-05
0.6000000238,0,73.86788405,25.85017773,60.11003182,0.8861744125,151.0466896,6.460556984,297.9687195,0,21.50551987,9.999999747e-05,9.999999747e-05,62018.30469,17.24452209,-3.059366822e-05
0.8000000119,0,73.66417292,25.84608101,60.04423686,0.8843336963,151.0679967,6.464951038,297.9523621,0,37.77190399,9.999999747e-05,9.999999747e-05,62076.46875,17.22013664,-3.054299861e-05
1,0,73.70937462,25.85420186,60.03809944,0.8839538252,151.410382,6.478982449,297.9395142,0,52.27781296,9.999999747e-05,9.999999747e-05,62137.73828,17.21547508,-3.044816529e-05
1.200000048,0,74.02331584,25.87167015,60.10238979,0.8854940625,151.9378383,6.496189594,297.9725342,0,61.17294312,9.999999747e-05,11.86439323,62200.90625,17.20659637,-3.037468083e-05
1.399999976,0,74.25410247,25.88166701,60.1384057,0.8867137994,152.2850134,6.515647411,297.9585571,0,63.20551682,9.224596024,1.186439276,62264.70703,17.22002411,-3.028880751e-05
1.600000024,0,74.44237038,25.88578116,60.19058195,0.8882624426,152.3734057,6.529672146,297.9515991,0,57.4577446,3.122979879,0.118643932,62327.34766,17.21842575,-3.017096429e-05
1.799999952,0,74.45060375,25.88381679,60.20443636,0.888662575,152.2726099,6.53520155,297.952301,0,46.12518311,9.999999747e-05,0.01186439302,62387.64844,17.21380997,-3.010309026e-05
2,0,74.31665843,25.87527481,60.18036312,0.8881896917,151.9843024,6.529893398,297.9567871,0,32.59122086,9.999999747e-05,0.001186439302,62445.04297,17.19683075,-3.009236324e-05
2.200000048,0,74.13467385,25.86461401,60.14600844,0.8873896901,151.6454168,6.516215324,297.9655457,0,21.18894005,9.999999747e-05,0.0001186439331,62500.02344,17.18583679,-3.013469249e-05
2.400000095,0,74.00356899,25.85687373,60.12947501,0.886839932,151.4084082,6.497950077,297.9763794,0,15.25075054,1.362508178,9.999999747e-05,62553.62891,17.16259956,-3.021538365e-05
2.599999905,0,73.84654448,25.84927853,60.1059575,0.8859687988,151.2423477,6.481200218,297.9885864,0,16.60685349,3.74815011,9.999999747e-05,62607.47266,17.15076065,-3.030918434e-05
2.799999952,0,73.65286433,25.84190427,60.06342775,0.8846302012,151.1374522,6.46942091,297.9998474,0,24.64323997,6.986907959,9.999999747e-05,62662.79297,17.11790085,-3.038936731e-05
3,0,73.42960305,25.83550328,60.00383517,0.8828311155,151.1332124,6.46558857,298.0108643,0,37.38000107,10.34890461,9.999999747e-05,62720.67188,17.0939064,-3.043657604e-05
3.200000048,0,73.38374534,25.83894204,59.97687464,0.881918277,151.4031878,6.47005415,298.0210876,0,51.63949585,14.06153393,9.999999747e-05,62783.56641,17.0770874,-3.044121859e-05
3.400000095,0,73.60389397,25.85357869,60.00902696,0.8826723494,151.9346063,6.481166363,298.030365,0,64.11088562,17.91384315,9.999999747e-05,62849.18359,17.07285118,-3.040585983e-05
3.599999905,0,73.98689823,25.87195875,60.08122193,0.884703931,152.4953089,6.496692181,298.0395508,0,72.14222717,21.82774353,9.999999747e-05,62916.69922,17.0834446,-3.034231917e-05
3.799999952,0,74.33341185,25.88489387,60.15060656,0.8868545867,152.8617033,6.511284351,298.0466003,0,73.96999359,26.07038307,9.999999747e-05,62983.47656,17.08479118,-3.02694566e-05
4,0,74.46849541,25.8874178,60.17906158,0.8878989945,152.9599294,6.520552158,298.0505371,0,69.97813416,29.91683197,9.999999747e-05,63049.39844,17.0708065,-3.020776679e-05
4.199999809,0,74.37946146,25.8808404,60.16142476,0.8876169222,152.8344587,6.523724556,298.0545654,0,62.29349136,32.96467209,9.999999747e-05,63113.67188,17.05318832,-3.017081964e-05
4.400000095,0,74.15525144,25.86875066,60.11420532,0.8865123631,152.5562058,6.520166874,298.0588379,0,53.34295654,36.22280884,9.999999747e-05,63175.96875,17.02854347,-3.016454565e-05
4.599999905,0,73.86075362,25.85389531,60.05134089,0.8849382116,152.1961163,6.511256218,298.0640869,0,45.81810379,39.71339035,9.999999747e-05,63236.57422,17.00177574,-3.018804453e-05
4.800000191,0,73.56762951,25.83958311,59.99055211,0.8833004351,151.8590895,6.500937462,298.0751343,0,41.8535347,43.69763947,9.999999747e-05,63296.33984,16.98816109,-3.023514409e-05
5,0,73.34480786,25.82900623,59.94414379,0.8819895531,151.6470724,6.488983631,298.0792847,0,42.00391388,49.87511444,9.999999747e-05,63355.92578,16.95005608,-3.02893276e-05
5.199999809,0,73.1061374,25.81929496,59.89312902,0.8803979879,151.5349901,6.478288651,298.0788574,0,46.93658829,54.04516983,9.999999747e-05,63416.33984,16.90982246,-3.033321298e-05
5.400000095,0,72.97477747,25.81682569,59.86387098,0.8792265731,151.6424477,6.472610474,298.0820618,0,56.13801575,56.83692169,9.999999747e-05,63478.64844,16.88709831,-3.036104478e-05
5.599999905,0,73.09422996,25.82711559,59.88141144,0.8794028188,152.0519853,6.472562313,298.0863647,0,67.59825897,60.90346527,9.999999747e-05,63543.42969,16.87377548,-3.036719112e-05
5.800000191,0,73.45141001,25.84744091,59.94200683,0.8810039518,152.6484201,6.478582859,298.0940247,0,79.07534027,65.44367981,9.999999747e-05,63610.83594,16.87718582,-3.034832591e-05
6,0,73.96754195,25.87183018,60.03060765,0.8837425497,153.245832,6.487015247,298.0975647,0,88.14237976,71.29389954,9.999999747e-05,63680.32422,16.87903976,-3.030740199e-05
6.199999809,0,74.41635675,25.89101714,60.10463809,0.8862472348,153.6509407,6.496403694,298.1005859,0,93.8478241,75.97608185,9.999999747e-05,63751.17578,16.88144875,-3.025373028e-05
6.400000095,0,74.72514118,25.90278063,60.1548163,0.8880671653,153.8773411,6.503562927,298.0993958,0,95.80262756,80.65029907,9.999999747e-05,63822.49219,16.87135696,-3.01989574e-05
6.599999905,0,74.83694498,25.90631454,60.17205974,0.888776907,153.9621371,6.508677483,298.1012573,0,94.90394592,83.99381256,9.999999747e-05,63893.67578,16.85847855,-3.0153875e-05
6.800000191,0,74.80767826,25.90341029,60.16733377,0.8887305981,153.9709277,6.507888317,298.0944519,0,91.9590683,88.37110138,9.999999747e-05,63964.11719,16.82401657,-3.012226458e-05
