Time Step,Discharge rate,Sugar feed rate,Soil bean feed rate,Aeration rate,Back pressure,Water injection/dilution,pH,Temperature,Acid flow rate,Base flow rate,Cooling water,Heating water,Vessel Weight,Dissolved oxygen concentration,Yield Per Step
0,251.766596,75.25470804,26.03406814,60.72241255,0.8945650957,150.5089241,6.434931278,297.6036377,0,26.01379776,9.999999747e-05,307.9693909,62919.77734,17.26157379,0.0568855297
0.200000003,320.4598035,72.30094335,25.84861531,59.5361019,0.8702134528,151.4033379,6.451498032,297.8728638,0,52.04119873,9.999999747e-05,79.2724762,62915.98438,17.05108833,-2.545970351e-05
0.400000006,310.3284631,73.01036555,25.8543504,59.82514369,0.8767582746,151.9657305,6.48017168,297.8495789,0,71.90772247,9.999999747e-05,9.999999747e-05,62918.63281,17.09832573,-2.569876444e-05
0.6000000238,294.2936088,74.37792563,25.90159875,60.20246652,0.8866023476,152.9386071,6.513615131,298.2128601,0,80.3181076,9.999999747e-05,104.3869858,62925.79297,17.17120552,-2.608016774e-05
0.8000000119,304.5405739,74.48911205,25.88700976,60.06332234,0.8866478388,153.4073547,6.542122841,298.0583496,0,75.37402344,119.8666,10.43869781,62929.84375,17.14931679,-2.597112946e-05
1,295.4706249,74.30285766,25.86418507,60.04969761,0.887326905,152.5624824,6.557870388,297.9372559,0,59.0584259,71.82131195,1.043869853,62932.12109,17.13069916,-2.56641284e-05
1.200000048,288.5248485,74.21473747,25.86595198,60.11080761,0.8874282436,152.1805139,6.552321911,298.1938477,0.5193041563,29.52921295,21.54639435,82.07128906,62929.73438,17.11763382,-2.583502794e-05
1.399999976,299.4714254,72.98987257,25.80992831,59.63750603,0.878935804,150.7063,6.535513401,298.0406799,1.040745854,14.76460648,108.6297226,8.207128525,62921.46875,17.02448273,-2.580104578e-05
1.600000024,306.3915612,71.74740316,25.74758946,59.20100314,0.8713569966,148.7298816,6.510860443,297.9381104,0,1.116695881,61.12255478,0.8207128644,62907.99219,16.93843651,-2.549350034e-05
1.799999952,286.9054263,73.4089771,25.81948257,60.01093583,0.8840200152,150.776856,6.486474037,298.149231,0,0,18.33676529,65.97235107,62899.13281,17.03084564,-2.594492805e-05
2,288.9441563,73.34202379,25.82239722,59.96668118,0.8829950269,150.7586935,6.466601849,298.0298157,0,5.931492805,89.62771606,6.59723568,62891.08594,17.01482201,-2.608052841e-05
2.200000048,295.5509427,72.63379598,25.78473598,59.79826552,0.8789155237,150.1234742,6.455163956,297.9532776,0,19.79791832,52.43957138,0.6597235203,62884.22266,16.96575356,-2.582653085e-05
2.400000095,299.275624,72.5769798,25.79249592,59.81771528,0.8778244116,150.3947617,6.453717232,297.9182129,0,38.22634506,28.04721832,0.06597235799,62880.42578,16.94244957,-2.565446877e-05
2.599999905,301.9066506,72.83813428,25.81808305,59.87526937,0.8783115875,151.1128199,6.462524891,298.0509338,0,57.22754288,8.414165497,35.78935242,62880.21875,16.93733025,-2.56635905e-05
2.799999952,305.5787205,73.3135678,25.85126322,59.91199024,0.8797333307,152.1760427,6.479345798,297.9996643,0,72.70413208,51.39974594,3.578935385,62882.79297,16.93808746,-2.559501863e-05
3,301.3833493,73.88665854,25.87119103,60.02951308,0.8834942511,152.633938,6.500932217,297.9685364,0,81.45889282,34.62824631,0.3578935266,62888.32422,16.96084976,-2.543231643e-05
3.200000048,295.4916881,74.51979734,25.89889688,60.18674263,0.8875357626,153.1328314,6.522957802,297.9580383,0,81.58905029,24.25688934,0.03578935191,62897.48047,16.9878788,-2.532682697e-05
3.400000095,291.3045949,74.74192183,25.90462479,60.25347664,0.8893789818,153.1994403,6.539656162,297.9592896,0,72.92269135,19.68835831,0.003578935284,62905.82031,16.99178123,-2.5245413e-05
3.599999905,289.0602275,74.61122431,25.89410284,60.23904702,0.8891505283,152.939596,6.546220303,297.9671326,0,57.596035,18.62541389,0.0003578935284,62911.41406,16.97641754,-2.519298547e-05
3.799999952,288.3845992,74.26603003,25.8741358,60.16771216,0.8875697059,152.4180181,6.539457321,297.9778442,0,39.65981674,19.80052185,9.999999747e-05,62912.01172,16.94321442,-2.518012063e-05
4,288.6523188,73.86806494,25.85197601,60.08404759,0.8856057054,151.7885899,6.520309448,297.9859314,0,24.44008446,22.2058239,9.999999747e-05,62909.02734,16.88804054,-2.521237275e-05
4.199999809,289.633397,73.5185153,25.83298456,60.02457224,0.8838524649,151.2670119,6.496870995,297.996521,0,16.87739944,24.07979774,9.999999747e-05,62904.09375,16.85521507,-2.527486604e-05
4.400000095,291.5006737,73.23712588,25.8191805,59.98231708,0.8822961621,150.9450802,6.475447655,298.0089417,0,18.66464233,27.15017319,9.999999747e-05,62899.04297,16.8282547,-2.533938946e-05
4.599999905,295.5948497,72.90537245,25.80597738,59.91558199,0.8800776513,150.7437016,6.460109711,298.0184937,0,29.00085831,31.2226944,9.999999747e-05,62895.08594,16.78421974,-2.535756416e-05
4.800000191,301.5908046,72.59515469,25.79768714,59.83978808,0.8775681433,150.7678456,6.454946995,298.0309753,0,45.45869064,34.76025772,9.999999747e-05,62893.28516,16.75407028,-2.531238733e-05
5,305.8256021,72.68504105,25.81111084,59.83648199,0.8771502086,151.3175855,6.458508015,298.039093,0,63.96767044,39.68770599,9.999999747e-05,62894.49609,16.72576141,-2.524223318e-05
5.199999809,306.2669178,73.2389969,25.84456386,59.92914125,0.8795992944,152.2476005,6.47120142,298.0489197,0,81.05626678,43.55501556,9.999999747e-05,62899.52344,16.73332214,-2.517496571e-05
5.400000095,302.8160126,74.06696288,25.88394679,60.07809953,0.8841454763,153.1308107,6.488754272,298.0570679,0,93.06546783,48.34957504,9.999999747e-05,62908.12891,16.75249481,-2.512546617e-05
5.599999905,298.8576229,74.71969287,25.90962475,60.19506302,0.8880736677,153.6074172,6.507603645,298.065094,0,98.06681061,52.92663956,9.999999747e-05,62918.875,16.76741219,-2.506786959e-05
5.800000191,295.8866466,75.03683576,25.91822296,60.2550663,0.8902688173,153.7524961,6.522678375,298.0699463,0,95.53960419,57.77337265,9.999999747e-05,62929.78906,16.76049995,-2.500179449e-05
6,294.3559029,75.00114131,25.9119333,60.25577246,0.890481883,153.6807776,6.532445431,298.0770569,0,86.99914551,61.82607651,9.999999747e-05,62939.27344,16.7424469,-2.493782677e-05
6.199999809,294.0563557,74.70545465,25.89456505,60.20620155,0.8891997522,153.4275509,6.534934998,298.0871582,0,74.55712891,66.86209106,9.999999747e-05,62946.1875,16.7123642,-2.489122317e-05
6.400000095,295.070565,74.22607551,25.86931661,60.110094,0.8867654016,152.9667388,6.528598309,298.0979919,0,61.12630844,73.18302155,9.999999747e-05,62949.94531,16.66843796,-2.486624614e-05
6.599999905,297.2498447,73.65761608,25.8404612,59.98885638,0.8836957433,152.3440952,6.514892578,298.1098633,0,50.23579788,80.11605835,9.999999747e-05,62950.77344,16.61779022,-2.486357798e-05
6.800000191,300.1341518,73.11816891,25.81354733,59.87713515,0.8806970492,151.7325475,6.496616364,298.1159973,0,44.8233757,87.80495453,9.999999747e-05,62949.58594,16.55873108,-2.487502415e-05
7,303.8218426,72.6509914,25.79166446,59.78775438,0.8779557918,151.2808833,6.479689598,298.124115,0,46.71299362,93.95034027,9.999999747e-05,62947.83203,16.50793839,-2.48818297e-05
7.199999809,307.6249991,72.37456196,25.78111725,59.73693531,0.8760831809,151.1674755,6.468951225,298.1385803,0,55.35412216,101.058197,9.999999747e-05,62947.04688,16.46974945,-2.487979014e-05
7.400000095,310.2085505,72.42951216,25.78789136,59.74228256,0.875923508,151.4974312,6.465138435,298.1484985,0,68.27475739,110.637825,9.999999747e-05,62948.46484,16.43766403,-2.486505104e-05
7.599999905,310.4049699,72.86822448,25.81304124,59.81418099,0.8779091442,152.1775669,6.468584061,298.1583862,0,82.71757507,119.1558151,9.999999747e-05,62953.08984,16.42600822,-2.484265839e-05
7.800000191,307.8524661,73.6281599,25.85127726,59.93941577,0.8818291395,152.9784616,6.478152752,298.1735535,0,95.78044891,128.0604095,9.999999747e-05,62961.35547,16.43430328,-2.48289862e-05
8,304.3964865,74.41880709,25.88700285,60.0605305,0.8861003312,153.5866288,6.489722729,298.1860046,0,105.0190201,139.1584778,9.999999747e-05,62972.58984,16.43946457,-2.481053837e-05
8.199999809,301.848329,74.98028292,25.91020481,60.13651295,0.8891704302,153.8918913,6.500678539,298.1975098,0,109.6425095,149.8443451,9.999999747e-05,62985.52734,16.43310356,-2.477402568e-05
8.399999619,300.3170691,75.26791934,25.92023518,60.17153059,0.8908202397,154.0126591,6.508139133,298.198761,0,109.8922424,160.6915283,9.999999747e-05,62998.89062,16.40659904,-2.472327866e-05
8.600000381,299.5741493,75.30321719,25.91969805,60.17351321,0.8911344886,154.0176577,6.512117386,298.2027893,0,107.1671677,168.4511261,9.999999747e-05,63011.86719,16.37213516,-2.467104383e-05
8.800000191,299.4506433,75.16832213,25.91108761,60.15521945,0.8906137616,153.9745647,6.51256609,298.2128601,0,102.8511124,177.2820282,9.999999747e-05,63023.97266,16.33063507,-2.463531031e-05
9,300.0507404,74.92665875,25.89703516,60.11739537,0.8895291459,153.8879533,6.509283066,298.2240906,0,98.35601807,188.3309631,9.999999747e-05,63034.96094,16.28053474,-2.461348536e-05
9.199999809,301.2057355,74.64365987,25.88146892,60.06720629,0.8881442507,153.7591457,6.503087997,298.2370911,0,95.1749115,200.115921,9.999999747e-05,63044.97266,16.22617149,-2.460223013e-05
9.399999619,302.5415981,74.40412274,25.8687265,60.02011135,0.8868904576,153.6348192,6.495744228,298.2572937,0,94.46943665,212.9169159,9.999999747e-05,63054.51953,16.17366982,-2.460692141e-05
9.600000381,303.6344537,74.29364507,25.86246244,59.99020663,0.8862423352,153.5873625,6.489018917,298.2891846,0,96.69595337,228.6846161,9.999999747e-05,63064.32812,16.12715149,-2.46351058e-05
9.800000191,304.1980939,74.36529466,25.86457903,59.98276842,0.8864964309,153.6567455,6.483327866,298.323822,0,101.6069107,249.1774445,9.999999747e-05,63074.28516,16.08390045,-2.468060259e-05
10,304.2570463,74.6131636,25.87545864,59.99222772,0.8875426583,153.7827699,6.478730679,298.3554077,0,108.7928162,271.7312622,9.999999747e-05,63085.82031,16.044487,-2.472807645e-05
10.19999981,304.0119784,75.01423562,25.89497909,60.01144383,0.8891495259,153.8938482,6.474255085,298.3619995,0,117.8174973,294.5117493,9.999999747e-05,63099.33203,16.001688,-2.474886035e-05
10.39999962,303.6318822,75.53696525,25.92435032,60.02882095,0.8909109813,153.8749543,6.47094965,298.383667,0,128.6353455,309.884552,9.999999747e-05,63115.33984,15.96739864,-2.475881549e-05
10.60000038,303.3579245,76.15531127,25.95962176,60.04103931,0.8928478469,153.8227872,6.466783524,298.3593445,0,140.7720795,330.8760376,9.999999747e-05,63133.92188,15.91911888,-2.473575765e-05
10.80000019,303.3284971,76.88795939,26.00737835,60.01895562,0.8944121447,153.5594082,6.462492943,298.3358765,0,154.5818329,336.7128906,9.999999747e-05,63155.47266,15.87330723,-2.466760821e-05
11,302.5757965,77.71030112,26.06477471,59.98293927,0.8958466177,153.3241466,6.458068371,298.3330688,0,170.1053925,342.2747803,9.999999747e-05,63180.58594,15.82888794,-2.463146751e-05
11.19999981,301.5418507,78.54382257,26.12385373,59.92503689,0.8969558631,153.0877135,6.453073978,298.3481445,0,187.3988342,354.0766296,9.999999747e-05,63209.69141,15.78040218,-2.463943475e-05
11.39999962,299.6767536,79.2848652,26.17632172,59.86563249,0.8976980322,152.8634414,6.447119713,298.3500977,0,206.691452,371.786499,9.999999747e-05,63243.26172,15.72218704,-2.466698751e-05
11.60000038,295.9194733,79.88834876,26.21979573,59.83134183,0.8981852076,152.7093645,6.440009594,298.3113403,0,225,385.4073486,9.999999747e-05,63281.36719,15.65467072,-2.467105649e-05
11.80000019,290.7978007,80.30726624,26.25164281,59.82764616,0.8983736089,152.6553891,6.431302071,298.3135986,0,225,385.1473083,9.999999747e-05,63320.69531,15.59022331,-2.469948575e-05
12,290.5230915,80.36245751,26.25618998,59.78977295,0.8977733529,152.5714313,6.421277523,298.3323669,0,225,397.890686,9.999999747e-05,63360.10547,15.51449394,-2.473005968e-05
12.19999981,290.5518754,80.31372292,26.25056436,59.75595982,0.8971354083,152.4569951,6.410166264,298.3587646,0,225,416.1168213,9.999999747e-05,63399.48828,15.43505859,-2.47872144e-05
12.39999962,290.6654261,80.20173008,26.23863116,59.72642907,0.8965211609,152.3318947,6.398148537,298.3702393,0,225,437.5401001,9.999999747e-05,63438.74609,15.3506403,-2.48416906e-05
12.60000038,291.1501773,80.13378468,26.22920641,59.67911108,0.8958039806,152.1783953,6.385365963,298.3642883,0,225,454.7539673,9.999999747e-05,63477.79688,15.26172924,-2.486445555e-05
12.80000019,291.7463992,80.15151125,26.2266579,59.61343198,0.8949781492,152.0130887,6.372039795,298.3907166,0,225,466.5042114,9.999999747e-05,63516.75,15.17311954,-2.490555571e-05
13,291.4629568,80.03219522,26.21324863,59.58783597,0.8944742941,151.9082316,6.358259678,298.4338074,0,225,489.3240662,9.999999747e-05,63555.73828,15.08414078,-2.501064688e-05
13.19999981,291.2472132,79.76877436,26.1855105,59.58333634,0.8942210641,151.8070913,6.344042301,298.4408264,0,225,518.6491699,9.999999747e-05,63594.60156,14.99107361,-2.509875567e-05
13.39999962,292.0002763,79.6215535,26.16487195,59.53862721,0.8937664082,151.6474259,6.329519272,298.4552917,0,225,537.0108643,9.999999747e-05,63633.23438,14.89506054,-2.514955782e-05
13.60000038,292.1505739,79.49417411,26.14753061,59.51108527,0.8935108175,151.5516009,6.314739227,298.469696,0,225,558.4783325,9.999999747e-05,63671.76953,14.7978611,-2.521846188e-05
13.80000019,292.4522815,79.3409662,26.12692234,59.48987337,0.8934160113,151.4701399,6.299656391,298.4609985,0,225,580.4093018,9.999999747e-05,63710.12109,14.69852066,-2.526492016e-05
14,293.296715,79.26634158,26.11172595,59.44901149,0.8932710561,151.3775414,6.284701347,298.5310974,0,225,594.9197998,9.999999747e-05,63748.38672,14.59926033,-2.536383323e-05
14.19999981,292.4542966,78.94750288,26.08035274,59.5129702,0.8940457688,151.4818831,6.269412994,298.5243225,0,225,636.453125,9.999999747e-05,63786.63281,14.5037384,-2.548691679e-05
14.39999962,294.1971545,78.74628641,26.05052613,59.48796539,0.8943262124,151.3957481,6.254309177,298.5602722,0,225,653.5127563,9.999999747e-05,63824.49609,14.40423393,-2.554567788e-05
14.60000038,294.5572345,78.56107527,26.02929936,59.52646018,0.8950988135,151.5127532,6.23918438,298.5542603,0,225,685.6295776,9.999999747e-05,63862.19141,14.31284428,-2.562321166e-05
14.80000019,296.3406106,78.42016545,26.00762361,59.5214632,0.8956558138,151.5355921,6.225304127,298.5950317,0,225,704.2926636,9.999999747e-05,63899.55078,14.24650478,-2.568771991e-05
15,296.8963506,78.24735619,25.98946771,59.57173572,0.8965430315,151.7067819,6.225506306,298.5189819,0,225,739.1898804,9.999999747e-05,63936.76953,15.74034882,-1.210060338e-05
15.19999981,305.3878452,78.51928464,26.05666141,59.51578728,0.8956718082,152.2680634,6.27126646,297.9553528,0,225,734.9545898,9.999999747e-05,63972.45703,15.94548702,0.0236032259
15.39999962,311.2950477,79.7151495,26.18396942,59.48563519,0.8975601518,152.632085,6.313732147,297.6339722,0,225,560.5403442,9.999999747e-05,64007.51172,15.94496155,0.0222866133
15.60000038,306.4997791,81.39274704,26.36169176,59.46591444,0.898423701,152.9591751,6.351860046,299.7693787,0,225,168.1620941,589.2648315,64043.70703,15.93883896,0.02046637685
15.80000019,287.8704615,77.99141637,26.24724732,59.93387273,0.8920887239,152.0407586,6.387499332,298.9858704,0,225,893.5610352,58.92647934,64082.32031,15.92894459,0.03935630185
16,308.8114247,77.17958595,25.93737952,59.9970063,0.8967379555,151.2261018,6.420183182,298.3477173,0,225,673.595459,5.89264822,64116.36328,15.98549366,0.06128389723
16.20000076,312.7494888,79.42164484,26.15674261,59.73868219,0.8987016846,152.2152981,6.448320866,297.9944763,0,225,496.2775879,0.5892648101,64150.65625,15.96978283,0.04381645001
16.39999962,305.5739899,81.56593343,26.35236188,59.60040463,0.9003051081,152.8293652,6.471671581,297.8320923,0,225,392.2342224,0.05892648175,64187.36719,15.95053291,0.02666483823
16.60000038,298.9894107,82.41694452,26.4269605,59.55912932,0.9002011076,152.9238422,6.491256237,299.3338928,0,225,117.6702652,386.2144775,64225.54297,15.93788052,0.02099744856
16.79999924,281.5088407,77.51717525,26.06315698,60.39266752,0.9003902458,153.1756403,6.510359287,298.9806213,0,225,630.7064209,38.62144852,64265.80859,16.00373268,0.04628503164
17,294.6004592,77.66012936,26.024851,60.24837449,0.8996666352,152.4975287,6.52664566,298.6394348,0,221.3763885,547.5865479,3.862144709,64302.66797,15.99344254,0.05077379682
17.20000076,296.495297,78.74596597,26.11297094,60.11991621,0.9007492731,152.7648606,6.539656639,298.3797607,0,211.2457581,469.3001404,0.3862144947,64337.48828,15.98622894,0.04956148391
17.39999962,299.8830318,79.88899723,26.20563403,59.93778979,0.9010095307,152.9163421,6.54937458,298.1976013,0,195.9126282,406.2532959,0.03862144798,64368.87109,15.96841526,0.04644440625
17.60000038,300.1664828,80.34169953,26.24701464,59.85662094,0.9007097749,153.0707941,6.556221485,298.0521545,0,176.6924591,359.5966797,0.003862144891,64396.42188,15.95590973,0.05266948593
17.79999924,297.1667606,79.89453025,26.22262696,59.91794693,0.900062329,153.3136266,6.543087006,297.9828491,0.519523859,88.34622955,318.1889038,0.0003862144949,64406.66406,15.92170048,0.05790710309
18,307.434301,73.8970672,25.83249849,59.73640789,0.883792886,153.4471922,6.525043011,297.8892212,0,71.69636536,297.3327332,9.999999747e-05,64409.60547,15.85168743,0.1677350206
18.20000076,306.777861,72.81952414,25.77416436,59.76922912,0.8801754828,152.3558332,6.503472328,299.1809387,0,62.21637726,89.19982147,330.2672119,64410.125,15.82944202,0.2101137744
18.39999962,310.3410945,74.00383791,25.81452691,59.76330322,0.8869512399,157.2046256,6.481405258,298.7950134,0,61.36054611,531.3969116,33.02672195,64410.92188,15.87669849,0.2231565717
18.60000038,311.5731981,72.9949121,25.76683561,59.45208568,0.8831429189,154.6421972,6.465892315,298.447113,0,69.32177734,432.8514709,3.302672148,64412.48828,15.85541248,0.2809633295
18.79999924,317.5488696,72.34391816,25.72110798,59.45428934,0.8783553182,153.2801414,6.461231709,298.2545471,0,83.46512604,345.5306702,0.3302672207,64415.55859,15.82213497,0.2915612825
19,316.3196238,72.82221025,25.77233372,59.62758009,0.8785917588,153.0010386,6.463433743,298.1042175,0,99.45800781,298.473999,0.03302672133,64422.3125,15.82648087,0.3136060173
19.20000076,310.4140969,74.05112986,25.86439795,59.82559306,0.882788093,153.3081687,6.470585346,298.0020447,0,114.5823593,257.6018677,0.003302672179,64433.85938,15.8543787,0.3028841503
19.39999962,303.6019069,75.41489209,25.96044624,59.98557192,0.8876595256,153.7266975,6.480502605,297.9416199,0,126.851799,227.3832397,0.0003302672121,64449.85156,15.8843708,0.2788587306
19.60000038,298.2574614,76.49997799,26.03380062,60.07430299,0.8913859304,153.9574395,6.490275383,298.8874512,0,135.1610565,68.21497345,231.6417389,64468.80859,15.90939617,0.2795855016
19.79999924,312.1455582,76.02938388,25.94542295,59.98712785,0.8928291616,156.1082283,6.500442028,298.6233826,0,139.5706329,392.7877808,23.16417313,64486.02734,15.92880344,0.3039830275
20,312.6206046,76.57064617,25.9590921,59.8557546,0.8934536798,154.395496,6.509464264,298.3948975,0,139.9118195,327.8686829,2.316417456,64503.09766,15.92528248,0.3045493016
20.20000076,303.2493197,76.95735556,26.00301713,60.00355084,0.8950460429,154.3828949,6.516486645,298.2441711,0,136.6490479,274.4075012,0.2316417396,64521.58203,15.93242264,0.3060250077
20.39999962,298.4292552,76.97052223,26.02001677,60.08294067,0.89509571,154.4076868,6.520466328,298.1328735,0,130.5802765,238.9221191,0.02316417359,64539.77734,15.93199062,0.3388607197
20.60000038,295.8582567,76.69963607,26.01407496,60.1345565,0.8942962031,154.3925243,6.521987915,298.065979,0,122.9232483,210.8122559,0.002316417405,64556.86719,15.92397976,0.3622292561
20.79999924,294.93451,76.2441477,25.99238462,60.16700226,0.8929611666,154.3743878,6.521702766,298.038208,0,114.6558456,193.5496979,0.0002316417376,64572.375,15.9107399,0.3727598975
21,295.6272365,75.71307357,25.96280046,60.16871641,0.8912412159,154.3235461,6.517074108,297.9967651,0,106.5005951,186.9506989,9.999999747e-05,64585.78906,15.90242958,0.4532198422
21.20000076,297.6903858,75.16181127,25.93438624,60.13672673,0.8889717821,154.114171,6.511888981,297.9896545,0,100.205307,174.2897797,9.999999747e-05,64597.36719,15.88179684,0.4654308843
21.39999962,299.6821116,74.71582461,25.91127856,60.10748587,0.8870502556,153.9559103,6.507311821,298.0086365,0,95.97182465,172.0255127,9.999999747e-05,64607.625,15.86236191,0.4570725433
21.60000038,301.6640478,74.3871715,25.89230577,60.07076977,0.8855925288,153.848075,6.502673149,298.0259094,0,93.56551361,178.2423706,9.999999747e-05,64616.89062,15.8498106,0.4789032423
21.79999924,303.4826759,74.15602558,25.87851315,60.03178077,0.8844759123,153.7528304,6.498775005,298.0419617,0,93.0167923,184.381134,9.999999747e-05,64625.61328,15.83972168,0.4985099897
22,304.5860105,74.05815403,25.87247937,60.00762932,0.8839388745,153.7227659,6.495791912,298.0509949,0,94.02479553,190.7654419,9.999999747e-05,64634.28906,15.8348875,0.5247598704
22.20000076,305.037488,74.0788423,25.87364165,59.99708964,0.8839083227,153.7398272,6.494441986,298.0606384,0,96.22531891,195.328064,9.999999747e-05,64643.37109,15.8325634,0.5357857489
22.39999962,304.7530502,74.21117099,25.88093029,60.00201104,0.8844133548,153.821372,6.493040562,298.0439148,0,98.96347046,200.5026398,9.999999747e-05,64653.04297,15.8387804,0.5955390052
22.60000038,304.3119294,74.38268336,25.89269616,60.00991937,0.8849517385,153.844566,6.49357605,298.0395813,0,102.2675476,196.9309998,9.999999747e-05,64663.59766,15.83985901,0.5972741146
