Time Step,Discharge rate,Sugar feed rate,Soil bean feed rate,Aeration rate,Back pressure,Water injection/dilution,pH,Temperature,Acid flow rate,Base flow rate,Cooling water,Heating water,Vessel Weight,Dissolved oxygen concentration,Yield Per Step
0,228.2561757,75.25470804,26.03406814,60.72241255,0.8945650957,150.5089241,6.434789658,297.6036072,0,26.01379776,9.999999747e-05,307.9693909,62924.59766,17.26168633,0.05688520669
0.200000003,238.3893374,72.29935433,25.84864348,59.53595756,0.8701970644,151.4065106,6.450873375,297.8728027,0,52.09793472,9.999999747e-05,79.28102112,62937.64062,17.05145645,-2.658234347e-05
0.400000006,248.6791798,73.00245824,25.85437331,59.82403156,0.8766818741,151.9769657,6.479291916,297.8495178,0,72.21576691,9.999999747e-05,9.999999747e-05,62952.98438,17.09849167,-2.655143027e-05
0.6000000238,260.5402573,74.37855969,25.9021279,60.20268195,0.88656381,152.9618417,6.512827396,298.2125854,0,80.97731781,9.999999747e-05,104.3857498,62967.20312,17.17186737,-2.655892806e-05
0.8000000119,232.0197946,74.50630153,25.88810499,60.06610612,0.8866977802,153.4538897,6.541312218,298.0583191,0,76.3473053,119.7908401,10.43857479,62986.33203,17.15108299,-2.697831288e-05
1,235.9360183,74.33490066,25.86588655,60.05690709,0.8874756197,152.6255158,6.557375431,297.9373779,0,60.35632324,71.82057953,1.043857455,63001.09375,17.13360023,-2.650087915e-05
1.200000048,258.7349955,74.24471348,25.86764174,60.11894572,0.8875721937,152.2517809,6.552040577,298.1936951,0.5192626119,30.17816162,21.5461731,82.06874084,63004.96875,17.12064171,-2.627294321e-05
1.399999976,217.6106598,72.99901362,25.81043842,59.64147989,0.8789745512,150.7713332,6.534835815,298.0408936,1.040692687,15.08908081,108.5345306,8.206873894,63013.55469,17.02696991,-2.694742995e-05
1.600000024,203.1845776,71.75257777,25.74776232,59.20662427,0.8714062879,148.7922544,6.509867668,297.9384766,0,1.714172363,61.15729904,0.8206874132,63021.36719,16.94151306,-2.693821642e-05
1.799999952,0,73.37706754,25.81796987,60.0067589,0.8838303166,150.7860503,6.483613014,298.149231,0,0,18.34719086,65.98317719,63071.30078,17.03320503,-2.988761826e-05
2,300.3628326,73.30487639,25.82069043,59.96648134,0.8827922648,150.7838153,6.464643955,298.030426,0,7.080969334,89.5241394,6.598317623,63061.13281,17.01709747,-2.602146159e-05
2.200000048,288.3079283,72.56556558,25.78170073,59.78951336,0.8784955515,150.1408875,6.454292774,297.95401,0,21.72151566,52.54771423,0.6598317623,63056.11719,16.96627808,-2.601382802e-05
2.400000095,0,72.52266362,25.79097375,59.81056074,0.8774113902,150.4539877,6.452163696,297.9189148,0,40.49775314,28.22071266,0.06598317623,63114.11328,16.94443893,-2.977369118e-05
2.599999905,266.4406816,72.80953181,25.8188807,59.87530578,0.8779707818,151.2501699,6.462198734,298.0514832,0,60.12611389,8.46621418,35.86684036,63121.77734,16.94017029,-2.625747345e-05
2.799999952,245.7910236,73.36827674,25.85621213,59.92608723,0.8798333898,152.4209081,6.480062008,298.0005798,0,75.72686005,51.42808914,3.586683989,63137.26953,16.94496918,-2.651252511e-05
3,240.2878769,73.99472107,25.8776832,60.05304129,0.8839689539,152.8780562,6.502465725,297.9694824,0,84.19556427,34.7964325,0.3586683869,63155.94531,16.97120857,-2.636714438e-05
3.200000048,244.7439604,74.62346908,25.90464318,60.2077541,0.8880214666,153.333566,6.525044441,297.9588928,0,83.71292877,24.47135162,0.03586683795,63175.98438,16.99858856,-2.612410759e-05
3.400000095,250.4984122,74.82102338,25.90884452,60.27078014,0.8897648797,153.369017,6.541944504,297.9600525,0,74.21285248,19.91180801,0.003586683888,63192.98828,17.00183105,-2.59118447e-05
3.599999905,257.5562967,74.65996631,25.89662283,60.25266535,0.8894040754,153.089122,6.548266411,297.9678345,0,57.97180176,18.8470192,0.0003586683888,63205.13672,16.98545265,-2.57384083e-05
3.799999952,267.4866884,74.28533805,25.87498669,60.1774107,0.8876921562,152.542001,6.540819645,297.9784851,0,39.21854019,20.02243233,9.999999747e-05,63209.93359,16.95115089,-2.558855964e-05
4,280.8400419,73.86574024,25.85149811,60.09147546,0.8856403346,151.8810333,6.520833015,297.9865112,0,23.45526505,22.43483162,9.999999747e-05,63208.33984,16.89517212,-2.545133534e-05
4.199999809,293.7555686,73.50385707,25.83168774,60.03220412,0.8838473981,151.3352396,6.496602058,297.9971008,0,15.6837635,24.31808662,9.999999747e-05,63202.30078,16.86191559,-2.535928121e-05
4.400000095,298.9372749,73.21050456,25.81724855,59.98961946,0.8822346979,150.9976262,6.474533558,298.009491,0,17.57837868,27.40248108,9.999999747e-05,63195.48438,16.83438301,-2.538320668e-05
4.599999905,290.3687657,72.85431453,25.80300916,59.91878457,0.8798613517,150.7818169,6.458725929,298.019043,0,28.27986908,31.49343872,9.999999747e-05,63192.41797,16.78903198,-2.557266984e-05
4.800000191,272.2013033,72.50936841,25.79353205,59.83539462,0.8771000288,150.7998936,6.453207016,298.0315247,0,45.29063034,35.04948044,9.999999747e-05,63196.5625,16.7568531,-2.58516698e-05
5,254.3129538,72.58670957,25.8073251,59.82688125,0.8765151233,151.3808557,6.45659399,298.0396423,0,64.49537659,40.00009918,9.999999747e-05,63208.40234,16.72735786,-2.607896604e-05
5.199999809,241.8050869,73.17293364,25.84340167,59.92111759,0.8790441176,152.376297,6.469349861,298.0494995,0,82.3490448,43.89227676,9.999999747e-05,63226.89062,16.73588753,-2.618735257e-05
5.400000095,235.7996007,74.06499865,25.88634567,60.07648382,0.883889119,153.3137244,6.487222195,298.0576782,0,95.09803009,48.71375656,9.999999747e-05,63249.66016,16.75790787,-2.61752128e-05
5.599999905,233.9549588,74.77529505,25.91464265,60.19894211,0.888117123,153.8076732,6.506613731,298.0657349,0,100.7113495,53.31975937,9.999999747e-05,63274.27734,16.77567863,-2.609232974e-05
5.800000191,234.2448229,75.12932688,25.92460024,60.26307303,0.8905222848,153.9583947,6.522418976,298.0705872,0,98.57935333,58.19703293,9.999999747e-05,63298.49219,16.77086258,-2.598505111e-05
6,235.05243,75.11077214,25.91863274,60.26841783,0.8908658408,153.9067918,6.533054829,298.0776978,0,90.14198303,62.28048325,9.999999747e-05,63320.82031,16.75423813,-2.589151914e-05
6.199999809,236.4575406,74.81475433,25.90065865,60.22374469,0.8896476143,153.6889434,6.53643465,298.0878296,0,77.45568085,67.34657288,9.999999747e-05,63340.1875,16.72500992,-2.582360186e-05
