Time Step,Discharge rate,Sugar feed rate,Soil bean feed rate,Aeration rate,Back pressure,Water injection/dilution,pH,Temperature,Acid flow rate,Base flow rate,Cooling water,Heating water,Vessel Weight,Dissolved oxygen concentration,Yield Per Step
0,0,7,21,29,0.54,0,6.434773922,297.6132812,0,26.01379776,9.999999747e-05,307.9693909,62921.11719,14.05110645,0.0568372248
0.200000003,0,7,21,29,0.54,0,6.450785637,297.885498,0,52.10420609,9.999999747e-05,77.34537506,62933.36719,14.02747726,-2.98535097e-05
0.400000006,0,7,21,29,0.54,0,6.479097366,297.8726196,0,72.25738525,9.999999747e-05,9.999999747e-05,62949.71484,14.00091839,-2.999458417e-05
0.6000000238,0,7,21,29,0.54,0,6.512496948,298.2204895,0,81.09674072,9.999999747e-05,97.38117218,62966.79688,13.97204685,-3.017831846e-05
0.8000000119,0,7,21,29,0.54,0,6.54113245,298.0808105,0,76.59898376,115.3328705,9.738117218,62982.92188,13.93332577,-3.023178081e-05
1,0,7,21,29,0.54,0,6.557370663,297.9685669,0,60.67897034,72.80049896,0.973811686,62995.80469,13.89173794,-2.984949626e-05
1.200000048,0,7,21,29,0.54,0,6.551930904,297.909668,0.5192473531,30.33948517,38.15069199,0.09738116711,63002.60156,13.85506344,-2.963231967e-05
1.399999976,0,7,21,29,0.54,0,6.534864426,298.0627747,1.040699959,15.16974258,11.4452076,45.81182098,63006.37109,13.81279182,-2.976516436e-05
1.600000024,0,7,21,29,0.54,0,6.51009655,297.9842834,0,1.782495737,61.31628418,4.581182003,63007.16797,13.7685442,-2.992218053e-05
1.799999952,0,7,21,29,0.54,0,6.48536396,297.9369202,0,0,35.44065475,0.4581182003,63007.61719,13.7284565,-2.989216658e-05
2,0,7,21,29,0.54,0,6.465415001,298.0903625,0,6.376279831,10.63219643,42.63280106,63009.36328,13.69332886,-3.009801491e-05
2.200000048,0,7,21,29,0.54,0,6.454088211,298.0228271,0,20.71648216,61.55704498,4.263280392,63014.03516,13.6526165,-3.025126251e-05
2.400000095,0,7,21,29,0.54,0,6.452898979,297.979187,0,39.57443237,40.49332428,0.4263280332,63022.58594,13.61175728,-3.015017782e-05
2.599999905,0,7,21,29,0.54,0,6.462060452,297.9615479,0,58.90247726,26.80369759,0.04263280332,63035.11328,13.57334995,-3.004900618e-05
2.799999952,0,7,21,29,0.54,0,6.479243279,297.9586792,0,74.56450653,20.26589775,0.004263280425,63050.85156,13.53283787,-2.994440261e-05
3,0,7,21,29,0.54,0,6.501191139,297.9641724,0,83.36009979,17.96443367,0.0004263280134,63068.39844,13.49243832,-2.983426544e-05
3.200000048,0,7,21,29,0.54,0,6.523554325,297.9742126,0,83.38667297,18.33429718,9.999999747e-05,63088.00391,13.45204353,-2.972860589e-05
3.400000095,0,7,21,29,0.54,0,6.540529728,297.9859924,0,74.48174286,20.40755844,9.999999747e-05,63105.77734,13.40586185,-2.964477584e-05
3.599999905,0,7,21,29,0.54,0,6.547249317,297.9984741,0,58.80577469,23.43548203,9.999999747e-05,63120.33984,13.3556776,-2.960114692e-05
3.799999952,0,7,21,29,0.54,0,6.54042244,298.0100708,0,40.45841217,27.12706184,9.999999747e-05,63129.90234,13.29808903,-2.961085658e-05
4,0,7,21,29,0.54,0,6.520960808,298.0156555,0,24.85329628,30.97814941,9.999999747e-05,63136.24609,13.22824764,-2.967248008e-05
4.199999809,0,7,21,29,0.54,0,6.497087002,298.023407,0,17.03090477,33.19693375,9.999999747e-05,63140.98828,13.16796589,-2.977123508e-05
4.400000095,0,7,21,29,0.54,0,6.475208282,298.0332031,0,18.7320385,36.41102219,9.999999747e-05,63146.07812,13.10872364,-2.98838216e-05
4.599999905,0,7,21,29,0.54,0,6.459457874,298.0396423,0,29.16411209,40.61376572,9.999999747e-05,63153.30078,13.04331398,-2.99785167e-05
4.800000191,0,7,21,29,0.54,0,6.453968525,298.0500793,0,45.88263702,44.00133896,9.999999747e-05,63163.95703,12.98509026,-3.003417841e-05
5,0,7,21,29,0.54,0,6.457333565,298.0557556,0,64.78279114,49.04101562,9.999999747e-05,63178.48047,12.91864204,-3.004034542e-05
5.199999809,0,7,21,29,0.54,0,6.470015526,298.0639648,0,82.34082031,52.79747009,9.999999747e-05,63196.60547,12.85603333,-2.999754763e-05
5.400000095,0,7,21,29,0.54,0,6.487752914,298.0706482,0,94.82377625,57.67982483,9.999999747e-05,63217.28516,12.78890228,-2.992036741e-05
5.599999905,0,7,21,29,0.54,0,6.506964207,298.0774231,0,100.2249603,62.32168961,9.999999747e-05,63239.07031,12.71964741,-2.982784176e-05
5.800000191,0,7,21,29,0.54,0,6.522558689,298.080719,0,97.95311737,67.25919342,9.999999747e-05,63260.38281,12.64454651,-2.973973556e-05
6,0,7,21,29,0.54,0,6.532979488,298.0866394,0,89.45988464,71.25021362,9.999999747e-05,63279.95703,12.56752777,-2.967338184e-05
6.199999809,0,7,21,29,0.54,0,6.536171913,298.0959473,0,76.80390167,76.29889679,9.999999747e-05,63296.9375,12.48604298,-2.964255965e-05
6.400000095,0,7,21,29,0.54,0,6.530398846,298.1060181,0,62.87807846,82.71430206,9.999999747e-05,63311.0625,12.39849472,-2.96528365e-05
6.599999905,0,7,21,29,0.54,0,6.516909599,298.1171265,0,51.26770401,89.71743774,9.999999747e-05,63322.80859,12.30642319,-2.970314175e-05
6.800000191,0,7,21,29,0.54,0,6.498420238,298.1218567,0,45.04967499,97.4493866,9.999999747e-05,63333.27344,12.20992184,-2.977854588e-05
7,0,7,21,29,0.54,0,6.480976105,298.1286011,0,46.21900177,103.3837891,9.999999747e-05,63343.98047,12.11425209,-2.986093318e-05
7.199999809,0,7,21,29,0.54,0,6.469620228,298.1419373,0,54.34661865,110.2481079,9.999999747e-05,63356.35547,12.02044868,-2.99368974e-05
7.400000095,0,7,21,29,0.54,0,6.465406895,298.1499634,0,66.99996185,119.6186981,9.999999747e-05,63371.32031,11.92891502,-2.998226067e-05
7.599999905,0,7,21,29,0.54,0,6.46903038,298.1570129,0,81.33477783,127.6138306,9.999999747e-05,63389.22266,11.84537411,-2.998349577e-05
7.800000191,0,7,21,29,0.54,0,6.47990799,298.1674194,0,94.21734619,135.6036987,9.999999747e-05,63409.76953,11.78230286,-2.994959022e-05
8,0,7,21,29,0.54,0,6.495171547,298.1688232,0,102.7500992,145.0292206,9.999999747e-05,63432.0625,11.79409504,-2.988333826e-05
8.199999809,0,7,21,29,0.54,0,6.517603397,298.1410217,0,105.1861496,151.7220459,9.999999747e-05,63454.85547,12.2756958,-2.976249418e-05
8.399999619,0,7,21,29,0.54,0,6.551329136,298.032959,0,98.63999939,148.4438019,9.999999747e-05,63476.32422,12.83658028,-2.34144024e-05
