Time Step,Discharge rate,Sugar feed rate,Soil bean feed rate,Aeration rate,Back pressure,Water injection/dilution,pH,Temperature,Acid flow rate,Base flow rate,Cooling water,Heating water,Vessel Weight,Dissolved oxygen concentration,Yield Per Step
0,209.3880556,66.48343828,26.15762572,58.05440596,0.8390204939,159.6389963,6.434674263,297.6037598,0,26.01379776,9.999999747e-05,307.9693909,62927.98438,16.79301834,0.05688502099
0.200000003,301.2503161,71.10964923,25.71151334,57.04471042,0.8680556754,151.1048473,6.451189518,297.8729553,0,52.14400101,9.999999747e-05,79.24642181,62927.73828,17.03048325,-2.572719926e-05
0.400000006,311.1026793,70.47385562,25.57297906,56.53616407,0.8650271719,152.5051477,6.480004787,297.8497925,0,72.13400269,9.999999747e-05,9.999999747e-05,62929.64062,16.99634171,-2.56956055e-05
0.6000000238,303.96965,72.1475703,25.63458755,57.40691296,0.8743433006,153.4210739,6.513688087,298.2127686,0,80.61045837,9.999999747e-05,104.282402,62934.32422,17.0652256,-2.595493129e-05
0.8000000119,313.7573016,71.49382189,25.61038282,56.50752231,0.8720349921,155.292902,6.542425156,298.0585022,0,75.63690948,119.7634659,10.42823982,62936.0625,17.02247429,-2.585022273e-05
1,308.2726649,71.11399928,25.60194318,56.60616214,0.8694026491,154.1775897,6.558374405,297.9375916,0,59.20030975,71.80461121,1.04282403,62935.16797,16.97607613,-2.549320998e-05
1.200000048,295.5708171,71.69324602,25.69076125,57.39881303,0.8738051263,153.1040034,6.552927494,298.1940308,0.5192887187,29.60015488,21.54138374,82.00057983,62930.83203,16.99985123,-2.574027697e-05
1.399999976,299.8420044,69.20091591,25.77835319,56.31369727,0.8623638993,152.1323445,6.536132812,298.0410767,1.040726542,14.80007744,108.5835419,8.200057983,62921.76562,16.8808136,-2.579573854e-05
1.600000024,300.7793109,67.36598206,25.84355828,55.45648785,0.8530212759,150.621945,6.511282921,297.9386597,0,0.9045780897,61.16540909,0.8200058341,62908.63281,16.7790432,-2.556977409e-05
1.799999952,281.9360483,71.21645264,25.841588,57.54082063,0.8724201014,151.0208637,6.486851215,298.1496887,0,0,18.34962273,65.92462921,62900.26172,16.92988586,-2.601357808e-05
2,286.4081528,70.43502656,25.83086948,57.1246098,0.8683713266,151.0608134,6.466871262,298.030426,0,5.7801404,89.62854004,6.592463493,62891.98828,16.88765717,-2.611700143e-05
2.200000048,292.3451839,69.54328569,25.75047146,56.51355377,0.8625661348,150.760661,6.455274105,297.953949,0,19.53892517,52.510952,0.6592463255,62885.02734,16.82316399,-2.587303726e-05
2.400000095,295.8515172,69.71189599,25.69108998,56.45924543,0.8621667823,150.8478957,6.45365572,297.9188538,0,37.92341995,28.15846825,0.06592462957,62881.17578,16.80532646,-2.570497349e-05
2.599999905,301.7845073,69.91679017,25.62073225,56.40664433,0.862206811,151.3958029,6.462332249,298.0516968,0,56.94923782,8.447540283,35.79040527,62880.17969,16.79600525,-2.56707663e-05
2.799999952,311.5186572,69.69607803,25.55184935,56.02322706,0.8602065061,152.3139419,6.479112625,298.0005188,0,72.50276184,51.4977684,3.579040289,62880.49609,16.76696396,-2.552128528e-05
3,312.4212107,70.45371674,25.54498259,56.23458394,0.8635865303,153.0470298,6.50074625,297.9693298,0,81.35041809,34.77930069,0.3579040468,62882.84375,16.78637695,-2.528974444e-05
3.200000048,306.8530917,71.86419291,25.62435651,56.97012019,0.8715084495,153.6004848,6.522861481,297.9587097,0,81.55475616,24.42694473,0.03579040244,62888.99609,16.84681511,-2.517861569e-05
3.400000095,301.8292752,72.47195967,25.67167413,57.40908099,0.8758032592,153.7957119,6.539665699,297.9598389,0,72.92686462,19.84839058,0.003579040291,62894.64453,16.87176514,-2.510675552e-05
3.599999905,297.6459993,72.33615987,25.68989619,57.54345466,0.8762417694,153.5466429,6.546319962,297.9675903,0,57.5962677,18.76556206,0.0003579040349,62897.94922,16.8619976,-2.507863172e-05
3.799999952,294.0178286,71.82921817,25.70660961,57.49134383,0.8743733269,152.9262676,6.539593697,297.978241,0,39.62022018,19.92599869,9.999999747e-05,62896.80469,16.82611084,-2.510392146e-05
4,290.7379893,71.30850532,25.73761082,57.37319639,0.8719626847,152.1330906,6.52041769,297.9862366,0,24.34615326,22.32406616,9.999999747e-05,62892.73828,16.76695061,-2.518280858e-05
4.199999809,288.327282,70.93872579,25.76938801,57.25334795,0.8699698841,151.4291268,6.496901512,297.9967957,0,16.74043083,24.19041824,9.999999747e-05,62887.375,16.73160744,-2.529043411e-05
4.400000095,288.1878505,70.62411239,25.77622458,57.08980675,0.8680169983,151.011281,6.475387573,298.0091858,0,18.51552391,27.25907326,9.999999747e-05,62882.28125,16.70060158,-2.538208517e-05
4.599999905,291.6857049,70.08099913,25.74164905,56.72489343,0.8643252344,150.7479996,6.459983349,298.0187378,0,28.87580109,31.33368301,9.999999747e-05,62878.33594,16.64314842,-2.540873827e-05
4.800000191,298.7976461,69.34113816,25.66436922,56.16688918,0.8589023036,150.608365,6.454796791,298.03125,0,45.38422012,34.8759613,9.999999747e-05,62876.16016,16.58667564,-2.534914943e-05
5,307.2612486,68.91423454,25.57167499,55.71198084,0.8550645535,150.9346742,6.45840168,298.0393982,0,63.95330048,39.82256317,9.999999747e-05,62875.94141,16.52803421,-2.522292218e-05
5.199999809,313.0693154,69.29058436,25.52283187,55.64077361,0.8558184363,151.7432205,6.471199989,298.0492554,0,81.08429718,43.71422195,9.999999747e-05,62878.35156,16.5203476,-2.508396811e-05
5.400000095,314.0108744,70.54322694,25.55270307,56.03051406,0.8619631469,152.9013738,6.48888588,298.0573425,0,93.09377289,48.52988815,9.999999747e-05,62883.61719,16.55328751,-2.49751865e-05
5.599999905,312.0117445,71.88098649,25.61961016,56.52213377,0.8689393648,153.8179287,6.507851601,298.0652466,0,98.04233551,53.10002899,9.999999747e-05,62890.88672,16.59455299,-2.489011139e-05
5.800000191,309.2638393,72.64038051,25.66794083,56.85751127,0.8733821812,154.2873465,6.522992611,298.0699463,0,95.41603851,57.91445541,9.999999747e-05,62898.45312,16.60703659,-2.481940389e-05
6,307.0466566,72.58622003,25.67399709,56.94003791,0.8739762098,154.2907674,6.532752991,298.0769653,0,86.74998474,61.92535019,9.999999747e-05,62904.71875,16.59192085,-2.47630143e-05
6.199999809,305.3662477,71.93491479,25.65375458,56.82407279,0.8715801937,153.9186047,6.535145283,298.0870667,0,74.18517303,66.93475342,9.999999747e-05,62908.54688,16.55160713,-2.473359441e-05
6.400000095,304.2623776,70.94945063,25.63044411,56.55609611,0.8670301758,153.1840756,6.528630257,298.0979614,0,60.67044067,73.25132751,9.999999747e-05,62909.44531,16.48854065,-2.473606525e-05
6.599999905,303.6472987,69.89391359,25.62010991,56.19699791,0.8614430466,152.1866253,6.514714241,298.1099243,0,49.76734924,80.20014191,9.999999747e-05,62907.77734,16.41497993,-2.47702642e-05
6.800000191,303.7178003,68.95836913,25.61883202,55.80487157,0.8559396905,151.1810168,6.496273994,298.1161499,0,44.42650986,87.91945648,9.999999747e-05,62904.5,16.33298492,-2.48191036e-05
7,305.3117238,68.14476928,25.60582233,55.36579488,0.8504805011,150.3019285,6.479275703,298.1243591,0,46.45276642,94.09844208,9.999999747e-05,62900.9375,16.25689507,-2.485375938e-05
7.199999809,309.0462373,67.47774389,25.56693615,54.89930766,0.8453543899,149.7501945,6.468579292,298.1389465,0,55.25922775,101.2442932,9.999999747e-05,62898.18359,16.18833542,-2.48526016e-05
7.400000095,314.3933585,67.10458548,25.50963617,54.49798333,0.8416522779,149.717093,6.464921474,298.1489563,0,68.32826233,110.8699951,9.999999747e-05,62896.89062,16.12363052,-2.480094374e-05
7.599999905,319.03084,67.38450681,25.47112683,54.35849313,0.8415361007,150.2637362,6.468593597,298.158905,0,82.85742188,119.4315491,9.999999747e-05,62897.82812,16.09228134,-2.471895102e-05
7.800000191,320.9416312,68.54815124,25.48848478,54.63130753,0.8467280468,151.4229954,6.478394032,298.1740112,0,95.91622162,128.3676758,9.999999747e-05,62901.67188,16.1109848,-2.464491448e-05
8,320.6584069,70.15964681,25.5520135,55.12764252,0.8548704185,152.7943631,6.49014473,298.1862793,0,105.0582504,139.4673767,9.999999747e-05,62908.19141,16.14985466,-2.45827292e-05
8.199999809,319.7721084,71.50038787,25.6190091,55.54402336,0.86167608,153.7855533,6.501204967,298.1975098,0,109.5131912,150.1066895,9.999999747e-05,62916.40625,16.17586136,-2.452214691e-05
8.399999619,318.9344274,72.21578347,25.65969605,55.76898754,0.8654357808,154.3079204,6.508687973,298.1985168,0,109.5525665,160.8780212,9.999999747e-05,62925.06641,16.16738319,-2.446009326e-05
8.600000381,318.5598601,72.26063625,25.66495719,55.79140074,0.8657194094,154.3494696,6.512605667,298.2023926,0,106.6082687,168.5511322,9.999999747e-05,62933.23438,16.13173866,-2.440109223e-05
8.800000191,318.4309208,71.81716104,25.64515884,55.66280348,0.8636486959,154.1244708,6.512917519,298.2124023,0,102.0970764,177.3179779,9.999999747e-05,62940.36328,16.07531548,-2.436389276e-05
9,318.9731833,71.03598398,25.60968304,55.39332361,0.8596908439,153.7042748,6.509438992,298.2236633,0,97.46161652,188.3339996,9.999999747e-05,62946.13672,15.99824715,-2.434169685e-05
9.199999809,320.1462039,70.10823912,25.57094773,55.02831784,0.8544375721,153.0839477,6.5030303,298.2367859,0,94.21839142,200.1156158,9.999999747e-05,62950.63672,15.90773964,-2.432936471e-05
9.399999619,321.6345299,69.25993913,25.54041894,54.64023529,0.8490057102,152.3839355,6.495511532,298.2571716,0,93.53614044,212.9403687,9.999999747e-05,62954.35156,15.81590176,-2.433128385e-05
9.600000381,323.3275438,68.6775209,25.52331938,54.29774084,0.8445865944,151.8380707,6.48870039,298.2892151,0,95.85564423,228.7528534,9.999999747e-05,62957.98438,15.73330879,-2.435062963e-05
9.800000191,325.245533,68.48022748,25.52056206,54.05737795,0.8421234279,151.6773616,6.483027935,298.3239746,0,100.8937683,249.3008575,9.999999747e-05,62961.39062,15.66337204,-2.437693155e-05
10,327.2589794,68.75358616,25.53490503,53.95846229,0.8420088326,151.9152196,6.478534698,298.3555908,0,108.1993332,271.8984985,9.999999747e-05,62966.02734,15.61137962,-2.439677082e-05
10.19999981,328.9464116,69.58920328,25.57465616,54.0424043,0.8446226208,152.4841779,6.47420454,298.3619995,0,117.3019943,294.6902466,9.999999747e-05,62972.48047,15.57617664,-2.438956408e-05
10.39999962,330.2121117,71.04509566,25.64955003,54.30751494,0.8493535126,153.0202441,6.471055031,298.3833618,0,128.1400604,310.0073547,9.999999747e-05,62981.47656,15.56708241,-2.437477816e-05
10.60000038,330.4903398,73.00907004,25.76152305,54.75216911,0.856779216,153.755504,6.467017174,298.3585205,0,140.2345734,330.9012146,9.999999747e-05,62993.48047,15.56786346,-2.434090489e-05
10.80000019,331.6501923,75.49592627,25.91491463,55.26019196,0.8640091431,153.8617199,6.462830544,298.3344421,0,153.9508209,336.5433044,9.999999747e-05,63008.76953,15.57311726,-2.425353916e-05
11,331.2479193,78.3167495,26.10674657,55.84944408,0.8721285999,153.7062949,6.458482742,298.3310547,0,169.3394012,341.874054,9.999999747e-05,63028.11328,15.58919239,-2.420910137e-05
11.19999981,330.0121778,80.96287255,26.29112457,56.39854739,0.8796873375,153.3880989,6.453542233,298.3455811,0,186.4671173,353.4255676,9.999999747e-05,63051.96484,15.5993166,-2.421601957e-05
11.39999962,326.6704679,83.03178343,26.43410314,56.90971006,0.8858178696,152.8531875,6.447618484,298.3470764,0,205.5724792,370.8737793,9.999999747e-05,63080.86719,15.59095192,-2.425925202e-05
11.60000038,320.0084632,84.4387853,26.52886048,57.39800839,0.8903765894,152.0908148,6.440567493,298.3079529,0,225,384.2409668,9.999999747e-05,63115.22266,15.5623703,-2.429797701e-05
11.80000019,310.4419325,85.16752858,26.57699744,57.78705843,0.8935090114,151.4191083,6.431883812,298.3100891,0,225,383.752655,9.999999747e-05,63151.68359,15.52584457,-2.438126811e-05
12,310.7517872,85.29633101,26.58984852,57.71806611,0.8931484884,151.3515812,6.421881676,298.3288269,0,225,396.328064,9.999999747e-05,63188.13281,15.45102406,-2.440214492e-05
12.19999981,310.8733529,85.3212913,26.59671614,57.64246535,0.8923469316,151.191591,6.410790443,298.3551941,0,225,414.4054871,9.999999747e-05,63224.55078,15.36893463,-2.445593386e-05
12.39999962,310.9196223,85.25496739,26.59664441,57.58799991,0.891470061,151.0120892,6.398791313,298.3666992,0,225,435.6899109,9.999999747e-05,63260.85938,15.28124237,-2.450916079e-05
12.60000038,311.5735506,85.36149982,26.61063264,57.48752123,0.8903688616,150.7253214,6.386030197,298.3608093,0,225,452.7782288,9.999999747e-05,63296.94531,15.18763447,-2.45277277e-05
12.80000019,312.5203252,85.68416126,26.64312044,57.32765591,0.8891303501,150.3644722,6.372724056,298.3872375,0,225,464.4153442,9.999999747e-05,63332.91797,15.09330368,-2.45621732e-05
13,311.9864664,85.57811229,26.64166206,57.29799029,0.8883994966,150.2123257,6.358962059,298.4302979,0,225,487.105835,9.999999747e-05,63368.98047,15.00135994,-2.466809158e-05
13.19999981,311.413938,85.21211015,26.61746047,57.35595839,0.8877977782,150.0871576,6.344767094,298.4372864,0,225,516.286377,9.999999747e-05,63404.94922,14.90542603,-2.475840005e-05
13.39999962,312.4741001,85.2974695,26.62895735,57.28432438,0.8866646789,149.7098337,6.330272198,298.4517212,0,225,534.5133057,9.999999747e-05,63440.65234,14.80234718,-2.480283949e-05
13.60000038,312.7190648,85.2882439,26.63463956,57.2527452,0.8858788136,149.4575515,6.315526485,298.4660339,0,225,555.8324585,9.999999747e-05,63476.24219,14.69972134,-2.486792927e-05
13.80000019,313.2544171,85.25494376,26.63733235,57.23953952,0.8851542687,149.199741,6.300492764,298.4572449,0,225,577.6018066,9.999999747e-05,63511.60156,14.59446049,-2.490867674e-05
14,314.6747932,85.51123722,26.66390251,57.14064252,0.8841410999,148.7916321,6.285591602,298.5270386,0,225,591.9456177,9.999999747e-05,63546.80078,14.48598289,-2.499692785e-05
14.19999981,313.5689343,84.74112955,26.60615764,57.40117744,0.8846658453,149.0189316,6.270393372,298.5200195,0,225,633.2374878,9.999999747e-05,63581.92188,14.39170647,-2.511977856e-05
14.39999962,316.4636574,84.87878268,26.6146675,57.3653303,0.8838026659,148.584423,6.255430222,298.5553284,0,225,650.0494385,9.999999747e-05,63616.45703,14.28294849,-2.515944427e-05
14.60000038,317.2361862,84.54715415,26.59134677,57.50446111,0.883987244,148.6284703,6.240600109,298.5480957,0,225,681.7924805,9.999999747e-05,63650.68359,14.19275188,-2.522583211e-05
14.80000019,320.2102951,84.65714202,26.59691743,57.49689688,0.8835596379,148.3361025,6.227752686,298.5836792,0,225,699.8486938,9.999999747e-05,63684.34375,14.15222645,-2.52632355e-05
15,321.7347827,84.19647961,26.55077085,57.68476608,0.8844323811,148.5764956,6.243759155,298.3672791,0,225,732.7386475,9.999999747e-05,63717.61328,15.7498455,0.0006876825589
15.19999981,336.2244618,83.55208359,26.33782073,58.06121102,0.8909799922,149.8052863,6.286913872,297.8911743,0,225,679.7010498,9.999999747e-05,63747.95703,15.82658291,0.006580323208
15.39999962,337.5345395,86.78312185,26.66888702,57.55887294,0.8925572969,149.2406079,6.325639248,300.6836243,0,225,203.9103088,790.1982422,63778.54297,15.79799271,0.00270496236
15.60000038,399.7234004,86.22590249,28.29813312,56.96894301,0.8064471238,136.5598527,6.36024332,299.5868225,0,225,1166.79187,79.01982117,63793.54688,15.04043961,0.001880753138
15.80000019,275.0449182,76.8187771,26.09042952,59.60157909,0.8862342861,154.2988925,6.395247936,298.6794128,0,225,868.088501,7.901982307,63835,15.88618183,0.03934488896
16,324.3323401,81.06896637,26.1771207,58.43088706,0.8867647743,151.0576791,6.425506115,298.1218262,0,225,622.7695923,0.7901982665,63867.02734,15.83616066,0.02762854069
16.20000076,333.2424534,86.53123648,26.63989425,57.71412731,0.891886102,149.5258811,6.449724197,297.8433533,0,225,462.6839905,0.07901982218,63898.67578,15.80321217,0.009459699562
16.39999962,325.1124794,88.86517803,26.86510966,57.2320699,0.8940471116,150.0214232,6.469182491,299.5216675,0,225,138.8052063,438.1507263,63932.69531,15.78284454,0.004030658021
16.60000038,283.712161,77.54689003,26.2255977,59.07994842,0.8965619723,155.1906522,6.490983009,299.0528564,0,225,714.029541,43.81507492,63972.91016,15.95112705,0.03448058244
16.79999924,299.922528,78.81375428,26.09671563,58.90708875,0.8920974041,153.8421808,6.509486198,298.6442261,0,225,596.7701416,4.381507397,64010.01562,15.89930153,0.03352862697
17,310.5118375,81.58120069,26.26766654,58.61823194,0.8939005435,152.4629263,6.523657799,298.3757935,0,221.7346649,498.7875977,0.4381507337,64044.91797,15.87622547,0.02206738207
17.20000076,316.3652447,84.16069783,26.4613788,58.26262784,0.8951022875,151.6291735,6.534012318,298.1855469,0,212.8043518,433.4043884,0.04381507263,64077.39453,15.85021591,0.01583418333
17.39999962,322.126537,85.9991516,26.61085258,57.80329555,0.8945781469,151.2690955,6.541158676,298.0570374,0,199.7308655,383.8729553,0.004381507635,64106.49609,15.81543064,0.01272450353
17.60000038,325.8641979,86.63178424,26.67770211,57.42724085,0.893005662,151.3344687,6.54608345,297.9514465,0,183.7971039,347.9248962,0.000438150746,64131.73828,15.78879929,0.01464408469
17.79999924,326.398431,85.93529629,26.64736033,57.24522834,0.8907592698,151.6669711,6.549031734,297.9026794,0,165.8904266,314.5977173,9.999999747e-05,64153.22656,15.76582623,0.01701271961
