Time Step,Discharge rate,Sugar feed rate,Soil bean feed rate,Aeration rate,Back pressure,Water injection/dilution,pH,Temperature,Acid flow rate,Base flow rate,Cooling water,Heating water,Vessel Weight,Dissolved oxygen concentration,Yield Per Step
0,184.0307696,77.41909966,25.81439038,64.01004649,0.9402834761,149.9121417,6.434514523,297.6033936,0,26.01379776,9.999999747e-05,307.9693909,62934.08594,17.64871788,0.05688492045
0.200000003,200.492667,77.37462676,25.80652279,64.00262035,0.9394005124,154.4048813,6.450370789,297.8722534,0,52.20798111,9.999999747e-05,79.32064819,62956.90234,17.63743782,-2.710515513e-05
0.400000006,171.5683717,77.40946036,25.80722214,64.03112695,0.939361591,148.6648056,6.478429794,297.8488159,0,72.52774811,9.999999747e-05,9.999999747e-05,62988.62891,17.62995148,-2.761083712e-05
0.6000000238,170.6785163,77.43170712,25.80609994,64.02075299,0.9390479166,149.0955305,6.511661053,298.2119446,0,81.63455963,9.999999747e-05,104.481575,63021.41797,17.61792564,-2.779893637e-05
0.8000000119,177.4661986,77.38910648,25.81366018,64.01722829,0.9390226795,148.5415157,6.540345192,298.0578918,0,77.4708786,119.7877579,10.44815731,63051.71484,17.59607315,-2.774698955e-05
1,171.165089,77.38971383,25.81031654,64.01777332,0.9386645695,146.6912399,6.556824207,297.9370728,0,61.86505127,71.86670685,1.044815779,63079.65234,17.56921005,-2.741113939e-05
1.200000048,178.8036768,77.40228736,25.80767428,64.01032446,0.9385431402,149.2555496,6.551377296,298.1934204,0.5192191601,30.93252563,21.56001282,82.19023132,63100.28516,17.55497169,-2.739433849e-05
1.399999976,178.3255633,77.40415243,25.81502792,64.01730023,0.938713434,148.3249928,6.534134865,298.0407104,1.040685534,15.46626282,108.5437012,8.219022751,63117.67578,17.53562737,-2.752637102e-05
1.600000024,177.0579633,77.39971942,25.81084597,64.01435475,0.9387714573,148.4264567,6.509399414,297.9381104,0,2.371409893,61.19752884,0.8219022751,63132.41016,17.51488876,-2.734212808e-05
1.799999952,177.9527685,77.40882753,25.80560161,64.01516614,0.9385015207,149.5702963,6.484354496,298.1491394,0,0,18.35925865,66.18595123,63146.68359,17.49849701,-2.753128707e-05
