Time Step,Discharge rate,Sugar feed rate,Soil bean feed rate,Aeration rate,Back pressure,Water injection/dilution,pH,Temperature,Acid flow rate,Base flow rate,Cooling water,Heating water,Vessel Weight,Dissolved oxygen concentration,Yield Per Step
0,250.4758046,74.87795676,26.05912589,60.65670832,0.8914157141,149.4764664,6.434932232,297.6036987,0,26.01379776,9.999999747e-05,307.9693909,62919.73438,17.23505211,0.05688522308
0.200000003,284.0075418,73.42855887,25.8177587,59.6449703,0.882789499,149.3686867,6.451275826,297.8728638,0,52.0409584,9.999999747e-05,79.26031494,62923.29688,17.15688515,-2.595699198e-05
0.400000006,323.7018224,72.14760185,25.83499145,59.54024189,0.8694909811,151.0094217,6.480093479,297.8496704,0,71.99697876,9.999999747e-05,9.999999747e-05,62922.78516,17.03707695,-2.552105377e-05
0.6000000238,273.791561,75.21927802,25.88317811,60.65400511,0.8969540598,153.0443529,6.513447762,298.212616,0,80.43742371,9.999999747e-05,104.3216171,62934.42188,17.25883865,-2.636143014e-05
0.8000000119,309.5273493,74.71205028,25.91513053,59.96740872,0.8858630441,152.7881532,6.542096615,298.0582886,0,75.56119537,119.7534103,10.43216133,62937.42578,17.14277458,-2.590785638e-05
1,278.4376508,75.35167206,25.86415325,60.59798402,0.8983561703,153.9623412,6.557809353,297.9371948,0,59.25526428,71.76235199,1.043216109,62943.80078,17.22412872,-2.589905533e-05
1.200000048,295.3459322,73.68390721,25.85235365,59.91751089,0.883023751,151.0178973,6.552394867,298.1938782,0.5193158388,29.62763214,21.5287056,82.07776642,62939.65625,17.08066559,-2.574774839e-05
1.399999976,297.0739933,72.10899683,25.74777006,59.36844619,0.8748705782,147.7057639,6.535624981,298.0408936,1.040738225,14.81381607,108.6429214,8.207777023,62931.02344,16.99019814,-2.583765881e-05
1.600000024,321.1326697,70.31350969,25.69495434,58.73797351,0.8605966471,146.8451681,6.511096478,297.938385,0,1.121450305,61.20291901,0.8207776546,62913.75,16.84773254,-2.529817838e-05
1.799999952,299.0128212,72.2519939,25.76439131,59.68115166,0.8765362722,149.7355256,6.486791134,298.1497803,0,0,18.36087608,66.02828979,62901.875,16.96772575,-2.578394652e-05
2,300.6260876,72.2232012,25.77359498,59.64672075,0.875403565,149.693716,6.466915131,298.030304,0,5.804805279,89.75619507,6.602829456,62890.88281,16.95068169,-2.592424284e-05
2.200000048,309.5965919,71.26126849,25.72170332,59.42524356,0.8698605102,148.785041,6.45542717,297.9537048,0,19.54621887,52.56354523,0.6602829099,62880.43359,16.88916016,-2.563727965e-05
2.400000095,314.8028565,71.10764064,25.72834305,59.42644707,0.8681098575,149.2007079,6.453894615,297.9185791,0,37.86944962,28.17248726,0.0660282895,62872.73047,16.86018372,-2.5444351e-05
2.599999905,259.9256944,76.36242653,25.9429922,60.84249472,0.9039692811,154.3085385,6.462158203,298.0510559,0,56.79989243,8.451745987,35.84231949,62882.66406,17.15405464,-2.622776991e-05
2.799999952,300.2045314,74.52370485,25.90905978,60.44143942,0.8879384086,154.6883608,6.478767395,297.9996948,0,72.42469025,51.3676796,3.584231853,62887.13281,17.00795555,-2.567233104e-05
3,313.6874938,73.0259215,25.83885022,59.7841314,0.8770252973,152.1912475,6.500419617,297.96875,0,81.40971375,34.56448746,0.3584232032,62889.80469,16.90616608,-2.527291491e-05
3.200000048,286.9448314,73.91610364,25.81319257,60.10778356,0.8879324529,151.376195,6.52248621,297.958374,0,81.74396515,24.26204491,0.03584231809,62900.20312,16.99105835,-2.544542499e-05
3.400000095,289.3157526,75.49083376,25.95438677,60.57941621,0.8936741997,154.2528326,6.539358139,297.9594421,0,73.26638794,19.7421608,0.003584231948,62909.44922,17.02858162,-2.527684238e-05
3.599999905,291.163247,74.16167969,25.90143933,60.11341043,0.8850204055,152.0622912,6.546250343,297.9673767,0,58.05838013,18.6306076,0.000358423189,62914.40625,16.94154358,-2.516835866e-05
3.799999952,282.7033404,73.78300711,25.82567379,60.06138392,0.8866086078,150.255622,6.539767742,297.9781799,0,40.10954666,19.83641243,9.999999747e-05,62915.67969,16.93492889,-2.525794617e-05
4,300.1941159,72.98414165,25.81390217,59.79518095,0.8793201034,151.1625203,6.520900249,297.9862061,0,24.76568031,22.27723885,9.999999747e-05,62910.01953,16.83474159,-2.505962039e-05
4.199999809,300.8161603,72.48618154,25.78946482,59.73189686,0.8767555384,150.4164217,6.497565746,297.9967957,0,16.96671295,24.15309906,9.999999747e-05,62902.35547,16.79500198,-2.512483526e-05
4.400000095,267.0549085,76.27860749,25.97636869,60.80686999,0.9010009691,154.6155833,6.475775242,298.0086975,0,18.47660255,27.23142052,9.999999747e-05,62903.875,16.98724937,-2.566417189e-05
4.599999905,285.6745485,74.19678057,25.89304029,59.97006736,0.8853726346,151.2328015,6.460163116,298.01828,0,28.68335915,31.13272095,9.999999747e-05,62902.35156,16.82883072,-2.549152867e-05
4.800000191,293.4241054,73.64325057,25.85767802,60.43253613,0.88506777,152.6230178,6.454730511,298.0307312,0,45.11968613,34.67911911,9.999999747e-05,62902.82422,16.81880188,-2.542533158e-05
5,302.590867,73.63276851,25.86410078,60.3670093,0.8835276126,153.629705,6.45811367,298.0388489,0,63.71536636,39.59080887,9.999999747e-05,62905.38672,16.78102493,-2.529151101e-05
5.199999809,322.8964437,72.2105791,25.80613993,59.60551772,0.8717015623,151.7043259,6.470875263,298.0489807,0,80.96140289,43.44795609,9.999999747e-05,62906.58594,16.66628075,-2.496117757e-05
5.400000095,313.2037508,73.24074976,25.86601677,59.87707355,0.8775225751,151.9888959,6.488528728,298.0572815,0,93.10035706,48.33543777,9.999999747e-05,62912.60938,16.69638443,-2.499297468e-05
5.599999905,281.5784996,75.42915232,25.88709366,60.54685794,0.8970770686,153.6409243,6.507312775,298.0652161,0,98.19181824,52.96712875,9.999999747e-05,62927.11328,16.84418678,-2.530061649e-05
5.800000191,281.9095911,75.7952809,25.90026269,60.58313401,0.8989998258,153.8655658,6.522397041,298.0700073,0,95.78158569,57.78496933,9.999999747e-05,62941.16797,16.83500862,-2.519228589e-05
6,276.4788962,74.68318495,25.86752486,60.29075558,0.8919433328,152.4754259,6.532225609,298.0772095,0,87.35334015,61.82156372,9.999999747e-05,62954.04688,16.75507927,-2.518062537e-05
6.199999809,290.4258257,74.32840526,25.8327003,60.09011786,0.88949986,152.1016748,6.534950256,298.0874023,0,74.99909973,66.90242767,9.999999747e-05,62961.41016,16.71476173,-2.494710078e-05
6.400000095,291.3351186,73.62458972,25.79401937,59.97214171,0.8860085207,151.5536455,6.528860569,298.0982971,0,61.56149292,73.25298309,9.999999747e-05,62965.55469,16.66187859,-2.492283416e-05
6.599999905,278.8062975,74.51320211,25.85650579,60.03734625,0.8904862465,152.2539912,6.515207291,298.1099854,0,50.56598663,80.21182251,9.999999747e-05,62970.44531,16.67537308,-2.511384902e-05
6.800000191,283.9749809,74.15545115,25.83146048,59.89859861,0.8883507357,151.7263156,6.496912003,298.1159973,0,45.02845001,87.85330963,9.999999747e-05,62972.89453,16.62352943,-2.509647653e-05
7,294.2662946,73.98718122,25.88436361,59.82003525,0.8833964183,151.5708052,6.479934216,298.124054,0,46.80001068,93.96805573,9.999999747e-05,62973.55469,16.55422211,-2.50177506e-05
7.199999809,301.3641551,73.83364259,25.86724481,59.73738556,0.8821311084,152.7579642,6.469099045,298.1383667,0,55.34344101,101.0464859,9.999999747e-05,62974.78906,16.5211525,-2.4973485e-05
7.400000095,302.7228438,71.54026951,25.70954169,59.59102938,0.873621405,148.073151,6.465199947,298.1487427,0,68.2049942,110.5816422,9.999999747e-05,62976.76562,16.41799927,-2.497534142e-05
7.599999905,327.7911825,71.6629118,25.75930459,59.47647654,0.8693822001,151.6665415,6.468693733,298.1587524,0,82.62321472,119.2437363,9.999999747e-05,62977.35938,16.35326576,-2.462793086e-05
7.800000191,300.0407851,74.82931854,25.94674855,59.98915897,0.8860519158,154.6510998,6.478102684,298.1736145,0,95.64172363,128.1900482,9.999999747e-05,62987.88672,16.47058296,-2.494381405e-05
8,302.2805435,73.96460213,25.91186535,60.01999441,0.8817419307,152.1486681,6.489608288,298.1862488,0,104.9010544,139.2030487,9.999999747e-05,62999.11328,16.40296936,-2.48513227e-05
8.199999809,313.1598621,74.24002362,25.86832195,59.97893205,0.8848135684,154.0098371,6.500609875,298.1977539,0,109.570137,149.9527283,9.999999747e-05,63009.53125,16.39613342,-2.463958491e-05
8.399999619,296.8340804,74.46205573,25.89545724,60.14600133,0.8866741044,154.2611785,6.508023739,298.1990356,0,109.8470001,160.8163452,9.999999747e-05,63023.42188,16.37208557,-2.478135987e-05
8.600000381,296.4197121,75.10402636,25.87390762,60.09097414,0.8920992577,153.2884232,6.511980534,298.203064,0,107.1683731,168.5866547,9.999999747e-05,63036.83203,16.3801899,-2.472522239e-05
8.800000191,304.753053,75.48854326,25.93134211,60.12886702,0.8915886612,154.9265266,6.51247406,298.2129822,0,102.9068604,177.4286804,9.999999747e-05,63048.14453,16.33917236,-2.457929946e-05
9,291.2486523,75.69160197,25.90319523,60.12404305,0.8949674649,153.8174096,6.509155273,298.2241516,0,98.44825745,188.4323273,9.999999747e-05,63061.15234,16.32674408,-2.474088873e-05
9.199999809,313.6076638,73.66974366,25.82349741,59.85604608,0.8825692452,153.7242294,6.503108978,298.2372437,0,95.31854248,200.1976929,9.999999747e-05,63068.36328,16.17843246,-2.445327736e-05
9.399999619,296.987164,73.90729169,25.88631794,59.98355112,0.8826134248,151.6976884,6.495782852,298.2575989,0,94.60424805,213.0410309,9.999999747e-05,63078.53906,16.13759232,-2.469089487e-05
9.600000381,315.8620682,73.60164098,25.83454967,59.71587088,0.8809144266,153.7524496,6.489169121,298.2894592,0,96.81576538,228.8651428,9.999999747e-05,63085.70312,16.08084297,-2.44876754e-05
9.800000191,289.0676668,75.55552819,25.95964524,60.22879712,0.8921188259,153.0073016,6.483364582,298.3239441,0,101.6663208,249.357254,9.999999747e-05,63098.98828,16.13318825,-2.48886827e-05
10,320.331233,73.91158073,25.83176907,59.746535,0.8825993033,153.8624093,6.478866577,298.3555603,0,108.8382797,271.8713074,9.999999747e-05,63107.05078,16.00144386,-2.453074818e-05
10.19999981,317.7031108,74.56995512,25.88801391,59.83065925,0.8846800025,153.9943955,6.474444389,298.3621826,0,117.8077774,294.6748657,9.999999747e-05,63117.64453,15.96296501,-2.458087451e-05
10.39999962,297.3633204,75.1870263,25.90686523,59.98102914,0.8897899462,153.2757663,6.471049786,298.3838501,0,128.5500793,310.0489807,9.999999747e-05,63134.69531,15.95776939,-2.484944176e-05
10.60000038,304.1245949,76.20655016,25.97900412,60.08829897,0.8930977892,154.796316,6.466833591,298.3594055,0,140.6471558,331.0589905,9.999999747e-05,63153.3125,15.92194366,-2.473584148e-05
