Time Step,Discharge rate,Sugar feed rate,Soil bean feed rate,Aeration rate,Back pressure,Water injection/dilution,pH,Temperature,Acid flow rate,Base flow rate,Cooling water,Heating water,Vessel Weight,Dissolved oxygen concentration,Yield Per Step
0,205,15.2,24.2,33,0.66,25.5,6.435786724,297.6121521,0,26.01379776,9.999999747e-05,307.9693909,62887.13281,15.07459354,0.05684694967
0.200000003,190.4106806,15.2,24.2,33,0.66,25.5,6.452532291,297.8838806,0,51.69903564,9.999999747e-05,77.57022858,62868.31641,15.05257607,-2.721864196e-05
0.400000006,205,15.2,24.2,33,0.66,25.5,6.481378078,297.8694153,0,71.15123749,9.999999747e-05,9.999999747e-05,62850.46094,15.0274334,-2.713909085e-05
0.6000000238,179.2782175,15.2,24.2,33,0.66,25.5,6.514744759,298.2200317,0,79.07894897,9.999999747e-05,98.37608337,62838.4375,14.99998569,-2.765645198e-05
0.8000000119,205,15.2,24.2,33,0.66,25.5,6.543049812,298.0775757,0,73.68388367,116.1668472,9.837608337,62819.98438,14.96189022,-2.734309623e-05
1,156.6509927,15.2,24.2,33,0.66,25.5,6.557971478,297.9637146,0,56.9978981,72.64255524,0.9837608337,62808.04297,14.92106724,-2.760239119e-05
1.200000048,205,15.2,24.2,33,0.66,25.5,6.552579403,297.9043274,0.5194012523,28.49894905,37.34300613,0.09837608784,62780.47656,14.88615036,-2.671008228e-05
1.399999976,205,15.2,24.2,33,0.66,25.5,6.536130428,298.0569153,1.040781021,14.24947453,11.20290089,45.83580017,62750.07031,14.84523582,-2.681990237e-05
1.600000024,205,15.2,24.2,33,0.66,25.5,6.511544228,297.977478,0,0.3540031612,60.69961548,4.583580017,62716.58203,14.80238342,-2.695253399e-05
1.799999952,180.0572661,15.2,24.2,33,0.66,25.5,6.487650871,297.9301758,0,0,34.29240799,0.4583579898,62688.15234,14.76452255,-2.724063926e-05
2,205,15.2,24.2,33,0.66,25.5,6.468100071,298.0832214,0,5.459335804,10.28772259,42.59849167,62655.73047,14.73198986,-2.708415012e-05
2.200000048,205,15.2,24.2,33,0.66,25.5,6.456624031,298.014801,0,18.72694397,60.82576752,4.259849072,62626.01172,14.69336987,-2.721573091e-05
2.400000095,177.183019,15.2,24.2,33,0.66,25.5,6.454704762,297.9713135,0,36.57234192,39.18931198,0.4259849191,62605.67578,14.65476513,-2.747831594e-05
2.599999905,173.0209058,15.2,24.2,33,0.66,25.5,6.462867737,297.9543152,0,55.18006516,25.25750732,0.0425984934,62590.01953,14.61909294,-2.742480695e-05
