Time Step,Discharge rate,Sugar feed rate,Soil bean feed rate,Aeration rate,Back pressure,Water injection/dilution,pH,Temperature,Acid flow rate,Base flow rate,Cooling water,Heating water,Vessel Weight,Dissolved oxygen concentration,Yield Per Step
0,178.9418493,15.2,24.2,33,0.66,25.5,6.435629368,297.6120911,0,26.01379776,9.999999747e-05,307.9693909,62892.47656,15.07470703,0.05684659166
0.200000003,173.0155052,15.2,24.2,33,0.66,25.5,6.452300072,297.8838196,0,51.762043,9.999999747e-05,77.57977295,62877.23438,15.05277252,-2.746040922e-05
0.400000006,175.0222555,15.2,24.2,33,0.66,25.5,6.481027603,297.8693848,0,71.30738831,9.999999747e-05,9.999999747e-05,62865.55859,15.02776432,-2.755494558e-05
0.6000000238,171.9791739,15.2,24.2,33,0.66,25.5,6.514494419,298.2199402,0,79.37538147,9.999999747e-05,98.38322449,62855.08984,15.00036049,-2.776485504e-05
0.8000000119,142.2561606,15.2,24.2,33,0.66,25.5,6.542541027,298.0775757,0,74.07976532,116.145256,9.838322639,62849.57812,14.962533,-2.821022714e-05
1,142.969176,15.2,24.2,33,0.66,25.5,6.557723999,297.9637756,0,57.59848022,72.65010071,0.9838322997,62840.5625,14.92180252,-2.780511977e-05
1.200000048,205,15.2,24.2,33,0.66,25.5,6.552541733,297.9043884,0.5193546414,28.79924011,37.36817169,0.0983832255,62813.05469,14.88688278,-2.672608231e-05
1.399999976,151.7241852,15.2,24.2,33,0.66,25.5,6.535788059,298.0569763,1.040720224,14.39962006,11.21045113,45.86236572,62793.59766,14.84616852,-2.756434513e-05
1.600000024,152.2553304,15.2,24.2,33,0.66,25.5,6.511031151,297.9776306,0,0.6427491903,60.71229935,4.586236477,62770.97656,14.803545,-2.76962607e-05
1.799999952,124.7351429,15.2,24.2,33,0.66,25.5,6.486796856,297.9303284,0,0,34.33311081,0.4586236477,62753.88281,14.76588345,-2.802588905e-05
2,171.5428146,15.2,24.2,33,0.66,25.5,6.467277527,298.083313,0,5.801580906,10.29993248,42.62216568,62728.38281,14.73351955,-2.757692137e-05
2.200000048,160.2404284,15.2,24.2,33,0.66,25.5,6.455921173,298.0150452,0,19.39705467,60.82342148,4.262216568,62707.97266,14.69510937,-2.786575215e-05
2.400000095,117.1065293,15.2,24.2,33,0.66,25.5,6.454136372,297.9715881,0,37.52342606,39.24131012,0.4262216687,62700.13672,14.65677929,-2.834054912e-05
2.599999905,173.9664601,15.2,24.2,33,0.66,25.5,6.462908268,297.9545593,0,56.35835266,25.32927704,0.04262216762,62684.52344,14.62115192,-2.745879329e-05
