Time Step,Discharge rate,Sugar feed rate,Soil bean feed rate,Aeration rate,Back pressure,Water injection/dilution,pH,Temperature,Acid flow rate,Base flow rate,Cooling water,Heating water,Vessel Weight,Dissolved oxygen concentration,Yield Per Step
0,207.7948487,70.59682544,26.414604,62.8706719,0.9212301853,139.1929553,6.434760571,297.6042786,0,26.01379776,9.999999747e-05,307.9693909,62925.28125,17.35048676,0.05688165099
0.200000003,193.3156056,77.73049886,25.79513114,64.23218732,0.9310119524,147.4252585,6.45056057,297.8727417,0,52.10949326,9.999999747e-05,79.14418793,62948.21094,17.42449951,-2.719853205e-05
0.400000006,181.3129953,77.14596209,26.05680213,64.81230063,0.9376874893,129.8017852,6.47871685,297.8500671,0,72.35343933,9.999999747e-05,9.999999747e-05,62974.01172,17.46580696,-2.747400568e-05
0.6000000238,183.2510352,76.36136739,26.14000867,64.99440456,0.9528476146,126.1454219,6.512057781,298.2121887,0,81.34494781,9.999999747e-05,103.9074173,62999.23438,17.5756855,-2.762162959e-05
0.8000000119,188.8269764,73.56606386,26.17827637,64.99400686,0.9570030029,110.5715591,6.540901184,298.0601196,0,77.02259827,119.4808655,10.39074135,63018.35938,17.57954407,-2.758399841e-05
1,179.8449172,71.80217283,26.64881628,65.86884888,0.9869169859,98.50006095,6.557462215,297.940918,0,61.19421387,72.25563812,1.039074183,63033.15625,17.79754066,-2.728581387e-05
1.200000048,183.3364793,73.4232331,26.34788746,65.77932024,0.9824342427,105.4142443,6.552172661,298.197937,0.519215703,30.59710693,21.67669106,81.81442261,63042.83594,17.73653603,-2.732612825e-05
1.399999976,193.5797291,72.64309271,26.0951824,65.72944714,0.9706640751,97.91665731,6.535300255,298.0465393,1.040664673,15.29855347,109.030777,8.181442261,63045.51172,17.60578346,-2.731212677e-05
1.600000024,186.8951131,72.39440593,26.4266736,65.77635418,0.9820676985,102.4428438,6.510501385,297.9441833,0,1.736885667,62.28714371,0.8181442022,63047.45703,17.66854095,-2.720054848e-05
1.799999952,188.8515408,75.23658114,26.12247532,65.02720403,0.9583654336,125.3796897,6.4856143,298.1564941,0,0,18.68614197,66.30158997,63054.01953,17.44520378,-2.737690385e-05
2,193.0763789,75.1099901,26.06497161,64.80600621,0.9429526019,123.4181632,6.465510368,298.0370178,0,6.276515007,90.60622406,6.630158901,63060.59766,17.2977581,-2.749440347e-05
2.200000048,188.4026646,75.11343295,26.24274884,64.7475579,0.9503414046,126.6928398,6.453959942,297.9596863,0,20.57866096,53.66222,0.663015902,63071.78516,17.33480072,-2.739994805e-05
