Time Step,Discharge rate,Sugar feed rate,Soil bean feed rate,Aeration rate,Back pressure,Water injection/dilution,pH,Temperature,Acid flow rate,Base flow rate,Cooling water,Heating water,Vessel Weight,Dissolved oxygen concentration,Yield Per Step
0,189.6829299,68.3970278,25.40184043,58.09548136,0.8745614445,136.2845032,6.434689045,297.6044922,0,26.01379776,9.999999747e-05,307.9693909,62927.61719,16.95109749,0.05688035497
0.200000003,184.1886639,73.66034935,25.43639163,62.03039882,0.9158825156,145.4785999,6.450489044,297.8731384,0,52.13818741,9.999999747e-05,79.09980011,62950.85156,17.29366684,-2.732471917e-05
0.400000006,147.4244234,63.05444532,25.24162714,55.62309202,0.8453594802,115.740798,6.478645802,297.8519592,0,72.41082764,9.999999747e-05,9.999999747e-05,62976.75,16.67209244,-2.793847259e-05
0.6000000238,145.1869919,61.10300242,25.69532117,54.58981375,0.8334767444,110.4762136,6.511987686,298.2128296,0,81.4307785,9.999999747e-05,103.1123047,63002.35156,16.55049896,-2.814553494e-05
0.8000000119,138.8924843,50.12065602,25.6398158,50.93652036,0.7892088599,99.09957199,6.540789127,298.0631104,0,77.13638306,119.1010513,10.31123066,63022.94531,16.13806725,-2.827351968e-05
1,119.6267233,47.33138042,26.20137488,49.92464972,0.7766737187,85.83407874,6.557273865,297.945343,0,61.35302353,72.72085571,1.031123042,63040.85547,15.99467087,-2.812366464e-05
1.200000048,131.2977798,53.16488676,26.16842731,51.96134373,0.8059040426,96.18912004,6.551874161,298.2028503,0.5192237496,30.67651176,21.81625557,81.54908752,63053.84375,16.22022629,-2.806086246e-05
1.399999976,117.660839,43.9207775,25.95330527,48.3889199,0.7797966884,78.42188316,6.534841537,298.0533752,1.040683508,15.33825588,109.4898911,8.154909134,63060.36719,15.95534992,-2.837835073e-05
1.600000024,111.9552274,45.44786149,26.18066015,48.88974639,0.7828697339,78.44562624,6.510050774,297.9516907,0,1.960240483,63.596138,0.8154908419,63065.55859,15.94721508,-2.826296113e-05
1.799999952,146.9727801,60.25929744,25.87898042,54.87992482,0.8432426069,110.34648,6.485114098,297.9016113,0,0,31.63843346,0.08154908568,63073.61719,16.44700623,-2.772354837e-05
2,154.4582159,64.42251126,25.71963723,56.51611736,0.8608619,117.8862662,6.465009689,298.0421753,0,6.476735115,9.491530418,40.92291641,63084.12891,16.58073235,-2.779959355e-05
2.200000048,144.9909476,60.56471298,25.52665977,54.90691883,0.8394464314,110.69171,6.453624249,297.9776611,0,20.97905159,54.67879105,4.092291355,63096.98828,16.36916161,-2.805709835e-05
2.400000095,139.0223956,60.70392938,25.43957132,54.60399269,0.8368129906,106.5163191,6.452441216,297.9386902,0,40.02236938,32.94169998,0.4092291594,63114.15234,16.31912231,-2.803388741e-05
2.599999905,136.4605348,60.6710612,25.40619682,54.26345898,0.8338495728,104.6595651,6.461675167,298.0896912,0,59.53341293,9.882510185,40.75624466,63135.44922,16.27024841,-2.813836234e-05
2.799999952,129.1677743,54.07440769,25.44254504,51.83993092,0.8000343368,97.12980815,6.479023457,298.0305786,0,75.34931183,59.96937943,4.075624466,63158.18359,15.95088291,-2.823708679e-05
3,124.6944065,52.22504072,25.75012582,51.07941713,0.7874512867,92.76755222,6.501160145,297.992981,0,84.23264313,41.80809021,0.4075624347,63182.35938,15.8163147,-2.807182253e-05
3.200000048,125.9579692,52.01318271,25.96550297,50.9814888,0.7854561068,93.21900413,6.523712635,297.9778748,0,84.27146912,30.43024635,0.04075624421,63208.45703,15.77457809,-2.78678152e-05
3.400000095,126.5997791,51.91080821,26.09911318,51.01209569,0.7876761611,93.19675764,6.540863514,297.975708,0,75.30332184,25.23171425,0.004075624514,63232.59766,15.76340008,-2.772371093e-05
3.599999905,127.4234552,52.20246194,26.15488901,51.23189971,0.794767922,93.37656556,6.547718048,297.980896,0,59.49388504,23.76597595,0.0004075624456,63253.46875,15.79116058,-2.763544327e-05
3.799999952,128.8881238,52.8534973,26.15420488,51.58997394,0.8043692916,94.1732786,6.540928841,297.9892578,0,40.95898438,24.66166687,9.999999747e-05,63269.33594,15.83378601,-2.760227593e-05
4,131.5351676,54.01601873,26.10282184,52.10981223,0.8139903707,96.26435546,6.521360397,297.9946289,0,25.15172195,26.79570007,9.999999747e-05,63282.02344,15.86171913,-2.761258291e-05
4.199999809,135.998005,56.06001631,25.99003281,52.92397664,0.8233173749,100.4524612,6.497282505,298.0031128,0,17.17009163,28.18300056,9.999999747e-05,63293.55078,15.90537834,-2.764002055e-05
4.400000095,139.3507518,58.00052408,25.84002287,53.67589453,0.8299273915,104.1358533,6.475150585,298.0139771,0,18.79343033,30.86607552,9.999999747e-05,63306.00391,15.92947483,-2.769774948e-05
4.599999905,138.3006001,58.79372493,25.66672959,53.86873107,0.8301532449,104.3279536,6.459146976,298.0223083,0,29.24872017,34.66479874,9.999999747e-05,63320.99219,15.8876276,-2.77981402e-05
4.800000191,132.5542252,58.21360988,25.48930667,53.3711683,0.8233003871,100.5602208,6.453439713,298.0345154,0,46.09167099,37.98141098,9.999999747e-05,63339.71875,15.79427433,-2.792366017e-05
5,125.4989241,56.34870921,25.40010379,52.39416493,0.8105749671,95.14586524,6.456651688,298.0427551,0,65.20336151,42.968853,9.999999747e-05,63362.14062,15.63465214,-2.801857023e-05
5.199999809,120.7781429,53.97536689,25.44908605,51.36368406,0.7950053853,91.02679883,6.469267845,298.0532227,0,83.03395844,47.01322556,9.999999747e-05,63387.75,15.4576292,-2.80344361e-05
5.400000095,119.0919232,51.42655746,25.65367836,50.46343787,0.7792468241,88.79820147,6.487027645,298.0621033,0,95.8156662,52.16684723,9.999999747e-05,63415.22266,15.27310562,-2.797516263e-05
5.599999905,117.5105709,49.11953612,25.89391172,49.71648345,0.7658853525,86.6958435,6.506335735,298.0708618,0,101.5067902,57.14874268,9.999999747e-05,63443.1875,15.10806942,-2.78985027e-05
