Time Step,Discharge rate,Sugar feed rate,Soil bean feed rate,Aeration rate,Back pressure,Water injection/dilution,pH,Temperature,Acid flow rate,Base flow rate,Cooling water,Heating water,Vessel Weight,Dissolved oxygen concentration,Yield Per Step
0,227.4100759,76.42781278,25.83804043,61.1891767,0.9015707012,155.1747791,6.434750557,297.6033325,0,26.01379776,9.999999747e-05,307.9693909,62926.01172,17.32114792,0.05688639203
0.200000003,242.768923,76.45000798,26.0092464,61.34110116,0.9065013619,159.3362709,6.450793266,297.8721313,0,52.11361313,9.999999747e-05,79.33178711,62940.9375,17.35830879,-2.652385712e-05
0.400000006,246.0070166,76.6715165,26.01143141,61.25155624,0.9061991769,158.5720315,6.479148388,297.8483582,0,72.26370239,9.999999747e-05,9.999999747e-05,62959.21875,17.34813881,-2.658783608e-05
0.6000000238,251.4129522,76.86648988,26.0105327,61.14334816,0.9057362142,157.3211916,6.512621403,298.2120972,0,81.08274841,9.999999747e-05,104.6687164,62976.92188,17.3342247,-2.668350424e-05
0.8000000119,254.769145,77.24474354,26.01696519,61.09004229,0.9053078585,157.3012968,6.541327,298.0573425,0,76.53520203,119.9796143,10.46687126,62992.97656,17.30867958,-2.667106659e-05
1,255.7111057,77.23819641,26.01563819,61.1026547,0.9057280338,157.3996193,6.557592869,297.9360352,0,60.53742981,71.81877899,1.046687126,63005.50781,17.28812027,-2.623035342e-05
1.200000048,252.3191269,77.00831448,26.00546335,61.13982476,0.9059488746,157.479407,6.55219698,298.1928711,0.5192469358,30.2687149,21.54563332,82.32188416,63012.55469,17.2763195,-2.635543524e-05
1.399999976,239.3795431,76.6963073,25.97689539,61.2482233,0.9055347728,158.6387171,6.535089016,298.0393982,1.040694952,15.13435745,108.6642685,8.232188225,63019.32422,17.25203514,-2.664889579e-05
1.600000024,238.6762536,76.52407648,25.99158944,61.30663067,0.9062434365,159.3160814,6.510210991,297.9364624,0,1.657668948,61.021492,0.8232188821,63023.32422,17.2365799,-2.645080847e-05
1.799999952,242.6132751,76.44345793,25.96573383,61.16627385,0.9050305828,156.7936563,6.485508442,298.1478271,0,0,18.30644798,66.23677063,63025.60547,17.21160889,-2.659239784e-05
2,237.0216965,76.37359806,25.94356136,61.18639023,0.904357483,156.9703765,6.465518475,298.0284119,0,6.31807375,89.62050629,6.623676777,63030.37891,17.19910049,-2.683655951e-05
2.200000048,241.1943223,76.42801746,25.970302,61.22174922,0.9051705394,157.5557949,6.454149723,297.9516907,0,20.61724472,52.37119675,0.6623677015,63037.38672,17.19176865,-2.661967546e-05
2.400000095,242.3732227,76.47982495,25.98647269,61.25604739,0.9057140453,158.2255616,6.452912807,297.9165039,0,39.45070648,27.86316872,0.06623676419,63048.17188,17.18262863,-2.648513648e-05
2.599999905,244.8253858,76.59537578,26.00256098,61.2666813,0.9061154249,158.581876,6.462042332,298.0490112,0,58.77322388,8.358950615,35.93496323,63062.54688,17.17722702,-2.649956377e-05
2.799999952,248.3429319,76.82082547,26.01095716,61.22868453,0.905943662,158.3272828,6.479227543,297.9978943,0,74.44242859,51.21011353,3.593496561,63079.42188,17.16494751,-2.643561023e-05
3,252.8755545,77.00252507,26.01776205,61.16513464,0.905773818,157.7165747,6.501219273,297.9668884,0,83.24434662,34.41516113,0.3593496382,63097.15234,17.15485954,-2.615832699e-05
