Time Step,Discharge rate,Sugar feed rate,Soil bean feed rate,Aeration rate,Back pressure,Water injection/dilution,pH,Temperature,Acid flow rate,Base flow rate,Cooling water,Heating water,Vessel Weight,Dissolved oxygen concentration,Yield Per Step
0,244.9201185,54.20519802,27.66308597,54.06317154,0.8565292262,139.7800347,6.435074806,297.6053772,0,26.01379776,9.999999747e-05,307.9693909,62913.58203,16.79027176,0.05687892112
0.200000003,243.6149684,72.5987368,26.02739743,59.78696337,0.8993698187,150.9914167,6.451133251,297.873291,0,51.98380661,9.999999747e-05,78.92649078,62925.55859,17.15066147,-2.650697141e-05
0.400000006,245.2607637,74.78393225,25.80838705,59.60898922,0.8960632918,149.0015724,6.47942543,297.8499756,0,71.99776459,9.999999747e-05,9.999999747e-05,62941.42578,17.10788536,-2.659217362e-05
0.6000000238,244.5486641,75.34406088,25.81191584,59.68038444,0.8965951679,149.770378,6.512724876,298.2116394,0,80.70618439,9.999999747e-05,103.976326,62958.46094,17.09546661,-2.676999553e-05
0.8000000119,263.8777617,76.25451934,25.77357074,59.39968744,0.8945772002,151.1731335,6.541331291,298.0578613,0,76.11763763,119.3276062,10.3976326,62970.99609,17.21489334,-2.654101059e-05
1,256.637878,75.6771286,25.76419614,59.52652849,0.8958316307,150.4451911,6.557426929,297.9373474,0,60.11792374,71.49385071,1.039763331,62981.35938,17.2024765,-2.621266624e-05
1.200000048,252.3624296,75.08578918,25.84631145,59.84350561,0.8972123438,150.4910948,6.551971912,298.1926575,0.5192644,30.05896187,21.44815445,81.73545074,62986.37891,17.20057678,-2.634925333e-05
1.399999976,260.7119577,74.31371652,25.89603076,59.80450037,0.8966521939,150.2411855,6.53505373,298.0403137,1.040711761,15.02948093,108.0917282,8.173544884,62986.38281,17.17458534,-2.635355547e-05
1.600000024,254.5846949,73.93803268,25.86329228,59.74221309,0.8955769385,147.9686884,6.510334492,297.9382324,0,1.566044807,60.84170151,0.8173545003,62984.0625,17.1437397,-2.622782612e-05
1.799999952,249.0774744,74.13598662,25.90299661,59.93586394,0.8971639202,148.0584133,6.485740662,298.148468,0,0,18.25251007,65.73670197,62982.60156,17.14256287,-2.649481281e-05
2,252.9027058,73.91152966,25.91418318,59.80625818,0.8969445545,148.3259167,6.465857983,298.0298767,0,6.225218773,89.2392807,6.57366991,62981.67188,17.13332176,-2.661026122e-05
2.200000048,247.5446228,73.80309867,25.85992584,59.63724104,0.8954635431,146.4142931,6.454480171,297.9537964,0,20.38862991,52.31523514,0.657366991,62984.32812,17.10619926,-2.652153203e-05
2.400000095,243.3372054,73.95279433,25.85586334,59.61855096,0.8956294136,146.547552,6.453150272,297.9188843,0,39.09034348,28.07109451,0.06573669612,62991.75391,17.09357643,-2.646001396e-05
