Time Step,Discharge rate,Sugar feed rate,Soil bean feed rate,Aeration rate,Back pressure,Water injection/dilution,pH,Temperature,Acid flow rate,Base flow rate,Cooling water,Heating water,Vessel Weight,Dissolved oxygen concentration,Yield Per Step
0,0,76.17031468,25.99237175,61.19936543,0.9047898521,151.8760972,6.433401108,297.6030579,0,26.01379776,9.999999747e-05,307.9693909,62971.91016,17.34910011,0.05688253868
0.200000003,0,76.52281145,25.96735236,60.97764539,0.9046719206,153.4944418,6.448262691,297.8720093,0,52.65326309,9.999999747e-05,79.38597107,63035.52344,17.34467888,-2.986278191e-05
0.400000006,0,76.53224022,25.96749083,60.97441337,0.9047253305,153.5027023,6.475823879,297.8485107,0,73.81937408,9.999999747e-05,9.999999747e-05,63103.46094,17.33874893,-2.999375455e-05
0.6000000238,0,76.53673323,25.96703995,60.968086,0.9047298945,153.5644509,6.508990765,298.2111816,0,83.96697235,9.999999747e-05,104.5884476,63172.41016,17.33010864,-3.018394831e-05
0.8000000119,0,76.5449441,25.96696903,60.96329447,0.9047772514,153.6102002,6.53809166,298.0577393,0,80.87004852,119.6191101,10.45884514,63240.60938,17.30986214,-3.023695048e-05
1,0,76.56639909,25.96824163,60.97076747,0.9048997137,153.6147315,6.555698872,297.9371033,0,66.16400146,71.87915039,1.04588449,63305.72656,17.28809166,-2.982690159e-05
1.200000048,0,76.54018131,25.96758267,60.97613082,0.904735987,153.5946046,6.55026865,298.192749,0.5190948248,33.08200073,21.56374359,82.28129578,63364.11719,17.27414131,-2.992651771e-05
1.399999976,0,76.5200931,25.96950177,61.00056418,0.9047448852,153.3567187,6.532393456,298.0411377,1.040616751,16.54100037,108.3032532,8.228129387,63419.08594,17.25429726,-3.007036088e-05
1.600000024,0,76.50946199,25.97640247,61.07226845,0.9049682126,152.7542056,6.507593155,297.9389038,0,4.144855976,61.30818939,0.8228129745,63471.13281,17.23589134,-2.988726663e-05
1.799999952,0,76.51932959,25.96853734,60.99454709,0.9046863489,153.4599714,6.482431889,298.1491394,0,1.651752234,18.39245796,66.2999115,63522.78516,17.21996498,-3.010506444e-05
