Time Step,Discharge rate,Sugar feed rate,Soil bean feed rate,Aeration rate,Back pressure,Water injection/dilution,pH,Temperature,Acid flow rate,Base flow rate,Cooling water,Heating water,Vessel Weight,Dissolved oxygen concentration,Yield Per Step
0,0,75.50138024,25.99790051,61.71045787,0.9083340763,121.3953932,6.442120075,297.7301025,0,23.27452087,9.999999747e-05,170.0345154,62302.08594,17.41616249,0.05829171699
0.200000003,0,76.50073571,25.96634388,60.96947674,0.904679135,153.3543692,6.457026005,297.8820496,0,46.42641449,9.999999747e-05,53.97867966,62364.31641,17.38118935,-3.070270544e-05
0.400000006,0,76.49561451,25.96670524,60.96918505,0.9047232297,153.311183,6.481937408,297.8401184,0,64.08708191,9.999999747e-05,9.999999747e-05,62430.07812,17.36717606,-3.069998295e-05
0.6000000238,0,76.49451051,25.96722176,60.96712347,0.9047417265,153.3854604,6.512127399,298.0959167,0,71.79811859,9.999999747e-05,82.54595947,62496.40234,17.36281013,-3.077480591e-05
0.8000000119,0,76.49164221,25.9675271,60.96333078,0.9047713494,153.4487822,6.538959503,297.9763184,0,67.44779968,82.57154846,8.254595757,62561.78125,17.35022545,-3.076507984e-05
1,0,76.49269989,25.96766986,60.96398766,0.9047645773,153.4788578,6.556239128,297.8869324,0,52.3925705,42.99253845,0.8254595995,62624.14062,17.34547043,-3.042295628e-05
1.200000048,0,76.50057554,25.9665662,60.96629825,0.9046924278,153.4687328,6.55264473,298.0585327,0.5190232396,26.19628525,12.89776134,62.52667618,62681.15234,17.43689919,-3.046441412e-05
1.399999976,0,76.50709762,25.96592285,60.96552205,0.904648201,153.5329625,6.538762569,297.9566345,1.040287137,13.09814262,68.52793121,6.252667427,62735.60938,17.43384933,-3.056164367e-05
1.600000024,0,76.50875571,25.96586274,60.96599446,0.9046362684,153.5442775,6.5163908,297.8801575,0,0,34.28517151,0.6252667308,62787.09375,17.4152565,-3.043969947e-05
1.799999952,0,76.51141547,25.96556096,60.9653723,0.9046104796,153.5727653,6.495078564,298.0368958,0,0,10.28555202,55.7297821,62838.60156,17.4136467,-3.061456511e-05
2,0,76.51040727,25.9655734,60.96559527,0.9046191273,153.5521014,6.476333618,297.9436035,0,2.486937284,60.44025421,5.572978497,62890.53516,17.39931679,-3.076506383e-05
2.200000048,0,76.50962368,25.96558677,60.96566169,0.9046255649,153.5401222,6.464578629,298.3856201,0,12.46679592,18.13207626,138.8858185,62944.50391,17.40001869,-3.120743206e-05
2.400000095,0,76.50599461,25.96528665,60.96421836,0.9046622957,153.4901129,6.46219635,298.1741943,0,27.1340065,169.2113953,13.88858223,63001.45703,17.39787102,-3.147572928e-05
2.599999905,0,76.50137867,25.96542745,60.96168283,0.9047122756,153.5077003,6.469709396,298.0149231,0,42.74570465,107.4160461,1.388858199,63061.71484,17.39874077,-3.104166602e-05
2.799999952,0,76.49853387,25.96622376,60.96145281,0.9047423164,153.530749,6.484637737,297.9177246,0,55.34960175,60.58224106,0.1388858259,63124.59375,17.39362526,-3.069064678e-05
3,0,76.49745173,25.9668123,60.96115631,0.9047543662,153.5674917,6.504664898,298.115509,0,61.98955536,18.17467117,66.38182831,63188.90625,17.39806175,-3.069486006e-05
3.200000048,0,76.49679716,25.96655626,60.95743866,0.9047694746,153.6198574,6.526527882,298.0324097,0,60.62565613,84.05683136,6.638183117,63255.16016,17.41469765,-3.069802017e-05
3.400000095,0,76.49700966,25.96695436,60.95741196,0.9047714578,153.6620207,6.541118622,297.9619446,0,50.52679825,58.23291779,0.6638182998,63319.40234,17.41186714,-3.043157213e-05
3.599999905,0,76.50350474,25.96631691,60.96082674,0.9047039697,153.6426583,6.543324471,297.9191284,0,34.62149429,35.75999832,0.066381827,63380.45312,17.41148949,-3.025685734e-05
3.799999952,0,76.5084259,25.96580673,60.96314026,0.9046537028,153.6279017,6.530727386,298.071167,0,17.85110474,10.72799969,47.16304398,63436.78516,17.39904785,-3.038140119e-05
4,0,76.51049487,25.96547069,60.9640085,0.9046338872,153.6136807,6.508482456,298.0186462,0,6.128489017,60.47357178,4.716304302,63490.61719,17.38063622,-3.055264462e-05
4.199999809,0,76.51154186,25.96537906,60.96446572,0.9046225869,153.6101769,6.48494482,297.9680481,0,3.288193703,43.88225555,0.4716304243,63543.74219,17.35601425,-3.05376283e-05
4.400000095,0,76.51145803,25.96535641,60.96490122,0.904620983,153.5969819,6.467028618,297.9403076,0,9.836256981,27.52108955,0.04716304317,63598.24219,17.35094833,-3.054164267e-05
4.599999905,0,76.51027433,25.96536307,60.96462253,0.9046334525,153.588665,6.458701134,298.0619507,0,23.52827263,8.256326675,35.1402359,63655.51172,17.34034157,-3.069373188e-05
4.800000191,0,76.507029,25.96517143,60.96261738,0.9046716004,153.5789332,6.460745335,298.0238342,0,40.53778076,48.1919136,3.514023542,63716.19922,17.32678986,-3.078291194e-05
5,0,76.50237781,25.96517428,60.95885611,0.9047278758,153.6115012,6.473229885,297.9942932,0,56.72627258,36.45343781,0.3514023721,63780.27344,17.32595253,-3.065596195e-05
5.199999809,0,76.49877775,25.96558767,60.95563451,0.904773007,153.6753804,6.491015911,297.9765015,0,67.91999054,27.44728088,0.03514023498,63846.59766,17.31157494,-3.051165684e-05
5.400000095,0,76.49662104,25.96604542,60.95391979,0.9047966369,153.7334155,6.506400585,297.9648438,0,72.0152359,21.31687164,0.003514023498,63913.5625,17.27808952,-3.038158464e-05
5.599999905,0,76.49674088,25.96611228,60.9542922,0.9047915441,153.7603122,6.51927948,297.962677,0,69.98145294,16.5486145,0.0003514023556,63980.08203,17.26587486,-3.02824772e-05
5.800000191,0,76.49883389,25.96589658,60.95549644,0.9047690806,153.7668589,6.526608467,297.966217,0,62.79656982,14.57081509,9.999999747e-05,64045.09766,17.25264549,-3.022012165e-05
6,0,76.50167668,25.96549073,60.9575229,0.9047386671,153.7484216,6.526247501,297.9725647,0,52.69045258,14.4055357,9.999999747e-05,64107.97656,17.23567963,-3.019840372e-05
6.199999809,0,76.50428838,25.96510381,60.95979826,0.9047095882,153.7156203,6.519852161,297.9819641,0,42.73608398,15.3030262,9.999999747e-05,64168.83984,17.22906113,-3.021500455e-05
6.400000095,0,76.50637065,25.96485035,60.96147558,0.9046873184,153.6867163,6.508791924,297.9924927,0,35.33511734,17.47180367,9.999999747e-05,64228.19531,17.21998787,-3.026145156e-05
6.599999905,0,76.50752379,25.96467184,60.96245507,0.9046752943,153.6669762,6.495897293,298.0031433,0,32.35406494,20.35370064,9.999999747e-05,64286.94531,17.2098465,-3.032552403e-05
6.800000191,0,76.5076802,25.96450652,60.96246995,0.9046755343,153.6615021,6.484099865,298.0127563,0,34.52212906,23.66489792,9.999999747e-05,64346.12109,17.19659424,-3.03915756e-05
7,0,76.5067535,25.96429734,60.96132358,0.9046897874,153.6740898,6.475775242,298.020813,0,41.39952087,27.02162552,9.999999747e-05,64406.67188,17.18166733,-3.044452189e-05
7.199999809,0,76.50476172,25.96402525,60.95872303,0.9047191432,153.7126275,6.473347187,298.0297241,0,51.59903717,30.21013451,9.999999747e-05,64469.36328,17.17515945,-3.047353857e-05
7.400000095,0,76.50200603,25.96375366,60.95440671,0.9047619075,153.7858081,6.47642374,298.0374451,0,62.76148605,34.00699615,9.999999747e-05,64534.35156,17.1635704,-3.047324109e-05
7.599999905,0,76.49864291,25.96360043,60.94949648,0.904810911,153.8841915,6.484699726,298.0455322,0,72.69404602,37.7103653,9.999999747e-05,64601.42969,17.1559391,-3.0444932e-05
7.800000191,0,76.495559,25.96366077,60.94511815,0.9048537987,153.98997,6.496531963,298.0543823,0,79.31682587,41.84605026,9.999999747e-05,64669.93359,17.14948845,-3.039633626e-05
8,0,76.49362164,25.96381924,60.94250374,0.9048790286,154.0791268,6.506631851,298.058075,0,81.21165466,46.55155182,9.999999747e-05,64738.75781,17.12789536,-3.033948272e-05
8.199999809,0,76.49331323,25.96379107,60.94252827,0.9048819484,154.1421747,6.515840054,298.0654297,0,79.08374023,49.7918663,9.999999747e-05,64807.22656,17.12184525,-3.028836529e-05
8.399999619,0,76.49468426,25.96359486,60.9437238,0.9048683866,154.1622595,6.52382803,298.0805359,0,73.26976776,54.47886276,9.999999747e-05,64874.67969,17.12600327,-3.025512208e-05
8.600000381,0,76.49724153,25.96324471,60.94581937,0.904842853,154.1401556,6.524203777,298.0889282,0,64.26187897,62.09020615,9.999999747e-05,64940.22656,17.10422897,-3.024426816e-05
8.800000191,0,76.49999838,25.96280208,60.94960614,0.9048109417,154.1017993,6.517115593,298.0929565,0,55.12466049,67.89556122,9.999999747e-05,65003.83984,17.08187103,-3.025720764e-05
9,0,76.50236084,25.9624515,60.9531261,0.9047828292,154.0506248,6.504358292,298.0919189,0,48.82289124,72.55874634,9.999999747e-05,65066.06641,17.0555191,-3.029156085e-05
9.199999809,0,76.50351993,25.96214402,60.95519305,0.9047700328,154.0250234,6.492459297,298.1034241,0,47.61865616,75.65444183,9.999999747e-05,65128.19531,17.05329895,-3.034615788e-05
9.399999619,0,76.50359943,25.96168805,60.95370212,0.904779494,154.0374371,6.481695175,298.1083374,0,51.15319443,83.07743835,9.999999747e-05,65190.99219,17.02946854,-3.04032992e-05
9.600000381,0,76.50164988,25.96107478,60.95010145,0.9048160705,154.1337083,6.476319313,298.1192627,0,58.99240875,88.56462097,9.999999747e-05,65255.49219,17.01964569,-3.044424645e-05
9.800000191,0,76.49848873,25.96030181,60.94305307,0.9048754878,154.2895348,6.47587347,298.12677,0,68.96788788,96.3637085,9.999999747e-05,65321.23828,17.00011253,-3.046215403e-05
10,0,76.49397288,25.95962759,60.93496692,0.9049491279,154.5126605,6.480207443,298.1335449,0,79.12272644,103.3454742,9.999999747e-05,65389.11328,16.98254585,-3.045100321e-05
10.19999981,0,76.48920818,25.95929322,60.9275596,0.9050190045,154.7568307,6.487530708,298.1383972,0,87.54412079,110.3816605,9.999999747e-05,65458.75781,16.96289253,-3.041748421e-05
10.39999962,0,76.48502067,25.95932913,60.92282215,0.9050722104,154.9968846,6.496061802,298.1429443,0,93.04163361,117.0053329,9.999999747e-05,65529.57812,16.94332314,-3.037151116e-05
10.60000038,0,76.48211962,25.95949862,60.92098772,0.9051049182,155.2112062,6.504786015,298.1529541,0,95.13230133,123.7278214,9.999999747e-05,65600.92188,16.92768478,-3.032817917e-05
10.80000019,0,76.48068304,25.95948916,60.92097347,0.9051217935,155.3845035,6.513192654,298.1764832,0,93.73655701,132.5056763,9.999999747e-05,65672.14062,16.91867447,-3.030586844e-05
11,0,76.48053626,25.95907019,60.92150641,0.9051293286,155.5034506,6.516695023,298.1893311,0,88.97992706,146.2849884,9.999999747e-05,65742.36719,16.89114952,-3.029960571e-05
11.19999981,0,76.48085646,25.95847017,60.92513191,0.905132113,155.6502061,6.511772156,298.1714172,0,82.83740997,157.1603546,9.999999747e-05,65811.15625,16.84587288,-3.028151447e-05
11.39999962,0,76.48157615,25.95813929,60.9320174,0.9051307679,155.8302524,6.504500866,298.170105,0,78.67597198,157.9877167,9.999999747e-05,65879.1875,16.82533836,-3.027427317e-05
11.60000038,0,76.48319862,25.9576025,60.93434946,0.9051312853,155.910754,6.496319771,298.1780396,0,77.40370941,164.0934906,9.999999747e-05,65947.02344,16.80273247,-3.030244917e-05
11.80000019,0,76.4827568,25.95682482,60.93337849,0.9051619333,156.0953769,6.488438606,298.1870117,0,79.39942169,173.2203064,9.999999747e-05,66015.3125,16.7761097,-3.034340818e-05
12,0,76.48014164,25.95591717,60.92959011,0.9052232517,156.4241228,6.480698586,298.1805115,0,84.54360199,182.9301605,9.999999747e-05,66084.625,16.73976517,-3.036846219e-05
12.19999981,0,76.47530692,25.95525585,60.92504512,0.905310623,156.9440901,6.47642374,298.182373,0,92.78440094,187.6366119,9.999999747e-05,66155.75,16.71385384,-3.037732508e-05
