Time Step,Discharge rate,Sugar feed rate,Soil bean feed rate,Aeration rate,Back pressure,Water injection/dilution,pH,Temperature,Acid flow rate,Base flow rate,Cooling water,Heating water,Vessel Weight,Dissolved oxygen concentration,Yield Per Step
0,129.5487171,77.02421591,25.69676207,63.89817358,0.917137779,90.63827837,6.434545517,297.6055908,0,26.01379776,9.999999747e-05,307.9693909,62932.97656,17.3153286,0.05687194007
0.200000003,162.7620748,75.88390273,25.74609236,64.2873581,0.9241461099,135.0063724,6.450288296,297.8736572,0,52.1955452,9.999999747e-05,78.8836441,62959.13281,17.36460876,-2.762070661e-05
0.400000006,123.2508591,75.37564383,25.79326704,64.14294876,0.9312778521,103.766483,6.478344917,297.8521423,0,72.54854584,9.999999747e-05,9.999999747e-05,62991.00391,17.40715027,-2.827370008e-05
0.6000000238,138.966091,76.20711359,25.83514441,64.02993224,0.9381617123,112.4795339,6.511642933,298.2115479,0,81.68884277,9.999999747e-05,103.0413055,63022.47656,17.4470005,-2.823788267e-05
0.8000000119,128.081378,76.22327707,25.80581472,64.02944194,0.9343445964,105.0859048,6.540318489,298.0605469,0,77.53224182,118.6135101,10.30413055,63053.68359,17.38440132,-2.842712057e-05
1,125.3439333,76.52528912,25.87348882,63.97329374,0.9407298818,103.062647,6.556821346,297.9416809,0,61.93728256,71.75649261,1.030413032,63081.86328,17.40462875,-2.805199747e-05
1.200000048,135.5269578,76.70425829,25.8628248,63.96827007,0.9409496073,109.4675464,6.551362514,298.1966248,0.519215703,30.96864128,21.52694893,81.33479309,63103.03516,17.38301277,-2.800517059e-05
1.399999976,122.1992871,76.37205734,25.80731451,63.93976712,0.9318347214,96.10603545,6.53409481,298.0464172,1.0406847,15.48432064,108.1881409,8.133479118,63120.95312,17.27421188,-2.831590638e-05
1.600000024,120.1293577,76.61642124,25.8212061,63.95559496,0.9372322818,96.26480444,6.509334564,297.9449768,0,2.405647278,61.83306885,0.8133479357,63136.46484,17.2865963,-2.815095289e-05
1.799999952,138.0135498,76.68329567,25.80421392,64.02158504,0.9347861723,108.6545977,6.48428297,298.1557922,0,0,18.54992104,65.7252655,63150.34375,17.24119568,-2.811623854e-05
2,124.6898985,76.08404223,25.77151936,64.08384653,0.9263806992,97.95865654,6.464274406,298.0384216,0,6.809723377,89.97635651,6.572526455,63166.02734,17.15115547,-2.847645121e-05
2.200000048,126.4767652,76.24662142,25.80639688,64.06857615,0.932002761,100.4874536,6.453093529,297.9621887,0,21.6054287,53.74592209,0.6572526693,63184.96094,17.17210388,-2.83019999e-05
2.400000095,128.316288,76.13206013,25.82229458,64.06361909,0.9337675735,102.5128574,6.452196598,297.9266357,0,40.86074448,29.76948929,0.06572526693,63207.86328,17.16116905,-2.816520685e-05
2.599999905,128.4612625,76.00858827,25.83193936,64.05025307,0.9355412869,103.5518411,6.461734772,298.0610046,0,60.46918869,8.930847168,36.06178284,63234.94922,17.15478134,-2.821876527e-05
2.799999952,121.9329119,75.67454478,25.81858055,64.06760945,0.9348662073,100.4107537,6.479275227,298.010376,0,76.26115417,52.80833435,3.606178284,63265.88281,17.12528801,-2.82986891e-05
3,127.0084658,76.07939176,25.84347916,64.03079968,0.9382065329,103.9749939,6.501521587,297.9787903,0,85.04397583,36.61895752,0.3606178164,63298.46875,17.13135338,-2.802071913e-05
3.200000048,131.8410229,76.27441343,25.85447453,64.01767703,0.939424699,107.568096,6.524097443,297.9674683,0,84.93850708,26.49603081,0.03606178239,63332.94531,17.12119102,-2.777904843e-05
