Time Step,Discharge rate,Sugar feed rate,Soil bean feed rate,Aeration rate,Back pressure,Water injection/dilution,pH,Temperature,Acid flow rate,Base flow rate,Cooling water,Heating water,Vessel Weight,Dissolved oxygen concentration,Yield Per Step
0,161.9357026,77.39152833,25.76008628,64.03387876,0.9379298722,121.2568624,6.4345541,297.6044617,0,26.01379776,9.999999747e-05,307.9693909,62932.72656,17.49196434,0.05687873702
0.200000003,170.5431872,77.01810794,25.78975292,64.00803545,0.9341819015,146.9885253,6.45026207,297.8728333,0,52.1921463,9.999999747e-05,79.10993958,62960.05859,17.45027733,-2.751365407e-05
0.400000006,125.7782044,77.33022417,25.79059628,63.98282926,0.938572048,114.3372854,6.478256702,297.850769,0,72.5557251,9.999999747e-05,9.999999747e-05,62994.11328,17.47053719,-2.823733138e-05
0.6000000238,136.1483662,77.48909558,25.79283582,63.97235581,0.9393881877,119.204325,6.511499882,298.2116699,0,81.73140717,9.999999747e-05,103.5591431,63027.88672,17.45992279,-2.827521107e-05
0.8000000119,126.6303839,77.32535062,25.79322829,63.96062083,0.9373635861,113.8580342,6.540144444,298.0597534,0,77.63200378,119.0890121,10.35591412,63061.50391,17.41287041,-2.8447006e-05
1,129.3477564,77.45970463,25.79745522,63.95427317,0.9380909906,112.903956,6.556698322,297.9402466,0,62.10673141,71.90848541,1.035591364,63091.15234,17.3864212,-2.799636698e-05
1.200000048,138.7708675,77.48516052,25.79727477,63.95686962,0.9382852404,118.3593482,6.551253796,298.1961365,0.5192076564,31.05336571,21.57254601,81.74219513,63113.69922,17.36511421,-2.795973475e-05
1.399999976,126.241278,77.36004406,25.7905988,63.99515321,0.9358874712,107.3938693,6.533961296,298.0450745,1.040677547,15.52668285,108.5161896,8.174219131,63133.37109,17.31348991,-2.825952864e-05
1.600000024,133.5669938,77.49772866,25.78938631,63.97896155,0.9381455425,110.4996204,6.509263992,297.9429932,0,2.501396179,61.83164978,0.8174219131,63149.29688,17.30052567,-2.796542522e-05
1.799999952,145.5405417,77.65760905,25.796903,63.98252129,0.9384476929,118.9091042,6.484199047,298.1545715,0,0,18.5494957,66.08061218,63163.98828,17.27848816,-2.800973351e-05
2,134.2489325,77.55204376,25.79030591,64.01655934,0.9357170455,110.5003903,6.464191914,298.0364075,0,6.843639374,90.16791534,6.608061314,63180.6875,17.2368927,-2.834185054e-05
2.200000048,132.7200655,77.78121767,25.78890705,64.00325142,0.9381879457,109.9415049,6.453026295,297.9599304,0,21.67226791,53.61555862,0.6608061194,63200.70312,17.23213196,-2.821029419e-05
2.400000095,128.36413,77.79940581,25.78802396,63.9980208,0.9392331647,109.088334,6.452132225,297.9244385,0,40.95439148,29.47811127,0.06608061492,63225.39844,17.21570587,-2.815636811e-05
2.599999905,125.3911547,77.73570885,25.78814322,63.990732,0.9398317866,109.3602668,6.46166563,298.0587463,0,60.58862305,8.84343338,36.11943436,63254.78125,17.20013809,-2.825195425e-05
2.799999952,120.6647927,77.4937481,25.78811708,63.98120245,0.939018285,108.7646928,6.479203224,298.0079651,0,76.40818024,52.61230469,3.611943483,63288.19922,17.17037964,-2.830776237e-05
3,124.9924394,77.51389731,25.79072164,63.97132858,0.9391822194,111.7321155,6.501456261,297.9764709,0,85.21982574,36.28710175,0.3611943424,63323.19922,17.15075493,-2.803998614e-05
3.200000048,129.372428,77.42802587,25.79223566,63.96179438,0.9385985707,115.3386265,6.524049282,297.965271,0,85.14038086,26.10016251,0.03611943498,63360.11328,17.12640953,-2.780487153e-05
3.400000095,132.0843616,77.39258937,25.7923821,63.95657157,0.9381074615,116.9798604,6.541187763,297.9657898,0,76.03775024,21.59809303,0.003611943452,63394.96094,17.09742165,-2.764003778e-05
3.599999905,134.2265508,77.40487198,25.79284635,63.95566437,0.9379557305,117.4415006,6.548007965,297.9729004,0,60.09863663,20.54964256,0.0003611943393,63426.22266,17.06846619,-2.753889425e-05
3.799999952,136.2553537,77.45258284,25.79446391,63.95863179,0.9381008685,117.1630546,6.541172504,297.9829102,0,41.44801712,21.72224426,9.999999747e-05,63451.94922,17.03463936,-2.750172801e-05
4,137.6182827,77.51672645,25.79631192,63.96479833,0.9383224606,116.2576461,6.52153492,297.9901733,0,25.5433445,24.10720825,9.999999747e-05,63473.78516,16.98362923,-2.753265784e-05
4.199999809,137.5543619,77.58276643,25.79669037,63.97319693,0.9384505519,114.8412028,6.497394085,298.0002441,0,17.49182701,25.89063072,9.999999747e-05,63493.71484,16.94965553,-2.762412564e-05
4.400000095,135.5530929,77.64494093,25.79491128,63.9822115,0.9385125178,112.9832028,6.475195885,298.0123901,0,19.07061195,28.94081879,9.999999747e-05,63514.06641,16.91832161,-2.775665283e-05
4.599999905,130.3907322,77.71129907,25.791741,63.98973023,0.9387449877,109.8028202,6.459099293,298.0217896,0,29.50788689,33.06830978,9.999999747e-05,63536.91797,16.87779617,-2.791513045e-05
4.800000191,122.8680709,77.76335393,25.78829489,63.99357511,0.9392530594,105.8478849,6.453271866,298.0344543,0,46.3699646,36.68787384,9.999999747e-05,63564.06641,16.85334587,-2.806706924e-05
5,117.2487432,77.74417172,25.78623281,63.99136377,0.9397489255,103.923818,6.456335545,298.0426941,0,65.54885864,41.79904938,9.999999747e-05,63595.83984,16.81449318,-2.814484784e-05
5.199999809,115.833496,77.65022538,25.78641575,63.98366125,0.9399094385,105.1115934,6.468800545,298.0526733,0,83.50604248,45.84039688,9.999999747e-05,63631.85938,16.7826519,-2.811788956e-05
5.400000095,118.2958731,77.5176763,25.7883668,63.97236133,0.9395150353,108.5660866,6.48643589,298.0608826,0,96.47480774,50.82505417,9.999999747e-05,63670.70312,16.74054718,-2.800374519e-05
5.599999905,120.5779795,77.41754139,25.79024439,63.96164271,0.9388391469,111.1211764,6.505682945,298.0688782,0,102.4024353,55.55128098,9.999999747e-05,63710.8125,16.69602394,-2.787519024e-05
5.800000191,121.3753003,77.36376729,25.79114053,63.95358218,0.9381785433,111.9656846,6.52148962,298.0736389,0,100.6425934,60.53572464,9.999999747e-05,63750.51562,16.64429665,-2.776943141e-05
6,121.2998055,77.35270599,25.79162749,63.94941301,0.9377973224,111.5162007,6.532346725,298.0807495,0,92.57646179,64.70117188,9.999999747e-05,63788.51953,16.59780884,-2.769545739e-05
6.199999809,121.3985307,77.37217569,25.79222995,63.94868728,0.9377003796,110.5746994,6.536212921,298.0909729,0,80.1728363,69.87879944,9.999999747e-05,63823.82422,16.55211449,-2.765250409e-05
6.400000095,121.6329049,77.4186269,25.79340218,63.95120976,0.9378416211,109.1604436,6.531223297,298.1019897,0,66.22970581,76.37825012,9.999999747e-05,63855.97656,16.50280762,-2.764715872e-05
6.599999905,121.5302488,77.48396181,25.79465816,63.95677655,0.9380968847,107.255137,6.518344879,298.1141052,0,54.28917313,83.51379395,9.999999747e-05,63885.36719,16.45109749,-2.768585674e-05
6.800000191,120.5987676,77.55441927,25.79483588,63.96467812,0.9383153332,105.0469659,6.499968052,298.1204834,0,47.49752426,91.44219208,9.999999747e-05,63913.08203,16.39017296,-2.776245532e-05
7,118.1579601,77.62804833,25.79342637,63.97362588,0.9385275111,102.4262082,6.482069969,298.1289978,0,48.04944611,97.82512665,9.999999747e-05,63940.91406,16.332407,-2.786933241e-05
7.199999809,114.2207422,77.68935445,25.79081633,63.98117857,0.9388094543,99.6574426,6.469738007,298.144104,0,55.7413063,105.2301712,9.999999747e-05,63970.66016,16.27781105,-2.799292936e-05
7.400000095,109.988037,77.71641357,25.78850364,63.98453304,0.9391875366,97.43179746,6.464103222,298.1547546,0,68.34937286,115.2179108,9.999999747e-05,64003.40625,16.21663094,-2.809415606e-05
7.599999905,107.2763582,77.69510662,25.78783864,63.98255967,0.939546389,96.76046658,6.465918541,298.1653748,0,83.20716095,124.1857376,9.999999747e-05,64039.63281,16.15587234,-2.813609965e-05
7.800000191,107.1048796,77.62367835,25.78932373,63.9756131,0.9396484996,98.08609647,6.474375725,298.1813354,0,97.33568573,133.5751038,9.999999747e-05,64079.10547,16.09427643,-2.811500275e-05
8,108.1231118,77.53772363,25.79246496,63.96572416,0.9394142267,99.99508827,6.485450268,298.1944275,0,108.0834351,145.20224,9.999999747e-05,64120.95703,16.02409744,-2.805814611e-05
8.199999809,108.2603089,77.47731176,25.79614193,63.95627118,0.9390470559,100.7313505,6.496458054,298.2065125,0,114.4141235,156.4000702,9.999999747e-05,64164.22656,15.94961548,-2.800334196e-05
8.399999619,107.3586843,77.44571725,25.79939878,63.94875701,0.9387046088,100.2444881,6.504493237,298.2080994,0,116.3501663,167.7585754,9.999999747e-05,64207.91797,15.86749363,-2.795849338e-05
8.600000381,105.9974145,77.43914224,25.80210131,63.9443846,0.9385151552,98.95058996,6.509503365,298.2124329,0,115.0817719,175.9620972,9.999999747e-05,64251.37109,15.78557873,-2.792648817e-05
8.800000191,104.8329435,77.44532894,25.80375143,63.94223569,0.9384456439,97.60844539,6.511343956,298.2228699,0,111.809639,185.2438202,9.999999747e-05,64294.15234,15.70122433,-2.791568467e-05
9,103.7945684,77.46349988,25.80490758,63.941821,0.9384949816,96.09828762,6.509667873,298.2345581,0,107.802002,196.7848511,9.999999747e-05,64336.03125,15.61212254,-2.792628763e-05
9.199999809,102.8528346,77.49138376,25.80580925,63.94311255,0.9386453779,94.43539142,6.5049963,298.2480469,0,104.4662247,209.0899353,9.999999747e-05,64377.10547,15.51924133,-2.795387424e-05
9.399999619,102.0265102,77.52253157,25.8062973,63.94566021,0.9388440967,92.82787316,6.49870348,298.2690125,0,102.9976349,222.4562225,9.999999747e-05,64417.76953,15.42335224,-2.800040148e-05
9.600000381,101.2721448,77.55138264,25.80656068,63.94851116,0.9390546727,91.3387162,6.492267609,298.302063,0,104.0418549,238.8927002,9.999999747e-05,64458.58203,15.32404041,-2.807046852e-05
9.800000191,100.6094249,77.57563808,25.80715332,63.95059896,0.9392752885,89.91848677,6.486103058,298.3381958,0,107.6558151,260.2259216,9.999999747e-05,64499.20703,15.21830559,-2.815480865e-05
10,100.0633677,77.59654719,25.80862791,63.95152784,0.9395203589,88.49131392,6.480475426,298.37146,0,113.7342148,283.7680664,9.999999747e-05,64540.92188,15.10850239,-2.823643486e-05
10.19999981,99.63142807,77.61266112,25.81090334,63.9511645,0.9397656519,87.18797299,6.474733353,298.3793945,0,122.0627365,307.6534119,9.999999747e-05,64584.10156,14.9926033,-2.828686681e-05
10.39999962,99.12430773,77.61991847,25.81377685,63.95066515,0.9399442576,86.04033344,6.470118523,298.4025879,0,132.6901398,324.074585,9.999999747e-05,64629.38672,14.87416267,-2.832595503e-05
10.60000038,98.80187382,77.62487061,25.81648279,63.94897709,0.9400939825,85.40856157,6.464793682,298.3788757,0,145.1595154,346.2468262,9.999999747e-05,64677.02344,14.74905396,-2.83289488e-05
10.80000019,98.24545159,77.61452438,25.81960046,63.94983839,0.940068596,84.53846719,6.459528446,298.3556213,0,159.7647858,352.9875183,9.999999747e-05,64727.55859,14.61986828,-2.828942004e-05
11,98.71556145,77.59540734,25.82127939,63.95258962,0.9399860765,85.07008002,6.454303265,298.3531189,0,176.4736176,359.3531494,9.999999747e-05,64781.5625,14.48668194,-2.825854002e-05
11.19999981,100.2930295,77.5890078,25.82270103,63.95624585,0.9399108833,86.0986533,6.448653698,298.3687439,0,195.2726746,371.9979248,9.999999747e-05,64839.34375,14.3490324,-2.825435949e-05
11.39999962,103.2791637,77.60163485,25.82379591,63.96088231,0.9398462266,87.47718794,6.44217968,298.3709412,0,216.332962,390.6510925,9.999999747e-05,64901.07812,14.20806599,-2.823977055e-05
11.60000038,108.5269056,77.6100454,25.82354906,63.96826807,0.9397019853,90.06283986,6.434244156,298.3317871,0,225,405.1195679,9.999999747e-05,64963.91406,14.06050682,-2.814465694e-05
11.80000019,112.478706,77.58879588,25.82058504,63.97769753,0.9395540069,92.14364996,6.424908161,298.3339844,0,225,405.5064392,9.999999747e-05,65026.41797,13.90094376,-2.807432236e-05
12,115.1466854,77.58930896,25.8173566,63.98465907,0.939630616,93.52016528,6.414379597,298.3530579,0,225,418.9972839,9.999999747e-05,65088.68359,13.73708057,-2.808750517e-05
12.19999981,117.2598084,77.60777533,25.81383736,63.99151828,0.9397266329,93.7017416,6.402863979,298.3800659,0,225,438.0851135,9.999999747e-05,65150.56641,13.56639481,-2.81398318e-05
12.39999962,119.3904172,77.63604772,25.80990902,63.99872808,0.9398094463,93.40299882,6.390505314,298.3920898,0,225,460.5044861,9.999999747e-05,65211.91797,13.39080811,-2.819023691e-05
12.60000038,121.8718301,77.6583013,25.80549839,64.00680936,0.939820697,93.06669734,6.377418995,298.386322,0,225,478.6941223,9.999999747e-05,65272.64062,13.20919991,-2.820740276e-05
12.80000019,125.3834706,77.66636545,25.80112868,64.01509652,0.9397793276,93.40286417,6.363864899,298.4134827,0,225,491.3168335,9.999999747e-05,65332.76562,13.01467991,-2.823169906e-05
13,129.4502703,77.69069296,25.79709587,64.02168676,0.9398002922,93.86374193,6.349918365,298.4578552,0,225,515.2182617,9.999999747e-05,65392.18359,12.81357861,-2.830432132e-05
13.19999981,133.1311386,77.73425036,25.79270912,64.02665604,0.939809755,93.58592322,6.33552742,298.4656372,0,225,545.8328247,9.999999747e-05,65450.73047,12.61224842,-2.836495107e-05
13.39999962,137.4572374,77.75728211,25.78894178,64.03030182,0.9397326439,93.6781659,6.320850849,298.4808655,0,225,565.3491211,9.999999747e-05,65508.41797,12.39830399,-2.839065826e-05
13.60000038,143.026941,77.76883914,25.78601168,64.03172309,0.9396857605,94.85398289,6.305924416,298.4959106,0,225,588.0101929,9.999999747e-05,65565.1875,12.17913246,-2.841052264e-05
13.80000019,148.9863602,77.77593071,25.78377495,64.03049089,0.9396410274,96.45717218,6.290654182,298.4872437,0,225,611.1199951,9.999999747e-05,65621.01562,11.95868969,-2.840288429e-05
14,155.8138081,77.75958934,25.7833066,64.02650591,0.9395715462,98.79576007,6.27562809,298.5586853,0,225,626.6127319,9.999999747e-05,65676.03906,11.7136755,-2.844621834e-05
14.19999981,161.9727864,77.77786723,25.78064958,64.02092631,0.9396125035,101.6913091,6.260153294,298.5519409,0,225,669.5924072,9.999999747e-05,65730.28125,11.49253464,-2.850039857e-05
14.39999962,167.9120879,77.76100204,25.78179026,64.01152596,0.9396136505,105.288687,6.244926929,298.5881348,0,225,687.6869507,9.999999747e-05,65784.08594,11.25227737,-2.852394483e-05
14.60000038,174.3237969,77.74301873,25.78198507,64.0028527,0.9396187274,109.4269245,6.229656219,298.5810547,0,225,720.9225464,9.999999747e-05,65837.35938,11.04138374,-2.854073324e-05
14.80000019,180.1113529,77.70621862,25.78466356,63.99222024,0.9396426915,114.1017371,6.216302872,298.6180115,0,225,740.2628174,9.999999747e-05,65890.46094,10.92421627,-2.856631048e-05
