Time Step,Discharge rate,Sugar feed rate,Soil bean feed rate,Aeration rate,Back pressure,Water injection/dilution,pH,Temperature,Acid flow rate,Base flow rate,Cooling water,Heating water,Vessel Weight,Dissolved oxygen concentration,Yield Per Step
0,181.9092907,77.28007868,25.81592288,64.04875346,0.9398108875,150.1440283,6.434501171,297.6033936,0,26.01379776,9.999999747e-05,307.9693909,62934.53125,17.644804,0.05688491034
0.200000003,194.5029738,77.31530148,25.8085461,63.99484868,0.9396319268,155.8848771,6.450314045,297.8721924,0,52.21331406,9.999999747e-05,79.32144928,62958.86328,17.63943481,-2.718720358e-05
0.400000006,146.1538834,77.21289396,25.81499796,64.03247319,0.9390845898,139.6283946,6.478280067,297.8491211,0,72.55587769,9.999999747e-05,9.999999747e-05,62993.90234,17.6275444,-2.79576063e-05
0.6000000238,147.4022815,77.27195595,25.81309385,64.02665847,0.9389152787,140.8122538,6.511449337,298.211853,0,81.72272491,9.999999747e-05,104.2922211,63029.74219,17.46017265,-2.811900028e-05
0.8000000119,148.6604769,77.25617434,25.82778744,64.0582816,0.9394285994,141.5749876,6.540060043,298.0582581,0,77.6437149,119.6634827,10.42922211,63064.51562,17.43601608,-2.814433453e-05
1,140.8506652,77.29995421,25.82582594,64.05778198,0.9394203706,136.49572,6.556551933,297.9378357,0,62.15204239,71.89266205,1.042922258,63096.61328,17.40450287,-2.783210911e-05
1.200000048,153.9356537,77.31676321,25.81905174,64.03352501,0.9389378415,141.4746046,6.551073551,298.1939087,0.5192141533,31.07602119,21.56779671,82.0489502,63120.75391,17.37879372,-2.774448746e-05
1.399999976,148.4637485,77.32163164,25.83018419,64.06485624,0.9390537399,141.6136604,6.533717632,298.041626,1.040685534,15.5380106,108.4837723,8.20489502,63142.88281,17.35060501,-2.794691751e-05
1.600000024,148.646829,77.32423414,25.82286466,64.06990493,0.9392832944,140.1972617,6.50901413,297.9392395,0,2.61039114,61.29400253,0.8204895258,63161.78516,17.32242012,-2.774635163e-05
1.799999952,161.029448,77.34060641,25.81226849,64.02667122,0.9385204457,143.4337861,6.483920574,298.1500244,0,0,18.38820076,66.08174133,63178.25,17.29286575,-2.778286777e-05
2,154.5782119,77.30491759,25.81664699,64.03862474,0.9381229599,140.4570367,6.463947773,298.0315857,0,6.95506382,89.59551239,6.608173847,63196.88281,17.27313423,-2.804732021e-05
2.200000048,142.4570079,77.31127841,25.81469361,64.04508109,0.9388146915,135.3637829,6.452825069,297.9554138,0,21.88115311,52.78316498,0.6608173847,63220.03125,17.25535011,-2.805693491e-05
2.400000095,137.1853433,77.29753316,25.81352755,64.03911505,0.9390197169,134.6568515,6.451999664,297.9202881,0,41.24362564,28.57360077,0.06608173996,63248.08984,17.23402596,-2.801520174e-05
2.599999905,134.2430076,77.27577326,25.81366272,64.03741559,0.9391461427,134.9894963,6.461617947,298.0534363,0,60.93090439,8.572080612,36.00482941,63280.86719,17.21678352,-2.810853912e-05
2.799999952,135.6740781,77.22703055,25.8184953,64.04669829,0.9392531627,135.5728656,6.479269505,298.0027771,0,76.76959991,51.78024673,3.600483179,63316.70703,17.1972599,-2.807947739e-05
3,135.9795662,77.24973844,25.81868772,64.0465451,0.9392375651,135.785501,6.501606941,297.9717102,0,85.55470276,35.30480194,0.3600483239,63354.38672,17.17843437,-2.786491756e-05
3.200000048,143.3650087,77.26198373,25.81821249,64.03787223,0.9390094082,138.6824565,6.524278164,297.960968,0,85.41523743,25.07218552,0.03600483015,63393.23047,17.15952301,-2.758968018e-05
3.400000095,148.484183,77.27693865,25.81831446,64.03236672,0.9388527916,140.5008144,6.541470051,297.9618835,0,76.22115326,20.54126549,0.003600483062,63429.54688,17.13599396,-2.739246481e-05
3.599999905,152.1990373,77.2930582,25.81832969,64.02909107,0.9387653476,141.7966769,6.54829216,297.9693604,0,60.16919327,19.47073555,0.0003600483178,63462.10547,17.11052132,-2.726991423e-05
3.799999952,155.3995373,77.30765349,25.8177681,64.02729243,0.9387144461,142.9165276,6.541389465,297.9797058,0,41.40498352,20.61712265,9.999999747e-05,63489.14062,17.07830429,-2.721661559e-05
4,157.6700579,77.31743811,25.81645615,64.02659808,0.9386615835,143.6146583,6.521639347,297.9873657,0,25.41374779,22.97755051,9.999999747e-05,63512.39453,17.02830315,-2.723512546e-05
4.199999809,157.6314374,77.3204201,25.81475346,64.02676421,0.9385930621,143.325194,6.497370243,297.9977417,0,17.32061768,24.78572845,9.999999747e-05,63533.94531,16.99654388,-2.732593448e-05
4.400000095,154.0777755,77.3170033,25.81367527,64.02871299,0.9385896346,141.7069559,6.475052357,298.0101318,0,18.90901566,27.83154678,9.999999747e-05,63556.26172,16.96870995,-2.747860749e-05
4.599999905,146.3730691,77.30494803,25.8137243,64.03345146,0.9387351189,138.6829692,6.458864689,298.0198059,0,29.40360069,31.93992424,9.999999747e-05,63581.62891,16.93148041,-2.767038185e-05
4.800000191,136.0768536,77.28293445,25.8147373,64.04033881,0.939011969,135.0185288,6.45297575,298.0325623,0,46.35939407,35.56623459,9.999999747e-05,63611.91797,16.90964127,-2.785861146e-05
5,128.369145,77.25594373,25.81630688,64.04696019,0.9392704604,132.7355774,6.456022263,298.0410461,0,65.6566391,40.64417648,9.999999747e-05,63647.21094,16.8731575,-2.796360242e-05
5.199999809,126.2805403,77.23262409,25.81786188,64.05093393,0.9393798917,132.5373378,6.468527794,298.0512085,0,83.73883057,44.68822098,9.999999747e-05,63686.64453,16.84547997,-2.794516392e-05
5.400000095,130.0733287,77.2243144,25.81928736,64.05132853,0.9393339663,134.201693,6.486264229,298.0596008,0,96.8164444,49.67066956,9.999999747e-05,63728.32422,16.81075859,-2.781290205e-05
5.599999905,134.7200791,77.22998992,25.82069374,64.05023058,0.9392457499,135.8122164,6.505657673,298.0677795,0,102.8125305,54.41614914,9.999999747e-05,63770.62891,16.77590561,-2.765223074e-05
5.800000191,137.8847577,77.24327402,25.82209442,64.04896355,0.9391726786,136.7728513,6.521632671,298.0726929,0,101.0626831,59.41072464,9.999999747e-05,63812.08594,16.73404312,-2.751390004e-05
6,139.4207437,77.25706597,25.82324018,64.04811303,0.939127977,137.1869724,6.53264904,298.0798035,0,92.93930817,63.58247375,9.999999747e-05,63851.68359,16.69597626,-2.741693924e-05
