Time Step,Discharge rate,Sugar feed rate,Soil bean feed rate,Aeration rate,Back pressure,Water injection/dilution,pH,Temperature,Acid flow rate,Base flow rate,Cooling water,Heating water,Vessel Weight,Dissolved oxygen concentration,Yield Per Step
0,243.6955775,76.48326256,25.96852466,60.9496558,0.9048167994,153.3658105,6.434858322,297.6034241,0,26.01379776,9.999999747e-05,307.9693909,62922.33984,17.34796143,0.05688625632
0.200000003,252.6775639,76.50076119,25.96887026,60.96331906,0.9046526772,153.6968948,6.450974464,297.872406,0,52.07043076,9.999999747e-05,79.31271362,62934.07812,17.34211731,-2.638616005e-05
0.400000006,252.7367328,76.49429147,25.97043026,60.96455812,0.9046644572,153.7072115,6.479347706,297.8488159,0,72.14776611,9.999999747e-05,9.999999747e-05,62949.90234,17.3345871,-2.649279314e-05
0.6000000238,252.7115339,76.48990459,25.97135227,60.96556135,0.9046732065,153.7118593,6.512758255,298.2123718,0,80.88721466,9.999999747e-05,104.5574799,62966.44922,17.32474136,-2.666185313e-05
0.8000000119,251.3388028,76.44542794,25.98091022,60.96778871,0.9047599541,153.7004092,6.541335583,298.0578308,0,76.28508759,119.9323044,10.4557476,62982.19531,17.30355453,-2.671384325e-05
1,251.6185451,76.45062869,25.97967942,60.96722341,0.904738748,153.709637,6.557452679,297.9366455,0,60.28404999,71.85208893,1.045574784,62994.54297,17.27926445,-2.628333354e-05
1.200000048,252.5378501,76.47890464,25.97401881,60.96451889,0.9046719639,153.7152671,6.552011967,298.1934204,0.5192601085,30.14202499,21.55562592,82.24649048,63000.59766,17.26495934,-2.635084809e-05
1.399999976,251.5114312,76.45318882,25.97923874,60.96220419,0.9047144399,153.7008913,6.535003185,298.0400696,1.040706635,15.0710125,108.6763,8.224649429,63003.79297,17.24421883,-2.648288261e-05
1.600000024,250.9808344,76.44887822,25.97870767,60.95565364,0.9047402481,153.7042943,6.510239601,297.9372253,0,1.628088236,61.10058975,0.8224648833,63004.08984,17.22282982,-2.628102578e-05
1.799999952,253.621115,76.50958215,25.96742809,60.95937187,0.9045726234,153.7265276,6.485627651,298.1485291,0,0,18.33017731,66.17858887,63003.50781,17.20680237,-2.643875061e-05
2,253.4714749,76.50770229,25.96767032,60.95961666,0.9045796091,153.7219389,6.465728283,298.0290833,0,6.270349026,89.64808655,6.617858887,63004.27344,17.19981003,-2.660793916e-05
2.200000048,253.3990425,76.50598862,25.96810487,60.95895708,0.9045822181,153.7218368,6.454379559,297.9523926,0,20.48560143,52.42512131,0.6617859006,63007.99219,17.18554688,-2.644661914e-05
