Time Step,Discharge rate,Sugar feed rate,Soil bean feed rate,Aeration rate,Back pressure,Water injection/dilution,pH,Temperature,Acid flow rate,Base flow rate,Cooling water,Heating water,Vessel Weight,Dissolved oxygen concentration,Yield Per Step
0,341.1263881,72.25601648,26.20512785,62.27590507,0.8527468701,149.3221206,6.435495853,297.6040344,0,26.01379776,9.999999747e-05,307.9693909,62900.4375,16.91177559,0.05688589938
0.200000003,340.5210193,70.24257218,25.97963487,62.35117143,0.8665697754,144.1661283,6.452122688,297.8734741,0,51.8155098,9.999999747e-05,79.19355011,62890.46875,16.87910843,-2.517382018e-05
0.400000006,361.4368413,69.19531051,26.01725109,62.73678194,0.8537100875,139.2759775,6.480995178,297.8508911,0,71.4318161,9.999999747e-05,9.999999747e-05,62878.93359,16.75605011,-2.498822669e-05
0.6000000238,374.2710715,68.89073823,25.99105301,63.02140857,0.8458929941,135.6004874,6.514757633,298.2139282,0,79.51222992,9.999999747e-05,103.950058,62864.51172,16.67279243,-2.497145416e-05
0.8000000119,440.718027,65.72653254,26.03810504,64.15437083,0.8125234714,129.2810357,6.543865681,298.0606689,0,74.11076355,119.8193665,10.39500618,62833.10547,16.36473083,-2.408964148e-05
1,444.5262286,67.17637259,26.06580871,64.08046862,0.8142799506,129.2024587,6.559834003,297.9400635,0,57.0970993,72.25173187,1.039500594,62797.76172,16.34698868,-2.359642656e-05
1.200000048,388.114579,69.40103974,26.04293694,63.28627092,0.8379826594,135.8677574,6.554513454,298.1981201,0.5193029046,28.54854965,21.67551994,82.10824585,62770.16797,16.52113342,-2.442659393e-05
1.399999976,387.0146599,68.98642043,26.15210522,63.25442318,0.8365666895,140.257509,6.538040161,298.0439148,1.040723205,14.27427483,109.3576889,8.210824013,62740.71484,16.47924042,-2.454628126e-05
1.600000024,379.1118045,70.1022423,26.18475103,62.92515498,0.8445460316,143.2374909,6.513067722,297.9403992,0,0,61.65251923,0.8210824132,62710.63281,16.51457787,-2.443026977e-05
1.799999952,317.24145,73.01986482,26.06085114,62.0003474,0.8734572258,147.2952644,6.488758087,298.1523743,0,0,18.49575615,66.08384705,62694.79688,16.73084641,-2.544915015e-05
2,323.5023412,72.51623656,26.09200973,62.07144313,0.8701846693,147.4939957,6.468464851,298.0317383,0,5.016592026,90.17427826,6.608384609,62678.65625,16.68633652,-2.552456258e-05
