Time Step,Discharge rate,Sugar feed rate,Soil bean feed rate,Aeration rate,Back pressure,Water injection/dilution,pH,Temperature,Acid flow rate,Base flow rate,Cooling water,Heating water,Vessel Weight,Dissolved oxygen concentration,Yield Per Step
0,253.7914023,76.49834388,25.96712553,60.96481604,0.9045019057,153.7728046,6.434916973,297.6034241,0,26.01379776,9.999999747e-05,307.9693909,62920.35547,17.34530067,0.05688648155
0.200000003,254.7793135,76.45150585,25.98024133,60.99156533,0.9044124807,153.3139204,6.451035976,297.8724365,0,52.04708099,9.999999747e-05,79.31233978,62931.57031,17.34005737,-2.635625495e-05
0.400000006,254.2289139,76.46594034,25.97285083,60.97976746,0.9044699131,153.5894499,6.479394436,297.8488464,0,72.09984589,9.999999747e-05,9.999999747e-05,62947.05078,17.33290863,-2.647111158e-05
0.6000000238,253.9133691,76.48078252,25.96873377,60.98011053,0.9044919778,153.6891145,6.512779713,298.2124023,0,80.82054901,9.999999747e-05,104.5559082,62963.32812,17.32315636,-2.664412374e-05
0.8000000119,254.2957267,76.4388178,25.97852243,61.01442398,0.9043274831,153.2962229,6.541341305,298.0578613,0,76.2099762,119.9376602,10.45559025,62978.36719,17.2998848,-2.667228282e-05
1,252.920276,76.46054266,25.96606467,61.01060243,0.9044494088,153.8061814,6.557421684,297.9366455,0,60.20653915,71.85862732,1.045559049,62990.44922,17.27680206,-2.626410632e-05
1.200000048,253.6682171,76.48305121,25.96725362,60.98623302,0.9044911099,153.7250822,6.551965714,298.1934814,0.5192641616,30.10326958,21.55758858,82.25563049,62996.26953,17.26337242,-2.633395024e-05
1.399999976,254.7714105,76.45772141,25.97935796,60.98431277,0.9045087217,153.4029116,6.534974098,298.0401001,1.040710926,15.05163479,108.6949692,8.225563049,62998.73047,17.24239731,-2.643703563e-05
1.600000024,254.8921944,76.48035507,25.97963159,60.94860058,0.9048238018,153.7254313,6.51023531,297.9372253,0,1.620273352,61.11166763,0.8225563169,62998.24219,17.22338104,-2.622596566e-05
1.799999952,254.1545932,76.50197901,25.96715394,60.96310229,0.9045520187,153.7307138,6.485627174,298.1485901,0,0,18.33349991,66.19120789,62997.54688,17.20649338,-2.642895664e-05
2,254.2755236,76.49523228,25.96894276,60.96305174,0.9045487505,153.6928953,6.465733528,298.0290833,0,6.270632744,89.67181396,6.619120598,62998.14062,17.1994133,-2.659441463e-05
2.200000048,254.1396892,76.49621954,25.96774386,60.96289406,0.9045553943,153.7390755,6.454389572,297.9523621,0,20.48370934,52.43444443,0.6619120836,63001.70703,17.18518066,-2.643379935e-05
2.400000095,254.1332834,76.49149688,25.96819726,60.96422325,0.9045445136,153.7316421,6.453134537,297.9172058,0,39.22144699,27.95063019,0.06619120389,63009.11719,17.17121506,-2.631411365e-05
2.599999905,254.088036,76.48633136,25.96864099,60.96816202,0.904528854,153.7180383,6.462199211,298.0497437,0,58.45553589,8.385189056,35.8773613,63020.49609,17.16218948,-2.63613261e-05
2.799999952,254.0941692,76.4727851,25.97092486,60.97938144,0.9044844254,153.6347769,6.479279041,297.9986572,0,74.06212616,51.27325821,3.587736368,63035.05859,17.15096855,-2.634421461e-05
3,253.6211035,76.47011036,25.96853759,60.99015306,0.9044759537,153.7144798,6.501127243,297.9676819,0,82.84348297,34.52244568,0.3587736189,63051.58594,17.1423378,-2.613426373e-05
3.200000048,253.5633125,76.46866226,25.96854867,60.99478647,0.9044594319,153.6991178,6.523409843,297.9573364,0,82.89563751,24.16312218,0.03587736189,63070.24219,17.13540268,-2.595305026e-05
3.400000095,253.6278346,76.47114721,25.96867673,60.99420332,0.9044565298,153.6808083,6.540328503,297.9587097,0,74.04845428,19.61442757,0.003587736282,63087.10156,17.12397957,-2.581727554e-05
3.599999905,253.7796495,76.47775769,25.96864734,60.98838412,0.9044699572,153.671362,6.54702282,297.9666443,0,58.45278931,18.56750488,0.0003587736282,63100.75391,17.11092186,-2.573548346e-05
3.799999952,253.9471026,76.4860623,25.96839886,60.98005083,0.9044934045,153.6751152,6.540217876,297.9773865,0,40.19591904,19.74736023,9.999999747e-05,63109.37891,17.09154129,-2.571458018e-05
4,254.0690383,76.49279541,25.96806541,60.97248648,0.9045169441,153.6890047,6.520834923,297.9855042,0,24.67245674,22.14595222,9.999999747e-05,63114.625,17.05323219,-2.575272375e-05
4.199999809,254.1354405,76.49597335,25.96788597,60.96738131,0.9045333936,153.7043153,6.497057438,297.9961243,0,16.90029335,24.01236916,9.999999747e-05,63118.27734,17.03563881,-2.583208927e-05
4.400000095,254.1651641,76.49582213,25.96795258,60.96477214,0.9045412034,153.7143418,6.475267887,298.0085449,0,18.61323547,27.07024956,9.999999747e-05,63122.32422,17.0222187,-2.592619273e-05
4.599999905,254.1677507,76.49301311,25.96824134,60.96426281,0.9045418364,153.7181287,6.459589005,298.0181274,0,29.02147675,31.13250732,9.999999747e-05,63128.44531,16.99719048,-2.600409804e-05
4.800000191,254.1365142,76.4882019,25.96864942,60.96603728,0.9045355925,153.716215,6.454138279,298.0306396,0,45.68766785,34.66895676,9.999999747e-05,63138.08203,16.98872375,-2.604430479e-05
5,254.0459924,76.48214784,25.968978,60.97118199,0.9045207395,153.7093764,6.457513809,298.0388794,0,64.51998138,39.59426117,9.999999747e-05,63151.53906,16.96408272,-2.60366604e-05
5.199999809,253.8557657,76.47429866,25.96907128,60.9806894,0.9044959682,153.7044403,6.470172405,298.0488892,0,82.00600433,43.49134064,9.999999747e-05,63168.67188,16.9511013,-2.59823518e-05
5.400000095,253.5675735,76.46493731,25.96886727,60.99384407,0.904463546,153.7063422,6.487858772,298.057312,0,94.4262619,48.34209824,9.999999747e-05,63188.41016,16.93183327,-2.589477389e-05
5.599999905,253.248997,76.45571801,25.96845469,61.007062,0.9044325611,153.7178675,6.50699091,298.0655518,0,99.78515625,53.00338745,9.999999747e-05,63209.33203,16.91355896,-2.579195267e-05
5.800000191,253.0411012,76.45030141,25.96810378,61.01535403,0.9044134228,153.7274736,6.522474766,298.0705872,0,97.50261688,57.93691635,9.999999747e-05,63229.79297,16.88819695,-2.569152976e-05
6,253.0238992,76.45068489,25.96799079,61.01608702,0.9044116895,153.7273512,6.532750607,298.0777588,0,89.04309082,62.06561279,9.999999747e-05,63248.55078,16.86868286,-2.560918185e-05
6.199999809,253.1878868,76.45659526,25.96810529,61.00985852,0.9044260732,153.7166021,6.535777092,298.0878906,0,76.47875214,67.15299988,9.999999747e-05,63264.75781,16.84999466,-2.555781155e-05
6.400000095,253.4212297,76.46511993,25.96821418,61.00013742,0.9044504873,153.7077287,6.529853344,298.0986633,0,62.71081543,73.50331879,9.999999747e-05,63278.125,16.8273716,-2.554476242e-05
6.599999905,253.6301965,76.47306999,25.96823609,60.99040067,0.9044769498,153.7072243,6.516265392,298.1104736,0,51.31856537,80.44861603,9.999999747e-05,63289.15625,16.80352211,-2.557072359e-05
6.800000191,253.7693324,76.47822296,25.9682318,60.9830662,0.904498218,153.7132631,6.497731686,298.1165466,0,45.35808182,88.13816833,9.999999747e-05,63298.89844,16.77050018,-2.562266235e-05
7,253.8214925,76.47941423,25.96827176,60.97932791,0.9045101256,153.7230998,6.480257034,298.1246338,0,46.80276108,94.28695679,9.999999747e-05,63308.95312,16.74354744,-2.568344623e-05
7.199999809,253.7912537,76.47696622,25.96834773,60.9795327,0.9045111619,153.7327504,6.468817711,298.1390991,0,55.21789551,101.4015427,9.999999747e-05,63320.82422,16.72181702,-2.573934518e-05
7.400000095,253.6432157,76.47106153,25.96825475,60.98469513,0.9045005626,153.7470377,6.464330196,298.1491394,0,68.19243622,111.0014191,9.999999747e-05,63335.38281,16.69135857,-2.576863393e-05
7.599999905,253.313055,76.46109987,25.96771438,60.99618135,0.9044775297,153.778123,6.467278957,298.1592407,0,82.95840454,119.5786362,9.999999747e-05,63353.05859,16.66297913,-2.576091718e-05
7.800000191,252.7815035,76.44727753,25.96657722,61.0140447,0.9044430976,153.8322185,6.47661972,298.1746826,0,96.54270172,128.5793152,9.999999747e-05,63373.70703,16.63803482,-2.572735615e-05
8,252.0761066,76.43076734,25.96480916,61.03647972,0.9044025812,153.9130401,6.488217354,298.1874695,0,106.3935928,139.8051453,9.999999747e-05,63396.54297,16.60686493,-2.567805839e-05
8.199999809,251.2891887,76.41395505,25.96259247,61.05970715,0.9043645007,154.0163115,6.499391556,298.1992493,0,111.6184082,150.6463623,9.999999747e-05,63420.64453,16.57449722,-2.562247341e-05
8.399999619,250.6383033,76.40106316,25.96060223,61.07795133,0.9043367864,154.1098323,6.507230759,298.2007751,0,112.3822632,161.6512299,9.999999747e-05,63445,16.53417015,-2.556329796e-05
