Time Step,Discharge rate,Sugar feed rate,Soil bean feed rate,Aeration rate,Back pressure,Water injection/dilution,pH,Temperature,Acid flow rate,Base flow rate,Cooling water,Heating water,Vessel Weight,Dissolved oxygen concentration,Yield Per Step
0,124.8851632,46.29753938,27.51008086,58.77264062,0.9588542158,81.41963462,6.490286827,297.6696777,0,0,9.999999747e-05,234.08255,61463.79688,17.80373001,0.0576522549
0.200000003,8.683529391,31.86894954,22.88537646,43.79837061,0.935859112,39.73967532,6.475006104,297.8836365,0,3.885175467,9.999999747e-05,66.06597137,61479.55469,17.58661652,-3.000236084e-05
0.400000006,0,19.07336337,21,41.70694267,0.8117428096,4.311079235,6.467374802,297.8597107,0,14.45279312,9.999999747e-05,9.999999747e-05,61488.13672,16.52008629,-3.036263567e-05
0.6000000238,0,14.32330489,21,37.93955772,0.7261578093,0,6.46760273,298.1604004,0,27.99895477,9.999999747e-05,88.72527313,61496.23438,15.76454544,-3.066208449e-05
0.8000000119,45.1936882,28.44072348,25.39289615,47.59949773,0.7988880918,40.74117057,6.474551678,298.0177917,0,41.4526329,98.65354156,8.872527122,61510.73828,16.36949539,-3.017759291e-05
1,0,28.34834125,23.49657704,44.34850014,0.8783110328,30.27080325,6.486713886,297.9192505,0,52.1299057,53.21795273,0.887252748,61534.20312,17.0114975,-3.046758599e-05
1.200000048,0,23.46914596,22.54671891,41.37914857,0.8444670263,34.45979518,6.501642227,298.1074219,0,57.94663239,15.96538639,63.28039169,61558.21484,16.70533371,-3.047984589e-05
1.399999976,0,24.32084131,23.88694297,40.45185533,0.8290393096,0,6.517410755,297.9986572,0,57.79974365,78.59288025,6.328039169,61575.61719,16.56151009,-3.047234352e-05
1.600000024,0,22.64784754,23.83599626,39.44571132,0.8523575859,0.5896808272,6.528746605,297.9255371,0,51.35146713,43.68775558,0.6328039169,61591.38281,16.73583221,-3.019901186e-05
1.799999952,30.0552251,29.72539954,23.49270478,47.49111359,0.8818796501,66.48194498,6.531387806,298.0883789,0,40.38619232,13.10632706,53.32561874,61614.05469,16.98413467,-2.983666205e-05
