yield,traj_buffer/n_total_real,traj_buffer/n_traj_on_pi,seed,iteration
3353.371370691123,12650,1,00000,49
3403.582949269088,13800,2,00000,99
3290.492604190483,14950,3,00000,149
3427.1681616138026,16100,4,00000,199
3282.9892706550463,17250,5,00000,249
3755.522183792148,18400,6,00000,299
3546.4674396191385,19550,7,00000,349
3610.598510123873,20700,8,00000,399
3746.810776734735,21850,9,00000,449
3609.1263774792446,23000,10,00000,499
3481.3770490758898,24150,11,00000,549
3343.486093688783,25300,12,00000,599
3342.3493016491366,26450,13,00000,649
3695.977964921312,27600,14,00000,699
3296.2140316368896,28750,15,00000,749
3252.113051042478,29900,16,00000,799
2996.1115576944994,31050,17,00000,849
3455.598544736018,32200,18,00000,899
3626.599068664322,33350,19,00000,949
3475.3396035668684,34500,20,00000,999
3421.956792928763,35650,20,00000,1049
3539.2316015365877,12650,1,00001,49
3376.0786074822627,13800,2,00001,99
3766.660898028004,14950,3,00001,149
3841.95848755536,16100,4,00001,199
3499.215335369365,17250,5,00001,249
3852.665581709127,18400,6,00001,299
2828.233688685469,19550,7,00001,349
3670.6682185439327,20700,8,00001,399
3464.414322178813,21850,9,00001,449
3843.6479991966535,23000,10,00001,499
3532.779927129718,24150,11,00001,549
3560.54918478438,25300,12,00001,599
3727.775378312691,26450,13,00001,649
3304.1320331770985,27600,14,00001,699
3970.9574063333575,28750,15,00001,749
3600.7288296928164,29900,16,00001,799
3430.561097244884,31050,17,00001,849
3209.9866056403725,32200,18,00001,899
3075.70197274196,33350,19,00001,949
3571.4442714089737,34500,20,00001,999
3387.749543299155,35650,20,00001,1049
3283.563173597793,12650,1,00002,49
3614.517651377896,13800,2,00002,99
3387.4706448246934,14950,3,00002,149
3571.418195034942,16100,4,00002,199
3218.316591461765,17250,5,00002,249
4256.376932372861,18400,6,00002,299
3491.1118253139102,19550,7,00002,349
4125.382252436532,20700,8,00002,399
3331.3396287356923,21850,9,00002,449
3537.8032973868567,23000,10,00002,499
3402.6477703410874,24150,11,00002,549
3262.8944925727883,25300,12,00002,599
2992.329798988431,26450,13,00002,649
2996.855909348566,27600,14,00002,699
3334.914540629611,28750,15,00002,749
3516.3488054861564,29900,16,00002,799
3743.8700675607897,31050,17,00002,849
3795.020828777198,32200,18,00002,899
3851.1750915956018,33350,19,00002,949
3374.086387124562,34500,20,00002,999
3312.6619315548924,35650,20,00002,1049
3546.58701759976,12650,1,00003,49
3324.5856248007776,13800,2,00003,99
3350.5013131602827,14950,3,00003,149
3544.7927542124394,16100,4,00003,199
3458.547451515165,17250,5,00003,249
3325.1408942334674,18400,6,00003,299
3402.650906368207,19550,7,00003,349
3196.415696908956,20700,8,00003,399
3348.364916367662,21850,9,00003,449
3152.571524980065,23000,10,00003,499
2909.1099852423717,24150,11,00003,549
3513.3767228051884,25300,12,00003,599
3069.3082987300977,26450,13,00003,649
3112.651423486239,27600,14,00003,699
3522.656790241513,28750,15,00003,749
3013.404092112054,29900,16,00003,799
2981.275114231713,31050,17,00003,849
3624.0513319891816,32200,18,00003,899
3759.6867821838937,33350,19,00003,949
3010.304434091062,34500,20,00003,999
3102.4370558992787,35650,20,00003,1049
3260.2253222142253,12650,1,00000,199
3701.8475771498825,13800,2,00000,399
3098.4443295914107,12650,1,00001,199
2683.318964194579,13800,2,00001,399
3245.8478701041768,12650,1,00002,199
3854.9136860159833,13800,2,00002,399
3893.8264214241353,12650,1,00003,199
3569.355021212256,13800,2,00003,399
3344.672622094232,12650,1,00000,199
3193.125805221944,13800,2,00000,399
3139.467608868409,12650,1,00001,199
3682.463485201932,13800,2,00001,399
3644.727102346397,12650,1,00002,199
3407.2659740890576,13800,2,00002,399
2783.7249594400064,12650,1,00003,199
3089.4692518441766,13800,2,00003,399
